ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,61c75811-7a04-46ca-aadb-0c23fae4fb08,1,,,68344,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10657, 'name': 'Desiree van Lunteren'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10652, 'name': 'Anouk Dekker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 25659, 'name': 'Merel van Dongen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 10645, 'name': 'Sherida Spitse'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10648, 'name': 'Shanice van de Sanden'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10649, 'name': 'Lieke Martens'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Netherlands Women's,851,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,46182fe9-f2e1-4195-9e1c-4ce842d80c13,2,,,68344,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25609, 'name': 'Stephanie Lynn Marie Labbé'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15290, 'name': 'Ashley Elizabeth Marie Lawrence'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 15357, 'name': 'Kadeisha Buchanan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 15180, 'name': 'Sophie Schmidt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 26091, 'name': 'Jordyn Pamela Huitema'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 25612, 'name': 'Jessie Alexandra Fleming'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Canada Women's,1206,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5d277aa3-43b1-4392-a7f8-ea47efbc2ba3,3,,,68344,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,['ecb29d16-fe36-4158-a21f-f59f13997579'],0,,,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ecb29d16-fe36-4158-a21f-f59f13997579,4,,,68344,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,['5d277aa3-43b1-4392-a7f8-ea47efbc2ba3'],0,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a6371e90-0dbd-431a-a1ad-d6724f2cc2bd,1750,,,68344,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Canada Women's,1206,['99c03512-8b12-4b75-bdfa-dda6d5e489bf'],0,,,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,99c03512-8b12-4b75-bdfa-dda6d5e489bf,1751,,,68344,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,107,Canada Women's,1206,['a6371e90-0dbd-431a-a1ad-d6724f2cc2bd'],0,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,1.2722,,,,,,,,,,,,,ddfb497d-6fe3-4847-8cbd-b5cf257a6f60,5,,"[60.0, 40.0]",68344,0,,,,,3.1094935,,Right Foot,,,"[38.2, 40.7]",,Ground Pass,21.811235,,,,Sherida Spitse,10645.0,,,,,Kick Off,1,From Kick Off,Vivianne Miedema,15623.0,Center Forward,2,Netherlands Women's,851,['4217f02e-4746-4628-b399-51d398a2f305'],0,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.886,Pass,
,,,,,,,,,,,,,1.0694,,,,,,,,,,,,,4164caa3-7e3d-4032-aa3f-a2b47a813610,8,,"[37.8, 38.6]",68344,0,,,,,2.6590793,,Left Foot,,,"[31.5, 41.9]",,Ground Pass,7.111962,,,,Anouk Dekker,10652.0,,,,,,1,From Kick Off,Sherida Spitse,10645.0,Center Defensive Midfield,2,Netherlands Women's,851,['b120b594-f639-4610-bf62-0566df6eda86'],4,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:04.969,Pass,
,,,,,,,,,,,,,1.1285,,,,,,,,,,,,,1345f663-a50a-4afa-ab4e-28eab96b3da6,11,,"[31.5, 43.5]",68344,0,,,,,-1.3136848,,Right Foot,,,"[37.6, 20.3]",,Ground Pass,23.988539,,,,Dominique Johanna Anna Petrone Janssen,10666.0,,,,,,1,From Kick Off,Anouk Dekker,10652.0,Right Center Back,2,Netherlands Women's,851,['8dd75900-5d5e-493c-894c-3b83b98864b0'],6,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:06.050,Pass,
,,,,,,,,,,,,,1.6448,,,,,,,,,,,,,30951c23-687c-4f75-b8c4-90d948017427,14,,"[37.6, 20.3]",68344,0,,,,,-1.0265158,,Right Foot,,,"[46.8, 5.1]",,Ground Pass,17.767385,,,,Merel van Dongen,25659.0,,,,,,1,From Kick Off,Dominique Johanna Anna Petrone Janssen,10666.0,Left Center Back,2,Netherlands Women's,851,['53daff9e-a2fb-41d8-b2bc-14e20d4183e4'],8,,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:08.490,Pass,
