50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,63b4c8e6-8da9-4258-8c71-9cd3814547ab,1,,,,22983,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,China PR Women's,1207,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25483, 'name': 'Shimeng Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 25481, 'name': 'Peng Han'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 25480, 'name': 'Haiyan Wu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25487, 'name': 'Yuping Lin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25486, 'name': 'Shanshan Liu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 25749, 'name': 'Ying Li'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 25490, 'name': 'Rui Zhang'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 25750, 'name': 'Yan Wang'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 25488, 'name': 'Yasha Gu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 25485, 'name': 'Shanshan Wang'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 24461, 'name': 'Shuang Wang'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",China PR Women's,1207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,62d51c12-2628-4203-a7f5-4a1df8c4fe88,2,,,,22983,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,China PR Women's,1207,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10142, 'name': 'Sandra Paños García-Villamil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 10200, 'name': 'Marta Corredera Rueda'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 10165, 'name': 'Irene Paredes Hernandez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10155, 'name': 'María Pilar León Cebrián'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10163, 'name': 'Leila Ouahabi El Ouahabi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25513, 'name': 'Lucía García Córdoba'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 10202, 'name': 'Virginia Torrecilla Reyes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 15287, 'name': 'Patricia Guijarro Gutiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 10161, 'name': 'María Francesca Caldentey Oliver'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 10151, 'name': 'Jennifer Hermoso Fuentes'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 25510, 'name': 'Nahikari García Pérez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Spain Women's,863,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1f259072-d4ea-4057-b50d-0b7acf8e0f8f,3,,,,22983,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,China PR Women's,1207,['dae577c1-3e4d-4998-8c47-95cbbd88c722'],0,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dae577c1-3e4d-4998-8c47-95cbbd88c722,4,,,,22983,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,China PR Women's,1207,['1f259072-d4ea-4057-b50d-0b7acf8e0f8f'],0,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f7761d1e-cd6c-4376-883e-201ac753fc1a,1795,,,,22983,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,103,Spain Women's,863,['b47a5e4e-338a-4735-87a8-3bd1e5808cc7'],0,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b47a5e4e-338a-4735-87a8-3bd1e5808cc7,1796,,,,22983,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,103,Spain Women's,863,['f7761d1e-cd6c-4376-883e-201ac753fc1a'],0,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.27584,,,,,,,,,,,,,ee387cd6-a9a3-43ad-a451-20400cf812d1,5,,,"[60.0, 40.0]",22983,0,,,,,-1.6539376,,Right Foot,,,"[59.8, 37.6]",Ground Pass,,2.408319,,,,Shuang Wang,24461.0,,,,,,Kick Off,1,From Kick Off,Shanshan Wang,25485.0,Right Center Forward,2,China PR Women's,1207,['414937d8-051f-4c17-b076-a6832e4b0ce7'],0,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.120,Pass,
,,,,,,,,,,,,,,,,1.367469,,,,,,,,,,,,,ce72142c-9f06-4bcc-b9f2-61c0990e58b1,8,,,"[60.6, 36.3]",22983,0,,,,,2.5229483,,Left Foot,,,"[54.7, 40.5]",Ground Pass,,7.242237,,,,Rui Zhang,25490.0,,,,,,,1,From Kick Off,Shuang Wang,24461.0,Left Center Forward,2,China PR Women's,1207,['85514b10-80fa-4fc2-8049-284ad7650412'],0,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.526,Pass,
,,,,,,,,,,,,,,,,2.7414,,,,,,,,,,,,,b797009b-66c4-4833-b4d1-ab2bae12bf3b,11,,,"[54.7, 40.5]",22983,0,,,,,-0.49972537,,Right Foot,,,"[91.7, 20.3]",High Pass,,42.154953,,Incomplete,,,,,,,,,,1,From Kick Off,Rui Zhang,25490.0,Right Center Midfield,2,China PR Women's,1207,['807ebc6f-75bf-4b50-bbbe-882c4cdda0a8'],2,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:02.054,Pass,
,,,,,,,,,,,,,,,,1.98463,,,,,,,,,,,,,d5242fe5-3015-4759-a352-51b23a1ec66a,13,,,"[54.8, 48.6]",22983,0,,,,True,-1.876244,,,,,"[51.3, 37.5]",Low Pass,,11.638728,,Incomplete,,Jennifer Hermoso Fuentes,10151.0,,,,,,Recovery,1,From Kick Off,Nahikari García Pérez,25510.0,Left Center Forward,2,China PR Women's,1207,"['95f94bf9-cccf-4035-b1bd-f644465e4113', 'a64955e3-c674-4c96-a09e-14e146f7d1f9', 'e7745e7d-babc-4284-a292-fa5ac5498530']",7,,,,,,,,,,,,,,,,,Spain Women's,863,00:00:07.543,Pass,True
