ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,475d7575-e2e8-40af-bbad-def4ae086c56,1,,,22934,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil Women's,1203,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25555, 'name': 'Bárbara Micheline do Monte Barbosa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25560, 'name': 'Letícia Santos de Oliveira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 25556, 'name': 'Kathellen Sousa Feitoza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 25559, 'name': 'Tamires Cássia Dias de Britto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 24368, 'name': 'Andressa Alves da Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 15291, 'name': 'Miraildes Maciel Mota'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4980, 'name': 'Thaysa de Moraes Rosa Moreno'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 25561, 'name': 'Beatriz Zaneratto João'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 15293, 'name': 'Cristiane Rozeira de Souza Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Brazil Women's,1203,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d245bdc7-b055-4ca7-a1df-af8dae3649f5,2,,,22934,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil Women's,1203,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 25550, 'name': 'Sydney Schneider'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25552, 'name': 'Dominique Bond-Flasza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 25545, 'name': 'Allyson Swaby'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 25548, 'name': 'Konya Plummer'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25557, 'name': 'Deneisha Selena Blackwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 4945, 'name': 'Havana Solaun'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 25551, 'name': 'Marlo Carmen Sweatman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 25558, 'name': 'Chantelle Swaby'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 25546, 'name': 'Cheyna Matthews'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 25553, 'name': 'Trudi Sudan Carter'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 25554, 'name': 'Khadija Monifa Shaw'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Jamaica Women's,1212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d2075453-100e-4376-ad75-b604780d5c0b,3,,,22934,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil Women's,1203,['dad4512a-ff7a-47e2-b498-c805c5ca5a61'],0,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,dad4512a-ff7a-47e2-b498-c805c5ca5a61,4,,,22934,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil Women's,1203,['d2075453-100e-4376-ad75-b604780d5c0b'],0,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4eab74a0-c516-4505-b84b-8d2843d8f1a2,1522,,,22934,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Jamaica Women's,1212,['a3018e0d-af17-4988-93a6-17b5b119efc9'],0,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a3018e0d-af17-4988-93a6-17b5b119efc9,1523,,,22934,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Jamaica Women's,1212,['4eab74a0-c516-4505-b84b-8d2843d8f1a2'],0,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.3752,,,,,,,,,,,,,,,c648a627-1731-490a-baf1-0ef023390fa9,5,,"[60.0, 40.0]",22934,0,,,,,0.76101273,,Right Foot,,,,"[62.1, 42.0]",,Ground Pass,,2.9,,,Thaysa de Moraes Rosa Moreno,4980.0,,,,,Kick Off,1,From Kick Off,Miraildes Maciel Mota,15291.0,Right Center Midfield,2,Brazil Women's,1203,['0706310e-a927-443d-960a-8605c1d7ddcb'],0,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:00.060,Pass,
,,,,,,,,,,,,,,1.187323,,,,,,,,,,,,,,,bec50e60-c942-410c-aaac-b35e36dc941d,8,,"[64.7, 43.4]",22934,0,,,,,0.9374414,,Right Foot,,,,"[75.2, 57.7]",,Ground Pass,,17.740913,,,Beatriz Zaneratto João,25561.0,,,,,,1,From Kick Off,Thaysa de Moraes Rosa Moreno,4980.0,Left Center Midfield,2,Brazil Women's,1203,['b38828d2-b4bf-4247-871b-83c0ad766bae'],1,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:01.445,Pass,
,,,,,,,,,,,,,,2.4186,,,,,,,,,,,,,,,d5a770df-f135-461e-a3e4-b146b22b5382,13,,"[102.1, 80.0]",22934,0,,,,,-0.5748262,,,,,,"[118.0, 69.7]",,High Pass,,18.944656,Incomplete,,Débora Cristiane de Oliveira,5044.0,,,,,Throw-in,1,From Throw In,Letícia Santos de Oliveira,25560.0,Right Back,3,Brazil Women's,1203,"['29b0c164-9182-4562-be80-ab9ffb6fe8e9', 'faad3063-00ca-4828-a0fd-9e24db4faeb5']",31,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:31.796,Pass,
,,,,,,,,,,,,,,1.6809,,,,,,,,,,,,,,,b6ac3059-8730-493b-959d-86fe1cae5144,16,,"[120.0, 80.0]",22934,0,,,,,-2.4166396,,Left Foot,,,,"[101.6, 63.7]",,Ground Pass,,24.581497,,,Andressa Alves da Silva,24368.0,,,,,Corner,1,From Corner,Tamires Cássia Dias de Britto,25559.0,Left Back,4,Brazil Women's,1203,['2c38a0d7-0c3b-435b-b451-6c9e87cc0b80'],59,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:59.077,Pass,
