50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1734ff76-9630-4663-bfd0-289f43f7f48a,1,,,,69161,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10142, 'name': 'Sandra Paños García-Villamil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 10200, 'name': 'Marta Corredera Rueda'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 10165, 'name': 'Irene Paredes Hernandez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10155, 'name': 'María Pilar León Cebrián'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10163, 'name': 'Leila Ouahabi El Ouahabi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10202, 'name': 'Virginia Torrecilla Reyes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10158, 'name': 'María Victoria Losada Gómez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 15287, 'name': 'Patricia Guijarro Gutiérrez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 25513, 'name': 'Lucía García Córdoba'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 10143, 'name': 'Alexia Putellas Segura'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10151, 'name': 'Jennifer Hermoso Fuentes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Spain Women's,863,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8271806b-7bec-48d0-83c5-dd4a91edded3,2,,,,69161,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5021, 'name': ""Kelley Maureen O'Hara""}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5088, 'name': 'Crystal Alyssia Dunn Soubrier'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4949, 'name': 'Rosemary Kathleen Lavelle'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5087, 'name': 'Samantha June Mewis'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 8298, 'name': 'Megan Anna Rapinoe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",United States Women's,1214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2a29bb19-f4d0-45e9-8964-2a3e934068d1,3,,,,69161,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,['a0bdae94-7567-4f08-9aad-a1a063c52ca9'],0,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a0bdae94-7567-4f08-9aad-a1a063c52ca9,4,,,,69161,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Spain Women's,863,['2a29bb19-f4d0-45e9-8964-2a3e934068d1'],0,,,,,,,,,,,,,,,,United States Women's,1214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4620140a-1681-416b-837b-6f0484b77360,1543,,,,69161,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,United States Women's,1214,['aebe8696-4cfd-4bb7-8522-65c38f75bff5'],0,,,,,,,,,,,,,,,,United States Women's,1214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,aebe8696-4cfd-4bb7-8522-65c38f75bff5,1544,,,,69161,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,United States Women's,1214,['4620140a-1681-416b-837b-6f0484b77360'],0,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.8506,,,,,,,,,,,,,,,,7a5c1983-501f-4dc0-b603-7134900778ec,5,,,"[60.0, 40.0]",69161,0,,,,,2.883857,,Left Foot,,,"[36.1, 46.3]",Ground Pass,,24.71639,,,Irene Paredes Hernandez,10165.0,,,,,Kick Off,1,From Kick Off,Jennifer Hermoso Fuentes,10151.0,Center Forward,2,Spain Women's,863,['987e5289-2f2a-4a71-a4d4-fbb9d7c67804'],0,,,,,,,,,,,,,,,,Spain Women's,863,00:00:00.689,Pass,
,,,,,,,,,,,,,,3.3197,,,,,,,,,,,,,,,,e837ab24-d88f-4255-af36-ce0a5796d0f1,8,,,"[34.7, 46.7]",69161,0,,,,,-0.5077367,,Right Foot,,,"[87.9, 17.1]",High Pass,,60.88021,,Incomplete,Alexia Putellas Segura,10143.0,,,,,,1,From Kick Off,Irene Paredes Hernandez,10165.0,Right Center Back,2,Spain Women's,863,"['33ca34ed-2899-409e-9aa7-5ac9b4f208a0', '8311fb0f-b796-45b4-98cc-e37d53e0cbbc']",2,,,,,,,,,,,,,,,,Spain Women's,863,00:00:02.659,Pass,
,,,,,,,,,,,,,,0.7026,,,,,,,,,,,,,,,,701b02a9-384a-4db8-9b50-0602edb534b4,12,,,"[73.9, 26.2]",69161,0,,,,,1.4141945,,Head,,,"[74.8, 31.9]",Low Pass,,5.770615,,Unknown,María Victoria Losada Gómez,10158.0,,,,,,1,From Kick Off,Virginia Torrecilla Reyes,10202.0,Center Defensive Midfield,2,Spain Women's,863,['af1760e4-cbd9-4c70-aba1-86a06be3a615'],8,,,,,,,,,,,,,,,,Spain Women's,863,00:00:08.751,Pass,
,,,,,,,,,,,,,,1.1561,,,,,,,,,,,,,,,,b69e2d14-1476-45a7-9336-69ef5f5a102c,16,,,"[69.8, 30.8]",69161,0,,,,,-0.33109608,,Right Foot,,,"[82.6, 26.4]",Ground Pass,,13.535139,,,Jennifer Hermoso Fuentes,10151.0,,,,,Recovery,1,Regular Play,Virginia Torrecilla Reyes,10202.0,Center Defensive Midfield,5,Spain Women's,863,['9851884f-38ad-4b92-a3fd-3a9da995a093'],30,,,,,,,,,,,,,,,,Spain Women's,863,00:00:30.424,Pass,
,,,,,,,,,,,,,,1.035486,,,,,,,,,,,,,,,,c413cdbe-5fb2-4fe9-b5d5-ef720974f8db,21,,,"[75.9, 21.7]",69161,0,,,,,-1.2631736,,Left Foot,,,"[82.0, 2.5]",Low Pass,,20.14572,,,Alexia Putellas Segura,10143.0,,,,,,1,Regular Play,Jennifer Hermoso Fuentes,10151.0,Center Forward,5,Spain Women's,863,"['1191046b-8889-4958-8820-454e8c3c692d', '1d4adf4b-d288-465e-accf-29edc6527bff']",33,,,,,,,,,,,,,,,,Spain Women's,863,00:00:33.571,Pass,True
,,,,,,,,,,,,,,3.315928,,,,,,,,,,,,,,,,90b61053-2648-42c9-addc-ed5bd674931a,24,,,"[82.0, 2.5]",69161,0,,,,,2.6779451,,Left Foot,,,"[45.0, 21.0]",Ground Pass,,41.367256,,,María Pilar León Cebrián,10155.0,,,,,,1,Regular Play,Alexia Putellas Segura,10143.0,Left Wing,5,Spain Women's,863,['aa7478c0-5a73-40e6-9157-ac10720ed2c7'],35,,,,,,,,,,,,,,,,Spain Women's,863,00:00:35.899,Pass,
,,,,,,,,,,,,,,4.391938,,,,,,,,,,,,,,,,1e67a0f4-af3c-44f8-a946-c0b492b240e6,27,,,"[48.5, 21.4]",69161,0,,,,,-0.06251386,,Left Foot,,,"[114.0, 17.3]",High Pass,,65.6282,,,Alexia Putellas Segura,10143.0,,,,,,1,Regular Play,María Pilar León Cebrián,10155.0,Left Center Back,5,Spain Women's,863,['d0814ee0-724b-4988-bdf2-18c12acde941'],43,,,,,,,,,,,,,,,,Spain Women's,863,00:00:43.929,Pass,
,,,,,,,,,,,,,,0.9193,,,,,,,,,,,,,,,,93a8c92a-6707-4d85-a939-bc18c64bfab8,30,,,"[114.4, 19.7]",69161,0,,,,,1.6025317,,Left Foot,True,True,"[113.8, 38.6]",Ground Pass,,18.909521,,Incomplete,Lucía García Córdoba,25513.0,,,,,,1,Regular Play,Alexia Putellas Segura,10143.0,Left Wing,5,Spain Women's,863,"['57d6379d-7ff4-4f83-b472-dfb238345220', 'f3fe06c0-0f25-42e6-bdd1-957b5ec2eb16']",49,,,,,,,,,,,,,,,,Spain Women's,863,00:00:49.225,Pass,
,,,,,,,,,,,,,,3.178505,,,,,,,,,,,,,,,,ea900035-0e31-4f42-9a2c-d69034cbfcea,44,,,"[39.0, 50.6]",69161,1,,True,,,-0.3286312,,Right Foot,,,"[91.2, 32.8]",High Pass,,55.15143,,Incomplete,,,,,,,Free Kick,1,From Free Kick,Julie Beth Ertz,6811.0,Center Defensive Midfield,6,United States Women's,1214,['dbee2f5a-755d-4d18-9515-c35fac751f9c'],21,,,,,,,,,,,,,,,,United States Women's,1214,00:01:21.122,Pass,
,,,,,,,,,,,,,,1.5097,,,,,,,,,,,,,,,,477f4796-4925-4529-b1ce-1c79a572a136,46,,,"[88.4, 35.6]",69161,1,,,,,-0.91212845,,Head,,,"[99.7, 21.0]",High Pass,,18.462124,,Incomplete,Megan Anna Rapinoe,8298.0,,,,,Recovery,1,From Free Kick,Alexandra Morgan Carrasco,5085.0,Center Forward,6,United States Women's,1214,"['32cb06d5-2189-4228-9fcc-95f4d27db684', 'b649450b-71a2-4fbf-aa09-1b937b98e5b0']",25,,,,,,,,,,,,,,,,United States Women's,1214,00:01:25.505,Pass,
