50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09425514-3874-4358-9e2d-5edfce3033af,1,,,,22924,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10394, 'name': 'Ingrid Hjelmseth'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4636, 'name': 'Maria Thorisdottir'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10393, 'name': 'Kristine Minde'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 10386, 'name': 'Caroline Graham Hansen'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 25466, 'name': 'Vilde Bøe Risa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 24374, 'name': 'Ingrid Syrstad Engen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 13479, 'name': 'Isabell Herlovsen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 10387, 'name': 'Lisa-Marie Utland'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Norway Women's,852,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dc6700b8-d395-4a45-a4b0-26d730c31db5,2,,,,22924,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25467, 'name': 'Tochukwu Oluehi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25470, 'name': 'Osinachi Marvis Ohale'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 25464, 'name': 'Faith Michael'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 25465, 'name': 'Onome Ebi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25468, 'name': 'Ngozi Ebere'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 25469, 'name': 'Halimatu Ibrahim Ayinde'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 17312, 'name': 'Rita Chikwelu'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 25471, 'name': 'Ngozi Sonia Okobi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 24881, 'name': 'Asisat Lamina Oshoala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 25472, 'name': 'Ugochi Desire Oparanozie'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Nigeria Women's,1213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fd96ad0c-5a0b-4975-984f-941d43f17643,3,,,,22924,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,['8a55b3db-ec4c-4ea3-8f5e-dfbc036c77b5'],0,,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8a55b3db-ec4c-4ea3-8f5e-dfbc036c77b5,4,,,,22924,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,['fd96ad0c-5a0b-4975-984f-941d43f17643'],0,,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,075090fd-de18-4583-b4a0-86d80d4aad43,1473,,,,22924,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,100,Nigeria Women's,1213,['559b294c-2562-4a98-a9bc-b6ebe913fc7c'],0,,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,559b294c-2562-4a98-a9bc-b6ebe913fc7c,1474,,,,22924,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,100,Nigeria Women's,1213,['075090fd-de18-4583-b4a0-86d80d4aad43'],0,,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.033111,,,,,,,,,,,,,eddd985d-3694-42ed-b212-0262d5f4165e,5,,,"[61.0, 40.1]",22924,0,,,,,3.0739875,,Left Foot,,,,"[41.8, 41.4]",,Ground Pass,,19.24396,,,,Ngozi Sonia Okobi,25471.0,,,,,Kick Off,1,From Kick Off,Ugochi Desire Oparanozie,25472.0,Center Forward,2,Nigeria Women's,1213,['258ae8fe-9d85-45bf-ad23-cc8383813ba3'],0,,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:00.179,Pass,
,,,,,,,,,,,,,,,,,,3.630219,,,,,,,,,,,,,66e2d387-5e30-4b89-a230-04fe96b7e66b,8,,,"[41.8, 41.4]",22924,0,,,,,0.68584585,,Right Foot,,,,"[88.6, 79.7]",,High Pass,,60.47421,,Out,,Francisca Ordega,5022.0,,,,,,1,From Kick Off,Ngozi Sonia Okobi,25471.0,Center Attacking Midfield,2,Nigeria Women's,1213,['1279ff2f-9e19-415a-aad2-ae2c216e7a92'],2,,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:02.827,Pass,
,,,,,,,,,,,,,,,,,,1.474644,,,,,,,,,,,,,9a27c962-25b9-4e91-b9a8-83662ef9dec0,10,,,"[32.6, 0.1]",22924,0,,,,,0.3190696,,,,,,"[43.8, 3.8]",,High Pass,,11.795338,,,,Guro Reiten,10514.0,,,,,Throw-in,1,From Throw In,Kristine Minde,10393.0,Left Back,3,Norway Women's,852,['fcca0c55-d0f7-4e4e-b2dd-839042fed120'],19,,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:19.507,Pass,
,,,,,,,,,,,,,,,,,,0.589881,,,,,,,,,,,,,1800f12c-9f0e-4a38-b037-111c3e5992e0,14,,,"[39.6, 2.5]",22924,0,,,,,-3.009041,,Left Foot,,,,"[27.6, 0.9]",,Ground Pass,,12.106196,,,,Kristine Minde,10393.0,,,,,,1,From Throw In,Guro Reiten,10514.0,Left Midfield,3,Norway Women's,852,"['6580d724-8c6f-4b6b-93fc-c39052036ebd', 'cdcb1540-25c5-4ec3-b724-fce117a8fb7b']",22,,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:22.731,Pass,True
