ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_penalty_saved_to_post,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,99790117-d150-415b-ac9f-7464c6da8da6,1,,,22962,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 19421, 'name': 'Carly Mitchell Telford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England Women's,865,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,27021ffd-b125-4a9f-812b-75f92020c765,2,,,22962,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 25611, 'name': 'Vanina Noemí Correa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25768, 'name': 'Adriana María Sachs'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 25629, 'name': 'Agustina Barroso Basualdo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 25634, 'name': 'Aldana Cometti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 25633, 'name': 'Eliana Noemí Stábile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25615, 'name': 'Flavia Lorena Benítez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 25640, 'name': 'María Florencia Bonsegundo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 25625, 'name': 'Linda Ruth Bravo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 25617, 'name': 'Miriam Anahí Mayorga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 25641, 'name': 'Florencia Soledad Jaimes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Argentina Women's,1204,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ee579e11-9e32-4a8d-9701-e2b2d600414a,3,,,22962,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['814e648f-1b1a-41b7-a275-56dd5e99e560'],0,,,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,814e648f-1b1a-41b7-a275-56dd5e99e560,4,,,22962,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['ee579e11-9e32-4a8d-9701-e2b2d600414a'],0,,,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3b0d7e9f-34e3-474c-847f-a738f4afd66d,1423,,,22962,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Argentina Women's,1204,['3e627675-7d32-429e-bcd7-fdb2d8db5f21'],0,,,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3e627675-7d32-429e-bcd7-fdb2d8db5f21,1424,,,22962,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Argentina Women's,1204,['3b0d7e9f-34e3-474c-847f-a738f4afd66d'],0,,,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.876,,,,,,,,,,,,,,0a1b709f-05a7-4538-b8cf-c3d85ac19dbb,5,,"[60.0, 40.0]",22962,0,,,,,2.3700824,,Right Foot,,,"[38.1, 61.3]",,Ground Pass,30.54996,,,Stephanie Houghton,10185.0,,,,,Kick Off,1,From Kick Off,Jodie Taylor,5002.0,Center Forward,2,England Women's,865,['bb851eae-e29f-4e36-b0f5-124cc4342f24'],0,,,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.020,Pass,
,,,,,,,,,,,,,,2.627,,,,,,,,,,,,,,727c6ffd-5247-4b85-a60d-776da4675776,8,,"[40.5, 61.9]",22962,0,,,,,0.027535412,,Right Foot,,,"[87.7, 63.2]",,High Pass,47.2179,,,Jill Scott,10172.0,,,,,,1,From Kick Off,Stephanie Houghton,10185.0,Right Center Back,2,England Women's,865,['eeb762b0-0353-4daf-a815-12a0832a4dfb'],3,,,,,,,,,,,,,,,,,,,England Women's,865,00:00:03.465,Pass,
,,,,,,,,,,,,,,2.714,,,,,,,,,,,,,,beef5d6b-c16f-4d9b-8dab-dc1d02ddb524,10,,"[87.7, 63.2]",22962,0,,,,,0.50826085,,Head,,,"[109.6, 75.4]",,Low Pass,25.068905,,,Nikita Parris,4654.0,,,,,,1,From Kick Off,Jill Scott,10172.0,Right Center Midfield,2,England Women's,865,['b0dad0b3-4a24-4520-9f86-3279fdf3e979'],6,,,,,,,,,,,,,,,,,,,England Women's,865,00:00:06.132,Pass,
,,,,,,,,,,,,,,2.1638,,,,,,,,,,,,,,3a9e71af-dd91-4e5d-a2a3-703a968e8e3f,14,,"[106.2, 77.7]",22962,0,,,,,-2.0183163,,Left Foot,,,"[97.8, 60.2]",,High Pass,19.411594,Incomplete,,Lucy Bronze,10178.0,,,,,,1,From Kick Off,Nikita Parris,4654.0,Right Midfield,2,England Women's,865,"['27ad6e57-6aa6-459e-a283-ec148f0ab70a', '342c14c7-b477-43f2-9abc-6cc3444d68e5', '81eb6c0f-5445-4685-b9ee-f4d6a540bd95']",11,,,,,,,,,,,,,,,,,,,England Women's,865,00:00:11.633,Pass,True
