50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b56b703f-33ba-49d5-bfee-bdf16ec085c6,1,,,,68357,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 10394, 'name': 'Ingrid Hjelmseth'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4636, 'name': 'Maria Thorisdottir'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10393, 'name': 'Kristine Minde'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 25466, 'name': 'Vilde Bøe Risa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25728, 'name': 'Karina Sævik'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 24374, 'name': 'Ingrid Syrstad Engen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 10386, 'name': 'Caroline Graham Hansen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 13479, 'name': 'Isabell Herlovsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Norway Women's,852,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1411443b-e517-4e5d-9149-589022b7310b,2,,,,68357,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 25537, 'name': 'Elise Kellond-Knight'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 25549, 'name': 'Tameka Yallop'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 25547, 'name': 'Chloe Logarzo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Australia Women's,1205,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,cb83321f-f742-4f84-9d81-8b79108eaf2e,3,,,,68357,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,['9800878f-2c60-4242-ba3f-f4c1286e4ac1'],0,,,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9800878f-2c60-4242-ba3f-f4c1286e4ac1,4,,,,68357,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,['cb83321f-f742-4f84-9d81-8b79108eaf2e'],0,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ea17706f-906a-4071-a67b-24a5f91312bd,1835,,,,68357,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,110,Australia Women's,1205,['a939da2a-59b7-4ce8-bd5b-32803c564e0b'],0,,,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a939da2a-59b7-4ce8-bd5b-32803c564e0b,1836,,,,68357,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,110,Australia Women's,1205,['ea17706f-906a-4071-a67b-24a5f91312bd'],0,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,72e77b85-141c-4b67-93e5-b9be8d0655cf,3508,,,,68357,90,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,,,,215,Australia Women's,1205,['a00ac535-a999-4759-945b-fd16f50efccc'],0,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a00ac535-a999-4759-945b-fd16f50efccc,3509,,,,68357,90,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Regular Play,,,,215,Australia Women's,1205,['72e77b85-141c-4b67-93e5-b9be8d0655cf'],0,,,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0c9f38a2-cd9a-4f4e-95b4-9b6411d81a55,4028,,,,68357,105,,,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,,,,253,Norway Women's,852,['aad059de-1074-4afc-8eb3-849cf5b27948'],0,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,aad059de-1074-4afc-8eb3-849cf5b27948,4029,,,,68357,105,,,,,,,,,,,,,,,,,,,,,,,,,,,4,From Throw In,,,,253,Norway Women's,852,['0c9f38a2-cd9a-4f4e-95b4-9b6411d81a55'],0,,,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:00.000,Half Start,
