ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c0249e22-0027-4a33-beba-8609374846d5,1,,,22974,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States Women's,1214,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5100, 'name': 'Alyssa Michele Naeher'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 5081, 'name': 'Abby Dahlkemper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25816, 'name': 'Tierna Lillis Davidson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 6811, 'name': 'Julie Beth Ertz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6813, 'name': 'Morgan Paige Gautrat'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4999, 'name': 'Lindsey Michelle Horan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 5097, 'name': 'Carli Anne Hollins'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",United States Women's,1214,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4d9e6509-925e-4d34-84a0-c9808320212e,2,,,22974,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States Women's,1214,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 24462, 'name': 'Claudia Christiane Endler Mutinelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25691, 'name': 'Su Helen Ignacia Galaz Espinoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 25692, 'name': 'Carla Valentina Guerrero Puelle'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25687, 'name': 'Camila Alejandra Saez Oyaneder'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 25688, 'name': 'Javiera Toro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 25693, 'name': 'Karen Araya'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25690, 'name': 'Francisca Alejandra Lara Lara'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 25817, 'name': 'Claudia Soto'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 25695, 'name': 'Daniela Paz Zamora Mancilla'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 25689, 'name': 'Rosario Balmaceda'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 25694, 'name': 'María José Urrutia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Chile Women's,1209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,True,f5697d39-e2e4-4bb4-8aff-51428277ef73,3,,,22974,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States Women's,1214,['22399672-74d3-4451-b21c-f651dfbae83a'],0,,,,,,,,,,,,,,,,,Chile Women's,1209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,True,22399672-74d3-4451-b21c-f651dfbae83a,4,,,22974,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,United States Women's,1214,['f5697d39-e2e4-4bb4-8aff-51428277ef73'],0,,,,,,,,,,,,,,,,,United States Women's,1214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,cf39767e-0db4-4b38-b899-cfc5bd798e74,1553,,,22974,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Chile Women's,1209,['199d23d7-fcd2-4e91-9273-1123c8952b28'],0,,,,,,,,,,,,,,,,,Chile Women's,1209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,199d23d7-fcd2-4e91-9273-1123c8952b28,1554,,,22974,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Chile Women's,1209,['cf39767e-0db4-4b38-b899-cfc5bd798e74'],0,,,,,,,,,,,,,,,,,United States Women's,1214,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.572077,,,,,,,,,,,,,,,,0f3dace8-31c2-45b9-ac73-003597c8b025,5,,"[60.0, 40.0]",22974,0,,,,,-2.812361,,Right Foot,,,"[48.0, 35.9]",,Ground Pass,,12.681088,,,,,Karen Araya,25693.0,,,,,,Kick Off,1,From Kick Off,María José Urrutia,25694.0,Center Forward,2,Chile Women's,1209,['52c148c3-5639-48f9-8022-4e0b01c26df9'],0,,,,,,,,,,,,,,,,,Chile Women's,1209,00:00:00.080,Pass,
,,,,,,,,,,,,,,,2.0629,,,,,,,,,,,,,,,,eb5171db-0823-4de8-8dcb-6b6fe1be33ac,8,,"[44.9, 36.3]",22974,0,,,,,-2.8669453,,Left Foot,,,"[26.8, 31.2]",,Ground Pass,,18.804787,,,,,Camila Alejandra Saez Oyaneder,25687.0,,,,,,,1,From Kick Off,Karen Araya,25693.0,Center Defensive Midfield,2,Chile Women's,1209,['b6a71c22-d69c-4412-8caa-7738e101708b'],1,,,,,,,,,,,,,,,,,Chile Women's,1209,00:00:01.451,Pass,
,,,,,,,,,,,,,,,2.386799,,,,,,,,,,,,,,,,efb93963-052b-4621-a6d8-210b9e8c3603,11,,"[24.1, 28.5]",22974,0,,,,,2.4314618,,Left Foot,,,"[7.7, 42.6]",,Ground Pass,,21.62799,,,,,Claudia Christiane Endler Mutinelli,24462.0,,,,,,,1,From Kick Off,Camila Alejandra Saez Oyaneder,25687.0,Left Center Back,2,Chile Women's,1209,['dc8ab4f7-8161-4887-b323-b29f468018ca'],5,,,,,,,,,,,,,,,,,Chile Women's,1209,00:00:05.832,Pass,
,,,,,,,,,,,,,,,2.6034,,,,,,,,,,,,,,,,9ee081a3-fc6b-4875-8c7b-b61a50d933bf,14,,"[15.0, 41.1]",22974,0,,,,,0.86753005,,Left Foot,,,"[45.1, 76.6]",,High Pass,,46.5431,,,,,Su Helen Ignacia Galaz Espinoza,25691.0,,,,,,,1,From Kick Off,Claudia Christiane Endler Mutinelli,24462.0,Goalkeeper,2,Chile Women's,1209,['172f30fc-9f4d-41cd-9441-1e6f18df0714'],11,,,,,,,,,,,,,,,,,Chile Women's,1209,00:00:11.510,Pass,
