50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_kick_off,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ab655b8d-e689-421a-888d-2fc3703108ec,1,,,,22945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,,0,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 25718, 'name': 'Chiamaka Cynthia Nnadozie'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 25462, 'name': 'Chidinma Nkeruka Okeke'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 25465, 'name': 'Onome Ebi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25470, 'name': 'Osinachi Marvis Ohale'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25468, 'name': 'Ngozi Ebere'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 25471, 'name': 'Ngozi Sonia Okobi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 25463, 'name': 'Chinaza Uchendu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 17312, 'name': 'Rita Chikwelu'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 24881, 'name': 'Asisat Lamina Oshoala'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 25472, 'name': 'Ugochi Desire Oparanozie'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Nigeria Women's,1213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5055f9de-9dab-4534-bf2a-c4d67d7d0f58,2,,,,22945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 25449, 'name': 'Min-Jeong Kim'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 25451, 'name': 'Hye-Ri Kim'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 25455, 'name': 'Bo-Ram Hwang'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25448, 'name': 'Do-Yeon Kim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25447, 'name': 'Sel-Gi Jang'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25445, 'name': 'Chae-Rim Kang'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 25444, 'name': 'Mi-Na Lee'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 25454, 'name': 'Seol-Bin Jung'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Korea Republic Women's,1211,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e019087a-b132-41dd-845c-50891f8185fb,3,,,,22945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,['60cac66c-f06f-4304-945a-0a7462d1ffd4'],0,,,,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,60cac66c-f06f-4304-945a-0a7462d1ffd4,4,,,,22945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,['e019087a-b132-41dd-845c-50891f8185fb'],0,,,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9e020674-66ca-4eae-b568-4a36e275b4c5,1573,,,,22945,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Korea Republic Women's,1211,['c6cf63bb-e295-454b-b97f-a30876a27636'],0,,,,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c6cf63bb-e295-454b-b97f-a30876a27636,1574,,,,22945,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Korea Republic Women's,1211,['9e020674-66ca-4eae-b568-4a36e275b4c5'],0,,,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.804601,,,,,,,,,,,aada121a-7d75-4428-a557-39a85421c78c,5,,,"[61.0, 40.1]",22945,0,,,,,-3.024484,,Right Foot,,,"[49.1, 38.7]",,Ground Pass,,11.98207,,,,,So-Hyun Cho,22798.0,,,,,,Kick Off,1,From Kick Off,Seol-Bin Jung,25454.0,Center Forward,2,Korea Republic Women's,1211,['6e43bec7-52e5-484c-804c-6e7863743278'],0,,,,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.640,Pass,
,,,,,,,,,,,,,,,2.65056,,,,,,,,,,,c633b297-1af4-4bff-b36e-18e0430a0268,8,,,"[48.7, 38.3]",22945,0,,,,,-0.4080941,,Right Foot,,,"[90.1, 20.4]",,High Pass,,45.103992,,,Incomplete,,Geum-Min Lee,25453.0,,,,,,,1,From Kick Off,So-Hyun Cho,22798.0,Left Center Midfield,2,Korea Republic Women's,1211,"['707cbd26-9231-41f7-8c92-aeb4e5b912a7', 'bf69621c-87be-4d18-a6c7-f18cf407a065']",1,,,,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:01.768,Pass,
,,,,,,,,,,,,,,,0.830683,,,,,,,,,,,0d59475d-93fe-4feb-8f18-6dde70af5653,13,,,"[38.2, 0.1]",22945,0,,,,,2.2884252,,,,,"[27.9, 11.9]",,Low Pass,,15.663013,,,,,Do-Yeon Kim,25448.0,,,,,,Throw-in,1,From Throw In,Sel-Gi Jang,25447.0,Left Back,3,Korea Republic Women's,1211,['c711e0d9-af87-46ee-8d83-433735c90755'],16,,,,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:16.420,Pass,
,,,,,,,,,,,,,,,1.920943,,,,,,,,,,,db50848e-7b55-4c49-a240-67f7382dd2d0,16,,,"[24.8, 13.7]",22945,0,,,,,1.9641134,,Right Foot,,,"[14.8, 37.8]",,Ground Pass,,26.092337,,,,,Min-Jeong Kim,25449.0,,,,,,,1,From Throw In,Do-Yeon Kim,25448.0,Left Center Back,3,Korea Republic Women's,1211,['e14138e0-bf23-4e00-b2b6-ff5dffa315d3'],19,,,,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:19.034,Pass,
