ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.2113,,,,,,,,,,,,,,d6d2eb1a-d312-4a3b-b49a-7e70b449773f,16,,"[46.2, 74.8]",22961,0,,,,,-0.18311082,,Left Foot,,,"[78.6, 68.8]",,High Pass,,32.950874,,Incomplete,,,,,,,,,,1,From Throw In,Risa Shimizu,25624.0,Right Back,3,Japan Women's,1210,['cedd9048-b4e1-4c10-b4a7-ab093543447a'],19,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:19.804,Pass,
,,,,,,,,,,,,,,,,1.5531,,,,,,,,,,,,,,cedd9048-b4e1-4c10-b4a7-ab093543447a,17,,"[41.5, 11.3]",22961,0,,,,,0.10029132,,Head,,,"[57.4, 12.9]",,High Pass,,15.9803,,Incomplete,,,,,,,,,Recovery,1,From Throw In,Jennifer Patricia Beattie,17524.0,Left Center Back,3,Japan Women's,1210,"['d6d2eb1a-d312-4a3b-b49a-7e70b449773f', 'f3e91c5e-4a97-4ce6-aedd-85d747f227c4']",23,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:23.015,Pass,
,,,,,,,,,,,,,,,,5.9019,,,,,,,,,,,,,,f3e91c5e-4a97-4ce6-aedd-85d747f227c4,18,,"[62.7, 67.2]",22961,0,,,,,0.045517195,,Right Foot,,,"[111.0, 69.4]",,High Pass,,48.35008,,,,Yuika Sugasawa,25637.0,,,,,,Recovery,1,From Throw In,Hina Sugita,25635.0,Left Defensive Midfield,3,Japan Women's,1210,"['9e7e2066-112e-47a0-b9fa-543c127bbe1d', 'cedd9048-b4e1-4c10-b4a7-ab093543447a']",24,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:24.568,Pass,
,,,,,,,,,,,,,,,,1.139811,,,,,,,,,,,,,,b3c1aed4-e389-453c-b9f2-980ff41ffcae,22,,"[107.0, 71.5]",22961,0,,,,,0.5423027,,Right Foot,,,"[114.8, 76.2]",,Ground Pass,,9.106591,,,,Emi Nakajima,25621.0,,,,,,,1,From Throw In,Yuika Sugasawa,25637.0,Right Center Forward,3,Japan Women's,1210,"['1a08c629-92cf-46af-a479-82df6f4aaf7e', 'ca1d8d64-4118-44a0-bf77-3c54dbf8c758']",33,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:33.373,Pass,True
,,,,,,,,,,,,,,,,0.2774,,,,,,,,,,,,,,b68d397d-2e6d-4043-a085-d200c977720a,25,,"[116.5, 65.6]",22961,0,,,,,-1.2008903,,Right Foot,,,"[118.4, 60.7]",,Ground Pass,,5.255473,,Incomplete,,,,,,,,,,1,From Throw In,Emi Nakajima,25621.0,Right Midfield,3,Japan Women's,1210,['cc7eebd6-5f11-4b94-9881-7c1b18ab28c4'],36,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:36.855,Pass,
,,,,,,,,,,,,,,,,1.869836,,,,,,,,,,,,,,1ebe9b5f-c7e7-4776-a0eb-3c15ce65b599,30,,"[119.7, 66.6]",22961,0,,,,,2.5763135,,Left Foot,,,"[106.3, 75.1]",,Ground Pass,,15.868523,,,,Yuika Sugasawa,25637.0,,,,,,,1,From Throw In,Emi Nakajima,25621.0,Right Midfield,3,Japan Women's,1210,['86ef6c1e-acd2-4f4e-bae7-fb0770fdd590'],40,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:40.340,Pass,
,,,,,,,,,,,,,,,,1.737201,,,,,,,,,,,,,,681e87f2-4ceb-4575-8c22-b49a6075e723,33,,"[106.3, 75.1]",22961,0,,,,,-1.5520318,6134d78e-7d50-4b3c-a6c7-042a6d05323f,Right Foot,True,,"[107.0, 37.8]",,High Pass,,37.30657,,,,Jun Endo,25608.0,True,,,,,,1,From Throw In,Yuika Sugasawa,25637.0,Right Center Forward,3,Japan Women's,1210,['2b40ecb5-8027-459f-8097-2e45b61167c0'],42,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:42.385,Pass,
,,,,,,,,,,,,,,,,0.965083,,,,,,,,,,,,,,9c41dde6-5122-4e37-95e2-2259ed17b619,40,,"[11.3, 36.4]",22961,0,,,,,-0.8426603,,Keeper Arm,,,"[18.7, 28.1]",,Ground Pass,,11.119802,,,,Jennifer Patricia Beattie,17524.0,,,,,,,1,Regular Play,Lee Alexander,25570.0,Goalkeeper,4,Scotland Women's,866,['6a2ea229-ea73-43d6-a942-71a8d761a652'],52,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:52.742,Pass,
,,,,,,,,,,,,,,,,2.4918,,,,,,,,,,,,,,d16d714a-61c4-4b09-92c6-3778374b099c,44,,"[17.8, 29.6]",22961,0,,,,,0.8923187,,Right Foot,,,"[51.9, 71.9]",,High Pass,,54.333233,,,,Lisa Evans,10179.0,,,True,,,,1,Regular Play,Jennifer Patricia Beattie,17524.0,Left Center Back,4,Scotland Women's,866,['c0a5fed2-0264-4c4b-a719-2a05c4fdc470'],55,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:55.440,Pass,
,,,,,,,,,,,,,,,,1.898826,,,,,,,,,,,,,,76964868-8689-45f9-b245-8090a65d6f66,46,,"[51.9, 71.9]",22961,0,,,,,-0.7712147,,Head,,,"[66.2, 58.0]",,High Pass,,19.942417,,Incomplete,,Jane Ross,4653.0,,,,,,,1,Regular Play,Lisa Evans,10179.0,Right Midfield,4,Scotland Women's,866,"['01778691-46db-48ef-ab29-56957fd94ee6', '7858aa4f-ea46-419a-ab62-af2a46b11f7c']",57,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:57.932,Pass,
