ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,deb93069-4f78-4150-8790-74533869e67d,1,,,,69199,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10394, 'name': 'Ingrid Hjelmseth'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4636, 'name': 'Maria Thorisdottir'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10393, 'name': 'Kristine Minde'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 25466, 'name': 'Vilde Bøe Risa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 24374, 'name': 'Ingrid Syrstad Engen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 25728, 'name': 'Karina Sævik'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 10386, 'name': 'Caroline Graham Hansen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 13479, 'name': 'Isabell Herlovsen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Norway Women's,852,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0638b48b-404d-4a20-ba6a-5fe6cd03d9c3,2,,,,69199,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 10170, 'name': 'Karen Bardsley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10183, 'name': 'Toni Duggan'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",England Women's,865,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,caeeeda1-93dc-4191-9b55-901832bc452e,3,,,,69199,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,['f02d115a-82fb-4d01-9bc7-16d03397bbed'],0,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f02d115a-82fb-4d01-9bc7-16d03397bbed,4,,,,69199,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Norway Women's,852,['caeeeda1-93dc-4191-9b55-901832bc452e'],0,,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cb36cf19-ea1b-43e4-add7-d82811f490de,1878,,,,69199,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Norway Women's,852,['4c12e80e-34e5-4d0f-8199-4fb4acfd38c6'],0,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4c12e80e-34e5-4d0f-8199-4fb4acfd38c6,1879,,,,69199,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Norway Women's,852,['cb36cf19-ea1b-43e4-add7-d82811f490de'],0,,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.81623,,,,,,,,,,,,,,,8bd0644b-83e0-4a1e-b61b-f81ca4dba124,5,,,"[61.0, 40.1]",69199,0,,,,,2.260913,,Right Foot,,,,"[41.6, 63.6]",,Ground Pass,,30.473103,,,,,Lucy Bronze,10178.0,,,,,,Kick Off,1,From Kick Off,Ellen White,10180.0,Center Forward,2,England Women's,865,['2ba49c9a-ce25-4d61-8c5e-0b269be4461f'],0,,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.810,Pass,
,,,,,,,,,,,,,,,2.0554,,,,,,,,,,,,,,,3c8a62a8-cf14-4e8a-85f9-8cee63cc5170,8,,,"[41.7, 67.3]",69199,0,,,,,-0.3091108,,Right Foot,,,,"[84.6, 53.6]",,High Pass,,45.03443,,,,,Ellen White,10180.0,,,,,,,1,From Kick Off,Lucy Bronze,10178.0,Right Back,2,England Women's,865,['7d3e26aa-93e9-40ba-b35b-aeb597a54fce'],4,,,,,,,,,,,,,,,,,,England Women's,865,00:00:04.112,Pass,
,,,,,,,,,,,,,,,2.339428,,,,,,,,,,,,,,,cfe98324-d4ac-4673-b5ff-2d3dbb529af9,11,,,"[84.6, 53.6]",69199,0,,,,True,1.4343938,,,,,,"[86.7, 68.9]",,High Pass,,15.443445,,,,,Jill Scott,10172.0,,,,,,,1,From Kick Off,Ellen White,10180.0,Center Forward,2,England Women's,865,"['6f017588-394f-4aaf-a256-4f6bec7ea143', 'f18193d5-9ad1-4759-9149-f66fd4f5d452']",6,,,,,,,,,,,,,,,,,,England Women's,865,00:00:06.208,Pass,True
,,,,,,,,,,,,,,,1.6176,,,,,,,,,,,,,,,83bd579a-025a-47f5-95ab-a3a9d4014a02,17,,,"[28.2, 12.3]",69199,0,,,,,-0.24497867,,Left Foot,,,,"[41.0, 9.1]",,Low Pass,,13.193938,,,Incomplete,,Isabell Herlovsen,13479.0,,,,,,Recovery,1,From Kick Off,Ingrid Syrstad Engen,24374.0,Left Defensive Midfield,2,England Women's,865,"['6b49c1db-c2ae-42d8-9366-581382630a1f', 'ab42b463-9e1f-4c76-8f49-fa0682cef74f']",10,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:10.508,Pass,
