ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,2.385704,,,,,,,,,,,,,,,1f6322fd-a807-4a9e-8f2b-6154daa7369a,971,,,"[6.0, 42.1]",22948,31,,,,,0.5714752,,Right Foot,,,"[42.7, 65.7]",,High Pass,,43.63313,,,Karina Sævik,25728.0,,,,,,,1,From Goal Kick,Ingrid Hjelmseth,10394.0,Goalkeeper,69,Norway Women's,852,"['34f384f1-2a67-4563-8894-307a02bdf72d', 'f7cfcbb6-78ce-4dcc-b16f-17bcafe67f49']",54,,,,,,,,,,,,,,,,,Norway Women's,852,00:31:54.264,Pass,True
,,,,,,,,,,,,,2.336972,,,,,,,,,,,,,,,d64f0261-a79d-4708-9542-e75b25c9421a,974,,,"[42.7, 65.7]",22948,31,,,,,1.0058023,,Right Foot,,,"[49.8, 76.9]",,Low Pass,,13.260844,,,Ingrid Moe Wold,10382.0,,,,,,,1,From Goal Kick,Karina Sævik,25728.0,Right Midfield,69,Norway Women's,852,['39507c4c-0bf9-40a8-97e1-47f9e078c1c0'],56,,,,,,,,,,,,,,,,,Norway Women's,852,00:31:56.729,Pass,
,,,,,,,,,,,,,4.051162,,,,,,,,,,,,,,,8d0e4e01-6c40-4e19-9b2c-588895fd7cc0,977,,,"[49.8, 76.9]",22948,31,,,,,-0.43073767,,Right Foot,,,"[99.2, 54.2]",,High Pass,,54.36589,Incomplete,,Isabell Herlovsen,13479.0,,,,,,,1,From Goal Kick,Ingrid Moe Wold,10382.0,Right Back,69,Norway Women's,852,"['66c4fd05-ed32-4f54-9b72-93cdf8231afd', '7d3ace0c-c9f4-4f0e-a7a0-f8732ca54850']",59,,,,,,,,,,,,,,,,,Norway Women's,852,00:31:59.106,Pass,
,,,,,,,,,,,,,1.785153,,,,,,,,,,,,,,,66c4fd05-ed32-4f54-9b72-93cdf8231afd,979,,,"[20.9, 25.9]",22948,32,,,,,-0.8379812,,Right Foot,,,"[41.6, 2.9]",,High Pass,,30.943335,,,Amel Majri,15249.0,,,,,,Recovery,1,Regular Play,Sarah Bouhaddi,10129.0,Goalkeeper,70,France Women's,861,"['8d0e4e01-6c40-4e19-9b2c-588895fd7cc0', 'c5daa0f2-19dc-4715-9a62-68c5f2ed6907']",3,,,,,,,,,,,,,,,,,France Women's,861,00:32:03.157,Pass,
,,,,,,,,,,,,,1.78592,,,,,,,,,,,,,,,cf454aa6-aa9b-457e-a251-0b32a5b26b8c,982,,,"[41.6, 2.9]",22948,32,,,,,0.39337015,,Left Foot,,,"[61.6, 11.2]",,Low Pass,,21.653868,,,Eugénie Le Sommer,10121.0,,,,,,,1,Regular Play,Amel Majri,15249.0,Left Back,70,France Women's,861,['ecf086a8-4c22-4ae6-b0be-4520795e67cb'],6,,,,,,,,,,,,,,,,,France Women's,861,00:32:06.654,Pass,
,,,,,,,,,,,,,0.895846,,,,,,,,,,,,,,,d54006dc-90f5-4582-af66-731495e86fdb,985,,,"[56.6, 11.0]",22948,32,,,,,-2.1341126,,Right Foot,,,"[54.2, 7.2]",,Ground Pass,,4.494441,,,Amandine Henry,10123.0,,,,,,,1,Regular Play,Eugénie Le Sommer,10121.0,Left Midfield,70,France Women's,861,['cafd0303-7256-4ef3-bf81-2943637f4743'],8,,,,,,,,,,,,,,,,,France Women's,861,00:32:08.928,Pass,
,,,,,,,,,,,,,1.439803,,,,,,,,,,,,,,,d4a8fee1-89cd-40b4-893f-2acdca5b8fd6,990,,,"[56.0, 0.1]",22948,32,,True,,,2.69475,,,,,"[51.2, 2.4]",,Low Pass,,5.322593,,,Amandine Henry,10123.0,,,,,,Throw-in,1,From Throw In,Amel Majri,15249.0,Left Back,71,France Women's,861,['fb11b695-43b4-4922-9f19-61d1dba4eb99'],28,,,,,,,,,,,,,,,,,France Women's,861,00:32:28.769,Pass,
,,,,,,,,,,,,,0.920141,,,,,,,,,,,,,,,5addf4aa-c3e8-44ba-a830-2803803766b4,993,,,"[64.1, 80.0]",22948,32,,,,,-2.3643243,,,,,"[57.9, 73.9]",,Low Pass,,8.6977005,,,Vilde Bøe Risa,25466.0,,,,,,Throw-in,1,From Throw In,Ingrid Moe Wold,10382.0,Right Back,72,Norway Women's,852,['fea83b03-5d61-40ed-8542-4af9310cabca'],35,,,,,,,,,,,,,,,,,Norway Women's,852,00:32:35.205,Pass,
,,,,,,,,,,,,,0.540085,,,,,,,,,,,,,,,6f1202aa-1683-4de0-9d95-914c779b05f0,997,,,"[59.2, 73.7]",22948,32,,,,,0.75762755,,Right Foot,,,"[62.9, 77.2]",,Ground Pass,,5.0931325,,,Ingrid Moe Wold,10382.0,,,,,,,1,From Throw In,Vilde Bøe Risa,25466.0,Right Center Midfield,72,Norway Women's,852,['662e799f-8bdb-4c35-bbe2-ea0da4d0c714'],36,,,,,,,,,,,,,,,,,Norway Women's,852,00:32:36.686,Pass,
,,,,,,,,,,,,,2.2798,,,,,,,,,,,,,,,19d86377-b410-4d21-b560-357495cf1774,1000,,,"[62.5, 77.5]",22948,32,,,,,-1.3028859,,Right Foot,,,"[66.7, 62.2]",,Ground Pass,,15.866001,Incomplete,,Ingrid Syrstad Engen,24374.0,,,,,,,1,From Throw In,Ingrid Moe Wold,10382.0,Right Back,72,Norway Women's,852,"['2b2887f8-b152-4f5e-9e82-5e44cc305335', 'f635de45-65fb-4658-ad34-3e40ceb15af5']",37,,,,,,,,,,,,,,,,,Norway Women's,852,00:32:37.346,Pass,
