ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a5caacc0-8840-4a7e-9750-97d0a34b7998,1,,,,69205,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10218, 'name': 'Laura Giuliani'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10371, 'name': 'Elisa Bartoli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 10366, 'name': 'Sara Gama'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 10213, 'name': 'Alia Guagni'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 25544, 'name': 'Valentina Bergamaschi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 2}, {'player': {'id': 10225, 'name': 'Aurora Galli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 10398, 'name': 'Valentina Cernoia'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Italy Women's,855,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ef415e8a-0fb5-483d-86ca-e992b88eb1b4,2,,,,69205,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10646, 'name': 'Sari van Veenendaal'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10657, 'name': 'Desiree van Lunteren'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10647, 'name': 'Stephanie van der Gragt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 25659, 'name': 'Merel van Dongen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 10645, 'name': 'Sherida Spitse'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10648, 'name': 'Shanice van de Sanden'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 10649, 'name': 'Lieke Martens'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Netherlands Women's,851,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1d2feec2-f938-45ea-b721-f814cdd3d880,3,,,,69205,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,['74bae49e-7f01-42a1-90cb-15971b70635f'],0,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,74bae49e-7f01-42a1-90cb-15971b70635f,4,,,,69205,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,['1d2feec2-f938-45ea-b721-f814cdd3d880'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,15243c81-c2c6-4cc3-b1a5-d5aeebd0b590,1717,,,,69205,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Netherlands Women's,851,['90434422-bf2b-41c6-b3e8-4300ad750fce'],0,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,90434422-bf2b-41c6-b3e8-4300ad750fce,1718,,,,69205,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Netherlands Women's,851,['15243c81-c2c6-4cc3-b1a5-d5aeebd0b590'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.659732,,,,,,,,,,,,,4af0f978-9150-4428-a02b-9e2d81674c8b,5,,,"[61.0, 40.1]",69205,0,,,,-3.116598,,Left Foot,,,,"[41.0, 39.6]",,Ground Pass,,20.006248,,,,,Sherida Spitse,10645.0,,,,,,Kick Off,1,From Kick Off,Vivianne Miedema,15623.0,Center Forward,2,Netherlands Women's,851,['95776fba-56f8-41b9-ac16-8b2738707942'],0,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.140,Pass,
,,,,,,,,,,,,,,,,,2.057378,,,,,,,,,,,,,a84cde5a-dc6b-4aa8-8f5b-aeaa19675477,8,,,"[42.4, 42.1]",69205,0,,,,1.4736816,,Right Foot,,,,"[45.8, 77.0]",,Ground Pass,,35.065224,,,,,Desiree van Lunteren,10657.0,,,,,,,1,From Kick Off,Sherida Spitse,10645.0,Center Defensive Midfield,2,Netherlands Women's,851,['fb2a3860-94db-4249-b8cc-1229fa686260'],2,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:02.703,Pass,
,,,,,,,,,,,,,,,,,1.216157,,,,,,,,,,,,,8281c0bc-9acc-41f0-893c-8821e0e82508,11,,,"[56.1, 75.8]",69205,0,,,,0.0,,Right Foot,,,,"[78.0, 75.8]",,Ground Pass,,21.9,,,,,Jackie Groenen,10654.0,,,,,,,1,From Kick Off,Desiree van Lunteren,10657.0,Right Back,2,Netherlands Women's,851,['767d880d-b70e-472f-98ed-5d093ca394aa'],7,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:07.500,Pass,
,,,,,,,,,,,,,,,,,1.991737,,,,,,,,,,,,,ca540279-7763-4bb2-ae69-f2266197a06b,17,,,"[42.3, 0.1]",69205,0,,,,0.2730087,,,,,,"[59.8, 5.0]",,High Pass,,18.173058,,,Incomplete,,Valentina Cernoia,10398.0,,,,,,Throw-in,1,From Throw In,Alia Guagni,10213.0,Left Back,3,Italy Women's,855,"['70333af0-6951-41d1-957c-71b6643f9919', 'a92d2eb1-96cb-4cff-b57d-09b893e9e840']",23,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:23.622,Pass,
