50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,3.5348,,,,,,,,,,,,,,15a378e7-c27f-458c-b676-8ffb4e7f9292,20,,"[29.3, 20.1]",68312,0,,,,,1.6881123,,Right Foot,,,"[26.0, 48.1]",Ground Pass,,28.193794,,,,,Kathellen Sousa Feitoza,25556.0,,,,,,1,From Kick Off,Monica Hickmann Alves,5071.0,Left Center Back,2,Brazil Women's,1203,['424a8374-cee1-47c6-a135-9ae5543ef0b8'],12,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:12.697,Pass,
,,,,,,,,,,,,,,,1.427228,,,,,,,,,,,,,,3164f25e-cc69-4956-9fb0-1c8135e37e69,23,,"[28.7, 50.8]",68312,0,,,,,-1.7454685,,Right Foot,,,"[25.1, 30.4]",Ground Pass,,20.715212,,,,,Monica Hickmann Alves,5071.0,,,,,,1,From Kick Off,Kathellen Sousa Feitoza,25556.0,Right Center Back,2,Brazil Women's,1203,['4f269b73-583b-4f4b-a25c-7a6fd4026a55'],18,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:18.204,Pass,
,,,,,,,,,,,,,,,1.272346,,,,,,,,,,,,,,fc3331e6-33da-404c-bcdf-04f0d75b7481,26,,"[25.1, 29.6]",68312,0,,,,,-1.1474495,,Right Foot,,,"[36.5, 4.3]",Ground Pass,,27.749775,,,,,Tamires Cássia Dias de Britto,25559.0,,,,,,1,From Kick Off,Monica Hickmann Alves,5071.0,Left Center Back,2,Brazil Women's,1203,['6d903c31-d4c5-4cdf-9282-217bdac955a4'],20,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:20.939,Pass,
,,,,,,,,,,,,,,,0.1369,,,,,,,,,,,,,,92b33075-fd9b-41eb-be96-a3aac8e450ff,30,,"[39.4, 5.6]",68312,0,,,,,-0.36520144,,Left Foot,,,"[42.8, 4.3]",Ground Pass,,3.640055,,,Incomplete,,,,,,,,,1,From Kick Off,Tamires Cássia Dias de Britto,25559.0,Left Back,2,Brazil Women's,1203,['b4c02fa2-3700-456f-8ddd-e0e763061282'],24,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:24.120,Pass,
,,,,,,,,,,,,,,,1.224035,,,,,,,,,,,,,,ffe9f19b-b48a-4326-b8a8-e5d1c565ffa0,32,,"[46.3, 0.1]",68312,0,,,,,2.7622926,,,,,"[32.0, 5.8]",High Pass,,15.394155,,,,,Monica Hickmann Alves,5071.0,,,,,Throw-in,1,From Throw In,Tamires Cássia Dias de Britto,25559.0,Left Back,3,Brazil Women's,1203,['98528731-4722-4901-b50b-5e52594e483f'],31,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:31.980,Pass,
,,,,,,,,,,,,,,,0.9724,,,,,,,,,,,,,,98c9f02d-f2af-4f21-9f90-0d5c8befd486,35,,"[31.4, 6.4]",68312,0,,,,,-0.37433362,,Left Foot,,,"[39.8, 3.1]",Ground Pass,,9.024965,,,,,Tamires Cássia Dias de Britto,25559.0,,,,,,1,From Throw In,Monica Hickmann Alves,5071.0,Left Center Back,3,Brazil Women's,1203,['fb56c1f8-cb24-444a-9fd7-9c94181b7da2'],34,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:34.201,Pass,
,,,,,,,,,,,,,,,1.213223,,,,,,,,,,,,,,202670c9-5761-4e23-be34-07a4bc83506d,37,,"[38.4, 3.3]",68312,0,,,,,2.9425108,,Left Foot,,,"[27.0, 5.6]",Ground Pass,,11.6297035,,,,,Monica Hickmann Alves,5071.0,,,,,,1,From Throw In,Tamires Cássia Dias de Britto,25559.0,Left Back,3,Brazil Women's,1203,['62e787c4-fec3-4557-a0d5-66879bd2524b'],35,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:35.174,Pass,
,,,,,,,,,,,,,,,1.227843,,,,,,,,,,,,,,e14ab4df-592c-458f-ad6b-e353b4f7242d,40,,"[31.8, 11.7]",68312,0,,,,,-1.0545657,,Right Foot,,,"[36.0, 4.3]",Ground Pass,,8.508819,,,,,Tamires Cássia Dias de Britto,25559.0,,,,,,1,From Throw In,Monica Hickmann Alves,5071.0,Left Center Back,3,Brazil Women's,1203,['a81e4bda-18b0-4398-af73-a398635b01a8'],39,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:39.179,Pass,
,,,,,,,,,,,,,,,1.393246,,,,,,,,,,,,,,b1234ae6-7254-47bd-8ee1-8ff7f0bdb0cc,44,,"[34.6, 2.2]",68312,0,,,,,0.3077328,,Left Foot,,,"[60.4, 10.4]",Low Pass,,27.071756,,,,,Marta Vieira da Silva,5082.0,,,,,,1,From Throw In,Tamires Cássia Dias de Britto,25559.0,Left Back,3,Brazil Women's,1203,"['a621143f-2bb0-4c84-9041-66b49e84a3fa', 'fdebcc5f-f6fb-479f-b1d8-88fbe141c766']",40,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:40.653,Pass,True
,,,,,,,,,,,,,,,1.9391,,,,,,,,,,,,,,b2da7197-5906-4b65-b2be-5cc6254d79d5,48,,"[60.4, 13.2]",68312,0,,,,,-0.6484824,,Left Foot,,,"[73.2, 3.5]",Ground Pass,,16.0602,,,,,Débora Cristiane de Oliveira,5044.0,,,,,,1,From Throw In,Marta Vieira da Silva,5082.0,Center Attacking Midfield,3,Brazil Women's,1203,"['43557593-88ae-4caa-9b44-572302f3634e', '7df27e5c-6a23-4792-a6fe-f757cc273993']",43,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:43.287,Pass,True
