bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2e70c316-dd10-4c80-8dd3-5e72fcefcb71,1,,,22980,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 25718, 'name': 'Chiamaka Cynthia Nnadozie'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 25462, 'name': 'Chidinma Nkeruka Okeke'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 25465, 'name': 'Onome Ebi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25470, 'name': 'Osinachi Marvis Ohale'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25468, 'name': 'Ngozi Ebere'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 17312, 'name': 'Rita Chikwelu'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25469, 'name': 'Halimatu Ibrahim Ayinde'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 25471, 'name': 'Ngozi Sonia Okobi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 25472, 'name': 'Ugochi Desire Oparanozie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 24881, 'name': 'Asisat Lamina Oshoala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Nigeria Women's,1213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,db327edd-1445-4825-9dd6-4ec486a1cead,2,,,22980,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10129, 'name': 'Sarah Bouhaddi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 10418, 'name': 'Eve Perisset'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10271, 'name': 'Griedge Mbock Bathy Nka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 10125, 'name': 'Wendie Renard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15249, 'name': 'Amel Majri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 10}, {'player': {'id': 15470, 'name': 'Delphine Cascarino'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 10123, 'name': 'Amandine Henry'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 25727, 'name': 'Charlotte Bilbault'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 25834, 'name': 'Viviane Asseyi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 25442, 'name': 'Valérie Gauvin'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 10113, 'name': 'Gaëtane Thiney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",France Women's,861,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cfa8b112-a25a-4873-b398-9fc0c748f97e,3,,,22980,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,['6133f60c-8dd7-4d04-b881-972bff6614d0'],0,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6133f60c-8dd7-4d04-b881-972bff6614d0,4,,,22980,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,['cfa8b112-a25a-4873-b398-9fc0c748f97e'],0,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a40deacb-d971-47f1-8ee1-4f9bbd5354c3,1563,,,22980,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Nigeria Women's,1213,['57a43625-9c42-46ff-b9d0-5adc5907d976'],0,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,57a43625-9c42-46ff-b9d0-5adc5907d976,1564,,,22980,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Nigeria Women's,1213,['a40deacb-d971-47f1-8ee1-4f9bbd5354c3'],0,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.181417,,,,,,,,,,,,,284dc497-99c8-4b94-9aae-3bc25819966d,5,,"[61.0, 40.1]",22980,0,,,,,-2.9594243,,Right Foot,,,"[53.4, 38.7]",Ground Pass,,7.7278714,,,,Amandine Henry,10123.0,,,,,,Kick Off,1,From Kick Off,Valérie Gauvin,25442.0,Right Center Forward,2,France Women's,861,['53fb636d-bc13-4d8c-821c-a07595059ee0'],0,,,,,,,,,,,,,,,,France Women's,861,00:00:00.270,Pass,
,,,,,,,,,,,,,,,,,,4.097775,,,,,,,,,,,,,8a270633-5f69-4aa5-90c7-718e6f611f5b,8,,"[54.8, 38.7]",22980,0,,,,,-0.5696998,,Right Foot,,,"[113.5, 1.1]",High Pass,,69.709755,,Out,,Viviane Asseyi,25834.0,,,,,,,1,From Kick Off,Amandine Henry,10123.0,Right Center Midfield,2,France Women's,861,['c1f5dbba-f314-4432-8345-439cf551dc1c'],2,,,,,,,,,,,,,,,,France Women's,861,00:00:02.536,Pass,
,,,,,,,,,,,,,,,,,,1.406333,,,,,,,,,,,,,2cd0639d-829c-42be-a5e5-45836d833ca7,10,,"[12.6, 80.0]",22980,0,,,,,-0.3466974,,,,,"[28.1, 74.4]",High Pass,,16.480595,,Incomplete,,Francisca Ordega,5022.0,,,,,,Throw-in,1,From Throw In,Chidinma Nkeruka Okeke,25462.0,Right Back,3,Nigeria Women's,1213,"['20a11ca0-60f8-4a2c-8b8c-966700860ff7', 'b5f8281d-d7bf-43b1-a58a-8ea0802b2117']",15,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:15.573,Pass,
,,,,,,,,,,,,,,,,,,1.179,,,,,,,,,,,,,b5f8281d-d7bf-43b1-a58a-8ea0802b2117,13,,"[92.0, 5.7]",22980,0,,,,True,0.5033994,,,,,"[98.9, 9.5]",Low Pass,,7.877182,,,,Gaëtane Thiney,10113.0,,,,,,Recovery,1,Regular Play,Amandine Henry,10123.0,Right Center Midfield,4,France Women's,861,"['0bfed58b-80b6-4773-be4f-c71d8389b375', '2cd0639d-829c-42be-a5e5-45836d833ca7', '8a7e4b9b-b1d6-4b89-bf7c-0a13d88d4f3d']",16,,,,,,,,,,,,,,,,France Women's,861,00:00:16.979,Pass,True
,,,,,,,,,,,,,,,,,,1.2339,,,,,,,,,,,,,64fb50ae-17b7-418f-a562-cde8f48ef85e,17,,"[99.0, 8.5]",22980,0,,,,,-0.26836622,,Right Foot,,,"[107.0, 6.3]",Ground Pass,,8.296988,,Incomplete,,Viviane Asseyi,25834.0,,,,,,,1,Regular Play,Gaëtane Thiney,10113.0,Left Center Forward,4,France Women's,861,"['5a6fe0f4-4abb-405d-a8a1-8047b71f4fcc', 'ab9a94b4-4533-4b45-9a7d-3c0bb643a9c6', 'd4841039-5e37-41a0-8fff-00bd28f2dbb6']",18,,,,,,,,,,,,,,,,France Women's,861,00:00:18.258,Pass,True
,,,,,,,,,,,,,,,,,,1.711959,,,,,,,,,,,,,77859fa7-ed39-4efb-b283-88e2905baace,20,,"[67.6, 43.0]",22980,0,,,,,-2.6352663,,Right Foot,,,"[56.6, 36.9]",Ground Pass,,12.5781555,,,,Griedge Mbock Bathy Nka,10271.0,,,,,,Recovery,1,Regular Play,Eve Perisset,10418.0,Right Back,4,France Women's,861,['364b6852-c5de-4ccd-a416-3f4b863306f9'],22,,,,,,,,,,,,,,,,France Women's,861,00:00:22.654,Pass,
,,,,,,,,,,,,,,,,,,1.608287,,,,,,,,,,,,,cf1e6009-e575-4d0e-ad62-cff273e23818,23,,"[56.6, 36.9]",22980,0,,,,,-2.3738918,,Right Foot,,,"[45.1, 25.8]",Ground Pass,,15.983116,,,,Wendie Renard,10125.0,,,,,,,1,Regular Play,Griedge Mbock Bathy Nka,10271.0,Right Center Back,4,France Women's,861,['085c3321-9213-43bb-9721-17f08d9683fd'],24,,,,,,,,,,,,,,,,France Women's,861,00:00:24.849,Pass,
,,,,,,,,,,,,,,,,,,1.349608,,,,,,,,,,,,,0ce7552e-08bc-4901-b920-a2310cb422e3,26,,"[44.8, 25.5]",22980,0,,,,,1.4715221,,Right Foot,,,"[47.3, 50.6]",Ground Pass,,25.224195,,,,Griedge Mbock Bathy Nka,10271.0,,,,,,,1,Regular Play,Wendie Renard,10125.0,Left Center Back,4,France Women's,861,['d9e06b2e-de50-4e02-88ed-6e3acff1c2f3'],28,,,,,,,,,,,,,,,,France Women's,861,00:00:28.044,Pass,
,,,,,,,,,,,,,,,,,,1.540311,,,,,,,,,,,,,9966ab6e-d650-484f-8085-523f1c951145,29,,"[46.1, 54.5]",22980,0,,,,,1.0421065,,Right Foot,,,"[57.9, 74.7]",Ground Pass,,23.394016,,,,Eve Perisset,10418.0,,,,,,,1,Regular Play,Griedge Mbock Bathy Nka,10271.0,Right Center Back,4,France Women's,861,['664c5452-ae91-4f9e-a69d-c60d6a624057'],30,,,,,,,,,,,,,,,,France Women's,861,00:00:30.590,Pass,
