ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,157d81ce-546b-4b91-9261-c720614e04f1,1,,,,68343,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Thailand Women's,1107,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 25813, 'name': 'Waraporn Boonsing'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25681, 'name': 'Warunee Phetwiset'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 9}, {'player': {'id': 25680, 'name': 'Natthakarn Chinwong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25812, 'name': 'Pitsamai Sornsai'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 25675, 'name': 'Sunisa Srangthaisong'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 10}, {'player': {'id': 25679, 'name': 'Ainon Phancha'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 25678, 'name': 'Rattikan Thongsombut'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 12}, {'player': {'id': 25673, 'name': 'Suchawadee Nildhamrong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 25670, 'name': 'Pikul Khueanpet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 25676, 'name': 'Silawan Intamee'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 25672, 'name': 'Kanjana Sungngoen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Thailand Women's,1107,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,078d265b-eaf3-46ee-9639-860388a017d1,2,,,,68343,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Thailand Women's,1107,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 24462, 'name': 'Claudia Christiane Endler Mutinelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25684, 'name': 'Rocio Andrea Soto Collao'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25692, 'name': 'Carla Valentina Guerrero Puelle'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25687, 'name': 'Camila Alejandra Saez Oyaneder'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 25690, 'name': 'Francisca Alejandra Lara Lara'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 25693, 'name': 'Karen Araya'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25685, 'name': 'Yesenia López'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 25686, 'name': 'Yanara Aedo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 25689, 'name': 'Rosario Balmaceda'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 25695, 'name': 'Daniela Paz Zamora Mancilla'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 25694, 'name': 'María José Urrutia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Chile Women's,1209,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,True,7ce525fa-c460-4f57-abc0-1717dd4a10ff,3,,,,68343,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Thailand Women's,1107,['d1e4c053-1d9f-4849-bed4-e5f6a59fc867'],0,,,,,,,,,,,,,,,,,Chile Women's,1209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,True,d1e4c053-1d9f-4849-bed4-e5f6a59fc867,4,,,,68343,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Thailand Women's,1107,['7ce525fa-c460-4f57-abc0-1717dd4a10ff'],0,,,,,,,,,,,,,,,,,Thailand Women's,1107,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,eb78fcda-ceb9-4481-a8a4-abff3aaa59d1,1751,,,,68343,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Chile Women's,1209,['49e01a82-f7bc-4592-be0d-fa039f2def24'],0,,,,,,,,,,,,,,,,,Thailand Women's,1107,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,49e01a82-f7bc-4592-be0d-fa039f2def24,1752,,,,68343,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Chile Women's,1209,['eb78fcda-ceb9-4481-a8a4-abff3aaa59d1'],0,,,,,,,,,,,,,,,,,Chile Women's,1209,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.763219,,,,,,,,,,,,,,fbe9e530-228a-4518-bf2b-6015a677c3f8,5,,,"[60.0, 40.0]",68343,0,True,,,2.3561945,,Right Foot,,,"[52.4, 47.6]",,Ground Pass,,10.748023,,Suchawadee Nildhamrong,25673.0,,,,,,Kick Off,1,From Kick Off,Kanjana Sungngoen,25672.0,Center Forward,2,Thailand Women's,1107,['abb9cc6e-c1a8-49d3-864d-2384c7eabfe9'],14,,,,,,,,,,,,,,,,,Thailand Women's,1107,00:00:14.220,Pass,
,,,,,,,,,,,,,,,,1.199364,,,,,,,,,,,,,,65cb9544-87db-4b15-acbf-9a6b3faae978,7,,,"[62.7, 53.9]",68343,0,,,,0.5016041,,Right Foot,,,"[75.1, 60.7]",,Ground Pass,,14.142136,Incomplete,Rattikan Thongsombut,25678.0,,,,,,,1,From Kick Off,Suchawadee Nildhamrong,25673.0,Right Center Midfield,2,Thailand Women's,1107,"['4e5982b7-ed98-4458-8213-ecd7825a78ca', 'ea43518b-1293-4f5b-990e-9c02df68a181']",15,,,,,,,,,,,,,,,,,Thailand Women's,1107,00:00:15.122,Pass,
,,,,,,,,,,,,,,,,0.584453,,,,,,,,,,,,,,f25628c3-494a-400b-84ff-36c0e0a5c1db,10,,,"[66.1, 56.3]",68343,0,,,,2.1327178,,Right Foot,,,"[62.7, 61.7]",,Ground Pass,,6.3812222,Incomplete,Suchawadee Nildhamrong,25673.0,,,,,,Recovery,1,From Kick Off,Ainon Phancha,25679.0,Center Defensive Midfield,2,Thailand Women's,1107,"['0115eea4-7fde-4670-9286-d5ae2b746ba0', '06ae6f52-f3ae-48d4-a48d-a39f45d87f15']",17,,,,,,,,,,,,,,,,,Thailand Women's,1107,00:00:17.992,Pass,
,,,,,,,,,,,,,,,,1.047179,,,,,,,,,,,,,,c4240ef6-a7b0-4ead-ab7d-cec3e9b4452f,15,,,"[109.1, 0.1]",68343,0,,,,1.9097126,,,,,"[104.2, 14.0]",,Low Pass,,14.738385,,Daniela Paz Zamora Mancilla,25695.0,,,,,,Throw-in,1,From Throw In,Francisca Alejandra Lara Lara,25690.0,Left Back,4,Chile Women's,1209,['c73be986-2ced-469f-8380-16bc9749008e'],41,,,,,,,,,,,,,,,,,Chile Women's,1209,00:00:41.026,Pass,
