ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0e952fd8-3c76-469b-9598-1d156d141273,1,,,,22921,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10129, 'name': 'Sarah Bouhaddi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 25446, 'name': 'Marion Torrent'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 10271, 'name': 'Griedge Mbock Bathy Nka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 10125, 'name': 'Wendie Renard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15249, 'name': 'Amel Majri'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 10}, {'player': {'id': 10123, 'name': 'Amandine Henry'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 10114, 'name': 'Elise Bussaglia'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 15470, 'name': 'Delphine Cascarino'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 10121, 'name': 'Eugénie Le Sommer'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 10137, 'name': 'Kadidiatou Diani'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 10113, 'name': 'Gaëtane Thiney'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",France Women's,861,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4a0517e8-79db-450b-84d5-b078392da3e9,2,,,,22921,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 25449, 'name': 'Min-Jeong Kim'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 25451, 'name': 'Hye-Ri Kim'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 25455, 'name': 'Bo-Ram Hwang'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25448, 'name': 'Do-Yeon Kim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25447, 'name': 'Sel-Gi Jang'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25450, 'name': 'Young-Ju Lee'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25452, 'name': 'Yu-Mi Kang'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 12}, {'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 25454, 'name': 'Seol-Bin Jung'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Korea Republic Women's,1211,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,50a32d59-acb5-4251-bb9a-6a25573f5d87,3,,,,22921,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,['4ef152e0-151b-40a2-8351-ee040fc41f1c'],0,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4ef152e0-151b-40a2-8351-ee040fc41f1c,4,,,,22921,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,['50a32d59-acb5-4251-bb9a-6a25573f5d87'],0,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bcfb3920-4575-44e9-a661-4e72b8c60615,1602,,,,22921,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,France Women's,861,['e0a2fda5-5f4a-4d0a-8767-f15dda27ced4'],0,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e0a2fda5-5f4a-4d0a-8767-f15dda27ced4,1603,,,,22921,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,France Women's,861,['bcfb3920-4575-44e9-a661-4e72b8c60615'],0,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.6712,,,,,,,,,,,,33155bf1-ccbc-4b41-975a-f6cc859f9c4c,5,,,"[61.0, 40.1]",22921,0,,,,3.1120155,,Right Foot,,,"[44.1, 40.6]",,Ground Pass,,16.907394,,,,Bo-Ram Hwang,25455.0,,,,,Kick Off,1,From Kick Off,So-Yun Ji,4647.0,Center Attacking Midfield,2,Korea Republic Women's,1211,['dbf63745-ccf1-4fc8-8bbc-d6afae87b765'],1,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:01.937,Pass,
,,,,,,,,,,,,,,,1.005,,,,,,,,,,,,a0be6efb-48f8-413b-b416-bd29faec5adb,8,,,"[43.8, 42.0]",22921,0,,,,-0.71803993,,Right Foot,,,"[70.7, 18.5]",,Low Pass,,35.71918,,,,Seol-Bin Jung,25454.0,,,,,,1,From Kick Off,Bo-Ram Hwang,25455.0,Right Center Back,2,Korea Republic Women's,1211,['6555f901-f84f-4a4b-8299-f98f95dd4115'],3,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:03.688,Pass,
,,,,,,,,,,,,,,,1.7728,,,,,,,,,,,,06859ea5-5041-4f93-8ca0-3aefb58b0069,12,,,"[39.6, 68.0]",22921,0,,,,-2.4526682,,Left Foot,,,"[26.0, 56.8]",,Ground Pass,,17.618172,,,,Griedge Mbock Bathy Nka,10271.0,,,,,Recovery,1,Regular Play,Delphine Cascarino,15470.0,Right Midfield,3,France Women's,861,['0bdd2f2a-bf5a-4961-8a23-98a0519c066f'],6,,,,,,,,,,,,,,,,,France Women's,861,00:00:06.655,Pass,
,,,,,,,,,,,,,,,2.1077,,,,,,,,,,,,b434c48a-7a32-4d75-a67d-e52994831193,15,,,"[23.7, 54.2]",22921,0,,,,-1.6342033,,Left Foot,,,"[22.1, 29.0]",,Ground Pass,,25.250742,,,,Wendie Renard,10125.0,,,,,,1,Regular Play,Griedge Mbock Bathy Nka,10271.0,Right Center Back,3,France Women's,861,['0aa5455f-e455-4561-bb22-adcfc1be211c'],9,,,,,,,,,,,,,,,,,France Women's,861,00:00:09.684,Pass,
