bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3486c8af-4fc3-4f84-95e6-b87a52fef269,1,,,68338,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland Women's,866,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25570, 'name': 'Lee Alexander'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25569, 'name': 'Nicola Docherty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10169, 'name': 'Leanne Crichton'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 9}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Scotland Women's,866,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9afce601-0d9e-4f37-884e-950820005ae4,2,,,68338,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland Women's,866,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 25611, 'name': 'Vanina Noemí Correa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25625, 'name': 'Linda Ruth Bravo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 25629, 'name': 'Agustina Barroso Basualdo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 25634, 'name': 'Aldana Cometti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 25633, 'name': 'Eliana Noemí Stábile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25602, 'name': 'Mariana Valeria Larroquette'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 25615, 'name': 'Flavia Lorena Benítez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 25606, 'name': 'Vanesa Santana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 25640, 'name': 'María Florencia Bonsegundo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 25641, 'name': 'Florencia Soledad Jaimes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Argentina Women's,1204,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6109af4f-904f-4520-8b53-40346c3cd0b6,3,,,68338,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland Women's,866,['ce302a36-f819-49ab-ba86-61fbf8fa41ed'],0,,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ce302a36-f819-49ab-ba86-61fbf8fa41ed,4,,,68338,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Scotland Women's,866,['6109af4f-904f-4520-8b53-40346c3cd0b6'],0,,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b163a3cb-4719-4e83-9ae7-b2929dc5e362,1829,,,68338,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Scotland Women's,866,['0bb0ebb8-ef42-4d6b-a4e1-edb301d50de2'],0,,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0bb0ebb8-ef42-4d6b-a4e1-edb301d50de2,1830,,,68338,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Scotland Women's,866,['b163a3cb-4719-4e83-9ae7-b2929dc5e362'],0,,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.3345,,,,,,,,,,,,,,,541a0851-b8d8-40c1-94fa-7a691cfd5c71,5,,"[61.0, 40.1]",68338,0,,,,,-2.9353824,,Right Foot,,,,"[41.4, 36.0]",,Ground Pass,,20.024235,,,Estefanía Romina Banini Ruiz,4944.0,,,,,Kick Off,1,From Kick Off,Florencia Soledad Jaimes,25641.0,Center Forward,2,Argentina Women's,1204,['7d973b5e-9724-4474-9311-a599ea4cf5c6'],0,,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.240,Pass,
,,,,,,,,,,,,,,,,,1.6012,,,,,,,,,,,,,,,25d41cf4-96d0-4781-9130-a43a376fd553,8,,"[39.0, 36.7]",68338,0,,,,,2.0403962,,Right Foot,,,,"[35.6, 43.4]",,Ground Pass,,7.5133214,,,Flavia Lorena Benítez,25615.0,,,,,,1,From Kick Off,Estefanía Romina Banini Ruiz,4944.0,Center Attacking Midfield,2,Argentina Women's,1204,['934c062c-e79b-40a5-96c0-acaa4aadc925'],1,,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:01.614,Pass,
,,,,,,,,,,,,,,,,,2.5639,,,,,,,,,,,,,,,9ded737f-5b9b-49ca-929b-2f2bf93b2649,11,,"[37.8, 41.2]",68338,0,,,,,-0.24164851,,Right Foot,,,,"[87.3, 29.0]",,High Pass,,50.98127,Incomplete,,María Florencia Bonsegundo,25640.0,,,,,,1,From Kick Off,Flavia Lorena Benítez,25615.0,Right Center Midfield,2,Argentina Women's,1204,"['f4c7a472-fd60-4538-96b0-405f488057be', 'fc87f57d-249a-4b17-9a31-6947a7c903e5']",3,,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:03.295,Pass,
,,,,,,,,,,,,,,,,,1.8767,,,,,,,,,,,,,,,f4c7a472-fd60-4538-96b0-405f488057be,13,,"[32.8, 51.1]",68338,0,,,,,0.69363207,,Head,,,,"[41.7, 58.5]",,High Pass,,11.574541,Incomplete,,Lisa Evans,10179.0,,,,,Recovery,1,From Kick Off,Rachel Corsie,4984.0,Right Center Back,2,Argentina Women's,1204,"['1edcde23-1f22-46a8-95f3-292bb79a0a52', '9ded737f-5b9b-49ca-929b-2f2bf93b2649', 'ce39e381-d5d5-489d-93a7-fade43b026a1']",5,,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:05.859,Pass,
