ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,049090f3-e9b1-4ccc-bd74-727b20034e51,1,,,,69191,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 10218, 'name': 'Laura Giuliani'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10213, 'name': 'Alia Guagni'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 10366, 'name': 'Sara Gama'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 10371, 'name': 'Elisa Bartoli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 25544, 'name': 'Valentina Bergamaschi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 2}, {'player': {'id': 10398, 'name': 'Valentina Cernoia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 10203, 'name': 'Cristiana Girelli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Italy Women's,855,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7c784507-f293-46d2-96c4-055859f799ad,2,,,,69191,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25483, 'name': 'Shimeng Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 25481, 'name': 'Peng Han'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 25480, 'name': 'Haiyan Wu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25487, 'name': 'Yuping Lin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25486, 'name': 'Shanshan Liu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 25485, 'name': 'Shanshan Wang'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 25490, 'name': 'Rui Zhang'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 25750, 'name': 'Yan Wang'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 25488, 'name': 'Yasha Gu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 24461, 'name': 'Shuang Wang'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 25749, 'name': 'Ying Li'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",China PR Women's,1207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,506e4e65-ff6a-4f17-a876-1d80a63bea0c,3,,,,69191,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,['bfc58f98-a4cb-4183-aa5c-699ae54bf674'],0,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bfc58f98-a4cb-4183-aa5c-699ae54bf674,4,,,,69191,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,['506e4e65-ff6a-4f17-a876-1d80a63bea0c'],0,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d4f3af6f-bb66-445b-93dd-1ac1dc3b6e6d,1659,,,,69191,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Italy Women's,855,['54ea1f73-83fc-4142-b1a3-b71b086f9bec'],0,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,54ea1f73-83fc-4142-b1a3-b71b086f9bec,1660,,,,69191,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Italy Women's,855,['d4f3af6f-bb66-445b-93dd-1ac1dc3b6e6d'],0,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.179386,,,,,,,,,,,,15166d9f-3d26-4870-88c7-dff36e9bf76c,5,,,"[61.0, 40.1]",69191,0,,,,,2.8488796,,Left Foot,,,,"[53.7, 42.3]",,Ground Pass,,7.6243033,,,Rui Zhang,25490.0,,,,,,Kick Off,1,From Kick Off,Shanshan Wang,25485.0,Right Midfield,2,China PR Women's,1207,['5b50d1b8-136e-4798-b659-3497de5f2af3'],1,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:01.455,Pass,
,,,,,,,,,,,,,,,,2.5265,,,,,,,,,,,,702d8d42-999b-4b27-8554-071ea2fe8fa8,8,,,"[52.7, 44.3]",69191,0,,,,,-0.57790196,,Right Foot,,,,"[89.5, 20.3]",,High Pass,,43.934498,,Incomplete,Ying Li,25749.0,,,,,,,1,From Kick Off,Rui Zhang,25490.0,Right Center Midfield,2,China PR Women's,1207,"['90baf663-2aa5-47ef-bc7b-bc738ac3262a', 'ead5e16c-3988-48b7-a5db-a98ca43e29ac']",2,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:02.881,Pass,
,,,,,,,,,,,,,,,,2.7836,,,,,,,,,,,,90baf663-2aa5-47ef-bc7b-bc738ac3262a,10,,,"[30.6, 59.8]",69191,0,,,,,-0.11216461,,Head,,,,"[67.0, 55.7]",,High Pass,,36.63018,,Incomplete,Cristiana Girelli,10203.0,,,,,,Recovery,1,From Kick Off,Alia Guagni,10213.0,Right Back,2,China PR Women's,1207,"['6ff77021-21b2-4248-bce0-107d499a1610', '702d8d42-999b-4b27-8554-071ea2fe8fa8', 'abac02a4-85cf-4afa-9398-edfc102c7dc5']",5,,,,,,,,,,,,,,,,Italy Women's,855,00:00:05.408,Pass,
,,,,,,,,,,,,,,,,2.1009,,,,,,,,,,,,abac02a4-85cf-4afa-9398-edfc102c7dc5,12,,,"[53.1, 24.4]",69191,0,,,,,-0.04777239,,Right Foot,,,,"[78.2, 23.2]",,High Pass,,25.12867,,,Shuang Wang,24461.0,,,,,,Recovery,1,From Kick Off,Yuping Lin,25487.0,Left Center Back,2,China PR Women's,1207,"['7b56a868-b9fd-448e-a50a-6ef0c1acba77', '90baf663-2aa5-47ef-bc7b-bc738ac3262a']",8,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:08.191,Pass,
