ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c886e5f6-e008-46a3-ba5c-f0b06f9124b6,1,,,22936,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 10170, 'name': 'Karen Bardsley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",England Women's,865,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f3a40fe7-28c3-43ab-b2c3-7162e38c79fa,2,,,22936,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 25570, 'name': 'Lee Alexander'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15720, 'name': 'Sophie Howard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25569, 'name': 'Nicola Docherty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15616, 'name': 'Kim Little'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Scotland Women's,866,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c96c2740-0f64-498f-b25c-78a305d6690f,3,,,22936,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['88589460-4575-4ca7-b90f-389642d36021'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,88589460-4575-4ca7-b90f-389642d36021,4,,,22936,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England Women's,865,['c96c2740-0f64-498f-b25c-78a305d6690f'],0,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b3a2c88a-f389-4541-9d94-5d16dcd923cc,1670,,,22936,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,Scotland Women's,866,['5d359c47-c4dd-4bbd-8c2c-66296faf9b08'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5d359c47-c4dd-4bbd-8c2c-66296faf9b08,1671,,,22936,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,Scotland Women's,866,['b3a2c88a-f389-4541-9d94-5d16dcd923cc'],0,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.2156,,,,,,,,,,,,b45ec7c4-babe-432d-ad9e-71aa32d53363,5,,"[61.0, 40.1]",22936,0,,,,,-2.758694,,Right Foot,,,,"[53.8, 37.2]",,Ground Pass,,7.7620873,,,,,Caroline Weir,10188.0,,,,,,Kick Off,1,From Kick Off,Erin Cuthbert,4660.0,Center Forward,2,Scotland Women's,866,['5c2ed571-0c46-40f9-b260-0ca4cec37905'],1,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:01.166,Pass,
,,,,,,,,,,,,,,2.394,,,,,,,,,,,,9cda5907-5456-44ab-a279-11411ad70e3e,9,,"[53.7, 45.5]",22936,0,,,,,1.9756881,,Left Foot,,,,"[41.7, 73.5]",,Ground Pass,,30.463093,,,,,Sophie Howard,15720.0,,,,,,,1,From Kick Off,Caroline Weir,10188.0,Left Center Midfield,2,Scotland Women's,866,"['010e4823-1a49-4264-a4f0-094ed4528058', 'c719e131-645d-47e5-a96a-0e3e4a7f6165']",2,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:02.951,Pass,True
,,,,,,,,,,,,,,3.3113,,,,,,,,,,,,2173acdb-fd57-4e47-a5df-534ddb21a8ba,13,,"[40.6, 73.9]",22936,0,,,,,-2.3774679,,Right Foot,,,,"[9.4, 44.0]",,Low Pass,,43.214,,,,,Lee Alexander,25570.0,,,,,,,1,From Kick Off,Sophie Howard,15720.0,Right Back,2,Scotland Women's,866,"['1eed2155-442f-4c5e-8ad9-cb7070893059', '32bf6c79-4979-43f6-b0fc-a474f379b943']",5,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:05.425,Pass,True
,,,,,,,,,,,,,,3.4875,,,,,,,,,,,,6919be26-46e0-4e58-824d-e46f62a6895a,16,,"[10.5, 44.9]",22936,0,,,,,0.3599319,,Right Foot,,,,"[67.1, 66.2]",,High Pass,,60.4752,,,Incomplete,,Christie Murray,15628.0,,,,,,,1,From Kick Off,Lee Alexander,25570.0,Goalkeeper,2,Scotland Women's,866,"['7b876fd8-c0bc-4bca-9377-22dcfddb4f33', '855ce1e4-dcfa-4a7f-9b63-6f7bdbc01fdd']",8,,,,,,,,,,,,,,,,,Scotland Women's,866,00:00:08.776,Pass,
