50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8f2f125a-21be-4536-afb3-d31de634fa34,1,,,22940,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,,0,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 25611, 'name': 'Vanina Noemí Correa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25639, 'name': 'Virginia Gómez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 25629, 'name': 'Agustina Barroso Basualdo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 25634, 'name': 'Aldana Cometti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 25633, 'name': 'Eliana Noemí Stábile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25615, 'name': 'Flavia Lorena Benítez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 25640, 'name': 'María Florencia Bonsegundo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 25625, 'name': 'Linda Ruth Bravo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 25617, 'name': 'Miriam Anahí Mayorga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 25641, 'name': 'Florencia Soledad Jaimes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Argentina Women's,1204,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d7ea1505-b2fc-49a8-8171-874e8c4805b0,2,,,22940,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25627, 'name': 'Ayaka Yamashita'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 25624, 'name': 'Risa Shimizu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 15257, 'name': 'Saki Kumagai'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25638, 'name': 'Moeka Minami'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 25636, 'name': 'Aya Sameshima'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25621, 'name': 'Emi Nakajima'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 25635, 'name': 'Hina Sugita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 25613, 'name': 'Narumi Miura'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 25632, 'name': 'Yui Hasegawa'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 25637, 'name': 'Yuika Sugasawa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 25619, 'name': 'Kumi Yokoyama'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Japan Women's,1210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ea29bf4b-52aa-4f60-8997-7f0a16339c76,3,,,22940,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,['cf1b4574-fcf0-4735-af94-75ac886e7de3'],0,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf1b4574-fcf0-4735-af94-75ac886e7de3,4,,,22940,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,['ea29bf4b-52aa-4f60-8997-7f0a16339c76'],0,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cb067460-0386-4363-b3ab-8958a3c4a6c5,1761,,,22940,45,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,95,Japan Women's,1210,['5946bbb9-23cc-4657-9a8d-f139df84f602'],0,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5946bbb9-23cc-4657-9a8d-f139df84f602,1762,,,22940,45,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,95,Japan Women's,1210,['cb067460-0386-4363-b3ab-8958a3c4a6c5'],0,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.887561,,,,,,,,,,,,,75f48e79-0904-4762-b762-6c96b90b0f4e,5,,"[60.0, 40.0]",22940,0,,,,-2.8511908,,Right Foot,,,"[51.3, 37.4]",Ground Pass,,9.080198,,,Estefanía Romina Banini Ruiz,4944.0,,,,,Kick Off,1,From Kick Off,Florencia Soledad Jaimes,25641.0,Center Forward,2,Argentina Women's,1204,['8da81014-99dc-4257-a2ab-2f249a943991'],0,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.527,Pass,
,,,,,,,,,,,,,,,,,2.302783,,,,,,,,,,,,,aec10c79-c563-4149-9871-1857f73d3e90,9,,"[54.7, 42.3]",22940,0,,,,0.6666611,,Right Foot,,,"[86.6, 67.4]",High Pass,,40.590885,,,María Florencia Bonsegundo,25640.0,,,,,,1,From Kick Off,Estefanía Romina Banini Ruiz,4944.0,Left Midfield,2,Argentina Women's,1204,['6b0280b8-50a3-49be-a232-744df3849eb1'],3,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:03.210,Pass,
,,,,,,,,,,,,,,,,,0.749,,,,,,,,,,,,,53932d16-cc0a-4d4a-b500-dba35b75dcd8,11,,"[86.6, 67.4]",22940,0,,,,-1.4130276,,Head,,,"[88.0, 58.6]",High Pass,,8.910667,Incomplete,,,,,,,,,1,From Kick Off,María Florencia Bonsegundo,25640.0,Right Midfield,2,Argentina Women's,1204,['705d3ef3-661d-4b89-a5b0-26874f160cb0'],5,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:05.573,Pass,
,,,,,,,,,,,,,,,,,1.5162,,,,,,,,,,,,,5588b96e-9326-408b-8dd3-b1ba57c495f8,13,,"[78.6, 80.0]",22940,0,,,,-0.2504431,,,,,"[100.1, 74.5]",High Pass,,22.19234,Incomplete,,María Florencia Bonsegundo,25640.0,,,,,Throw-in,1,From Throw In,Virginia Gómez,25639.0,Right Back,3,Argentina Women's,1204,"['6567bf5e-f85f-4d47-b210-29dbabb77c01', '8fa32107-0cf3-4638-bf38-d841d2c2475e']",20,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:20.169,Pass,
