50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c072a280-71a8-4a19-8f70-5592b303065f,1,,,,22939,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada Women's,1206,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25609, 'name': 'Stephanie Lynn Marie Labbé'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15290, 'name': 'Ashley Elizabeth Marie Lawrence'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 15357, 'name': 'Kadeisha Buchanan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 5043, 'name': 'Nichelle Patrice Prince'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 15180, 'name': 'Sophie Schmidt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 25612, 'name': 'Jessie Alexandra Fleming'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Canada Women's,1206,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e4ff5602-32e9-441e-ae53-70eacadf72c9,2,,,,22939,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada Women's,1206,,0,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 25620, 'name': 'Annette Ngo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25614, 'name': 'Marie Aurelle Awona'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 11}, {'player': {'id': 25618, 'name': 'Christine Manie'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 25630, 'name': 'Claudine Falonne Meffometou Tcheno'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 25623, 'name': 'Yvonne Patrice Leuko'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 4}, {'player': {'id': 25631, 'name': 'Jeannette Yango'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25628, 'name': 'Ajara Nchout'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 25616, 'name': 'Gabrielle Onguene'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 25626, 'name': 'Raissa Feudjio Tchuanyo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 25622, 'name': 'Marlyse Bernadette Ngo Ndoumbouk'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Cameroon Women's,1208,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,True,e619c3db-2f14-4777-8bdc-d13cdfe527c6,3,,,,22939,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada Women's,1206,['166849d3-895c-4de5-bf6f-20f686440286'],0,,,,,,,,,,,,,,,,Cameroon Women's,1208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,True,166849d3-895c-4de5-bf6f-20f686440286,4,,,,22939,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Canada Women's,1206,['e619c3db-2f14-4777-8bdc-d13cdfe527c6'],0,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7485a58b-27da-4dba-b42c-eeebe114be0d,1633,,,,22939,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Cameroon Women's,1208,['fa79368e-dcf8-451f-8452-399a063b24f9'],0,,,,,,,,,,,,,,,,Cameroon Women's,1208,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fa79368e-dcf8-451f-8452-399a063b24f9,1634,,,,22939,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Cameroon Women's,1208,['7485a58b-27da-4dba-b42c-eeebe114be0d'],0,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.6069,,,,,,,,,,,,,,,34243352-6e54-41d7-94cc-93d9f2b3ba5b,5,,,"[61.0, 40.1]",22939,0,,True,,,2.479785,,Right Foot,,,"[42.9, 54.2]",,Ground Pass,,22.943844,,,,Kadeisha Buchanan,15357.0,,,,,Kick Off,1,From Kick Off,Jessie Alexandra Fleming,25612.0,Left Center Forward,2,Canada Women's,1206,['33c2ce1f-d0d9-4602-b185-64a28a92777c'],6,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:06.447,Pass,
,,,,,,,,,,,,,,,,1.7052,,,,,,,,,,,,,,,f3991769-60f6-4ca6-b8b2-fa83fc1bd5f1,7,,,"[50.2, 58.4]",22939,0,,,,,-0.022035,,Right Foot,,,"[86.5, 57.6]",,High Pass,,36.308815,,Incomplete,,Nichelle Patrice Prince,5043.0,,,,,,1,From Kick Off,Kadeisha Buchanan,15357.0,Right Center Back,2,Canada Women's,1206,"['3122556f-1cc6-4d32-a212-caffbac0ccf1', 'b85690e2-2904-4764-adf9-d1e1e299fe27']",7,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:07.182,Pass,
,,,,,,,,,,,,,,,,1.4665,,,,,,,,,,,,,,,e7e5c557-5b14-4315-aadf-e1418b112b83,11,,,"[83.6, 39.7]",22939,0,,,,True,-1.5395565,,,,,"[83.9, 30.1]",,Low Pass,,9.604687,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Janine Elizabeth Beckie,4992.0,Left Midfield,2,Canada Women's,1206,"['75ea471a-e973-4eb1-93a5-8b055e01e65e', 'c5c3a4ea-aa62-479c-8c92-bfa5398b6d70']",12,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:12.020,Pass,True
,,,,,,,,,,,,,,,,1.0571,,,,,,,,,,,,,,,1f3dcf59-fa4a-4b6a-b1c4-eba123c52973,14,,,"[61.9, 27.7]",22939,0,,,,True,0.69702137,,,,,"[70.5, 34.9]",,Low Pass,,11.21606,,Incomplete,,Christine Margaret Sinclair,5020.0,,,,,Recovery,1,From Kick Off,Shelina Laura Zadorsky,5074.0,Left Center Back,2,Canada Women's,1206,"['086c22db-e675-48a0-b36a-be2550519f35', '6ffeeeef-181a-47e8-8932-ee4d3fe97423', 'b9090936-a599-413d-9117-01b5b8f1ba9d']",16,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:16.934,Pass,True
