ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cd463cfb-dc4d-48a0-847d-2779c7e31ea3,1,,,,22981,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25449, 'name': 'Min-Jeong Kim'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 25447, 'name': 'Sel-Gi Jang'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 25836, 'name': 'Dam-Yeong Shin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 25448, 'name': 'Do-Yeon Kim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25835, 'name': 'Eun-Mi Lee'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25445, 'name': 'Chae-Rim Kang'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 25717, 'name': 'Mi-Ra Moon'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 25443, 'name': 'Min-Ji Yeo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Korea Republic Women's,1211,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bd4a9943-43ed-45b8-8a5a-52ecc420d706,2,,,,22981,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 10394, 'name': 'Ingrid Hjelmseth'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4636, 'name': 'Maria Thorisdottir'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10393, 'name': 'Kristine Minde'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 10386, 'name': 'Caroline Graham Hansen'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 25466, 'name': 'Vilde Bøe Risa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 24374, 'name': 'Ingrid Syrstad Engen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 10387, 'name': 'Lisa-Marie Utland'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 13479, 'name': 'Isabell Herlovsen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Norway Women's,852,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2b01568b-c436-4762-8e10-969f93f3c3e1,3,,,,22981,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,['fc8a5b30-0df8-4dc0-b2e6-4ef38af8a153'],0,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fc8a5b30-0df8-4dc0-b2e6-4ef38af8a153,4,,,,22981,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,['2b01568b-c436-4762-8e10-969f93f3c3e1'],0,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e1a1cf0a-7522-455b-8e35-236624aa5a39,1352,,,,22981,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Korea Republic Women's,1211,['b84f265a-f750-46f5-aaf0-e997d825868b'],0,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b84f265a-f750-46f5-aaf0-e997d825868b,1353,,,,22981,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,95,Korea Republic Women's,1211,['e1a1cf0a-7522-455b-8e35-236624aa5a39'],0,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.4806,,,,,,,,,,,,,,fa80cd99-b29f-4739-bc5d-c7a76e1eee8c,5,,,"[61.0, 40.1]",22981,0,,,,2.9705884,,Right Foot,,,,"[36.1, 44.4]",,Ground Pass,,25.268557,,Maren Nævdal Mjelde,10395.0,,,,,,Kick Off,1,From Kick Off,Isabell Herlovsen,13479.0,Left Center Forward,2,Norway Women's,852,['b6393641-de77-4b1f-ac06-d802fc56b778'],0,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.110,Pass,
,,,,,,,,,,,,,,,,1.8407,,,,,,,,,,,,,,d2b756ce-b391-4bdd-b99c-5d6b63b83a26,8,,,"[36.4, 43.6]",22981,0,,,,-1.6867783,,Right Foot,,,,"[34.0, 23.0]",,Ground Pass,,20.739334,,Maria Thorisdottir,4636.0,,,,,,,1,From Kick Off,Maren Nævdal Mjelde,10395.0,Right Center Back,2,Norway Women's,852,['6d9ffa9b-1aed-40fd-b4fe-b4225d199454'],2,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:02.543,Pass,
,,,,,,,,,,,,,,,,1.5911,,,,,,,,,,,,,,32c47a76-d089-49a3-a0c3-9c6a31a69533,11,,,"[34.0, 22.8]",22981,0,,,,1.6863836,,Left Foot,,,,"[30.9, 49.5]",,Ground Pass,,26.87936,,Maren Nævdal Mjelde,10395.0,,,,,,,1,From Kick Off,Maria Thorisdottir,4636.0,Left Center Back,2,Norway Women's,852,['d1dc5129-79d5-408a-b621-c0d92cdd8d40'],4,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:04.998,Pass,
,,,,,,,,,,,,,,,,1.995034,,,,,,,,,,,,,,2276d1fc-d079-410f-8843-b6aa0c7a54d2,14,,,"[25.6, 50.5]",22981,0,,,,-1.5187885,,Right Foot,,,,"[27.5, 14.0]",,Ground Pass,,36.54942,,Maria Thorisdottir,4636.0,,,,,,,1,From Kick Off,Maren Nævdal Mjelde,10395.0,Right Center Back,2,Norway Women's,852,['d9fad2ec-62b7-4e1b-931a-3712ea878d18'],7,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:07.805,Pass,
