player_id,player_name,team,total_minutes_played,passes_per_minute,completed_passes_per_minute,progressive_passes_per_minute,penalty_area_passes_per_minute,long_passes_per_minute,assists_per_minute,key_passes_per_minute,shots_per_minute,shots_on_target_per_minute,goals_per_minute,xg_per_minute,dribbles_per_minute,successful_dribbles_per_minute,duels_per_minute,won_duels_per_minute,tackles_per_minute,successful_tackles_per_minute,interceptions_per_minute,ball_recoveries_per_minute,clearances_per_minute,blocks_per_minute,fouls_committed_per_minute,fouls_won_per_minute,pass_accuracy_per_minute,dribble_success_rate_per_minute,duel_win_rate_per_minute,tackle_success_rate_per_minute,shot_accuracy_per_minute,progressive_pass_rate_per_minute,penalty_area_pass_rate_per_minute,long_pass_rate_per_minute
2995.0,Ángel Fabián Di María Hernández,Real Madrid,159,0.42138364779874216,0.3081761006289308,0.16981132075471697,0.1069182389937107,0.1320754716981132,0.012578616352201259,0.012578616352201259,0.006289308176100629,0.006289308176100629,0.0,0.0002015206289308176,0.06289308176100629,0.050314465408805034,0.025157232704402517,0.0,0.006289308176100629,0.0,0.0,0.08176100628930817,0.006289308176100629,0.03773584905660377,0.031446540880503145,0.031446540880503145,0.7313432835820896,0.8,0.0,0.0,1.0,0.40298507462686567,0.2537313432835821,0.31343283582089554
3236.0,Sergi Darder Moll,Málaga,12,0.5833333333333334,0.5,0.25,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285
3253.0,Adil Rami,Valencia,93,0.34408602150537637,0.25806451612903225,0.1935483870967742,0.010752688172043012,0.13978494623655913,0.0,0.0,0.010752688172043012,0.0,0.0,6.986731182795698e-05,0.0,0.0,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.0,0.06451612903225806,0.07526881720430108,0.010752688172043012,0.010752688172043012,0.0,0.75,0.0,1.0,1.0,0.0,0.5625,0.03125,0.40625
3272.0,Oriol Romeu Vidal,Valencia,91,0.5054945054945055,0.43956043956043955,0.15384615384615385,0.01098901098901099,0.06593406593406594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04395604395604396,0.01098901098901099,0.03296703296703297,0.01098901098901099,0.01098901098901099,0.06593406593406594,0.03296703296703297,0.03296703296703297,0.0,0.01098901098901099,0.8695652173913043,0.0,0.25,0.3333333333333333,0.0,0.30434782608695654,0.021739130434782608,0.13043478260869565
3385.0,Alexis Alejandro Sánchez Sánchez,Barcelona,1820,0.4142857142857143,0.317032967032967,0.05054945054945055,0.08241758241758242,0.03076923076923077,0.0027472527472527475,0.013736263736263736,0.026923076923076925,0.012637362637362638,0.007142857142857143,0.004160493112087912,0.05714285714285714,0.035164835164835165,0.03626373626373627,0.006593406593406593,0.019230769230769232,0.006593406593406593,0.008241758241758242,0.046703296703296704,0.002197802197802198,0.015934065934065933,0.015934065934065933,0.025274725274725275,0.7652519893899205,0.6153846153846154,0.18181818181818182,0.34285714285714286,0.46938775510204084,0.1220159151193634,0.1989389920424403,0.07427055702917772
3478.0,Francesc Fàbregas i Soler,Barcelona,1907,0.9103303618248558,0.7839538542212899,0.2663869952805454,0.09229155742003146,0.13266911379129523,0.0047194546407970635,0.018353434714210803,0.019402202412165705,0.007341373885684321,0.0026219192448872575,0.0020985716858940746,0.022548505506030415,0.015731515469323543,0.03670686942842161,0.0036706869428421605,0.018877818563188254,0.0036706869428421605,0.005243838489774515,0.05663345568956476,0.006292606187729418,0.01782905086523335,0.019402202412165705,0.019402202412165705,0.8611751152073732,0.6976744186046512,0.1,0.19444444444444445,0.3783783783783784,0.2926267281105991,0.10138248847926268,0.14573732718894009
3497.0,Vicente Iborra De La Fuente,Sevilla,64,0.515625,0.4375,0.203125,0.03125,0.109375,0.0,0.0,0.015625,0.0,0.0,0.00076076575,0.0,0.0,0.015625,0.015625,0.015625,0.015625,0.0,0.0,0.0,0.03125,0.015625,0.0,0.8484848484848485,0.0,1.0,1.0,0.0,0.3939393939393939,0.06060606060606061,0.21212121212121213
3509.0,Thibaut Courtois,Atlético Madrid,177,0.24858757062146894,0.11299435028248588,0.23728813559322035,0.0,0.20903954802259886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03954802259887006,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.8409090909090909
3515.0,Alberto Moreno Pérez,Sevilla,183,0.4098360655737705,0.32786885245901637,0.15300546448087432,0.00546448087431694,0.060109289617486336,0.0,0.00546448087431694,0.01092896174863388,0.00546448087431694,0.00546448087431694,0.0003748845775956284,0.00546448087431694,0.00546448087431694,0.02185792349726776,0.01092896174863388,0.02185792349726776,0.01092896174863388,0.0,0.04918032786885246,0.04918032786885246,0.01639344262295082,0.03825136612021858,0.00546448087431694,0.8,1.0,0.5,0.5,0.5,0.37333333333333335,0.013333333333333334,0.14666666666666667
3606.0,Ander Herrera Agüera,Athletic Club,92,0.6304347826086957,0.5108695652173914,0.18478260869565216,0.05434782608695652,0.10869565217391304,0.0,0.03260869565217391,0.010869565217391304,0.0,0.0,0.00036244576086956525,0.021739130434782608,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.021739130434782608,0.09782608695652174,0.021739130434782608,0.07608695652173914,0.05434782608695652,0.06521739130434782,0.8103448275862069,0.0,0.0,0.0,0.0,0.29310344827586204,0.08620689655172414,0.1724137931034483
