50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.548138,,,,,,,,,,,,,,,,45e12ca1-0f6f-4110-8d17-d639e07f4eb2,3038,,,"[71.7, 11.7]",3900564,85,,,,,0.060452566,,Left Foot,,,,"[109.7, 14.0]",High Pass,,38.069542,,,Lossémy Karaboué,7301.0,,,,,Recovery,2,From Throw In,Matthieu Saunier,13730.0,Left Center Back,184,Troyes,133,"['2832f7ac-4c42-482c-9913-e265caf87fbe', '3aa2781a-095a-4b39-9f25-ed7d816cc9a3']",9,,,,,,,,,,,,,,,,,,Troyes,133,00:40:09.303,Pass,
,,,,,,,,,,,,,,,,,,0.070814,,,,,,,,,,,,,,,,64b3ae20-643e-400b-a5f0-db7c27c15a3f,3043,,,"[109.7, 13.7]",3900564,85,,,,,1.815775,,Right Foot,,,,"[109.5, 14.5]",Low Pass,,0.82462114,Incomplete,,Jimmy Cabot,7336.0,,,,,,2,From Throw In,Lossémy Karaboué,7301.0,Left Midfield,184,Troyes,133,"['070846eb-02cf-4c95-aae6-25697363460c', 'a464268d-a6aa-43f3-82b3-9b166deda8d1', 'af8efd70-5877-45a4-b511-9360b7bc141a', 'e5e6023e-d511-45d3-93e8-0f694ad1d3c7']",13,,,,,,,,,,,,,,,,,,Troyes,133,00:40:13.720,Pass,True
,,,,,,,,,,,,,,,,,,0.825745,,,,,,,,,,,,,,,,b8da4512-cac6-4c81-8b58-9a150e916643,3046,,,"[99.4, 15.0]",3900564,85,,,,,-1.6316966,,Right Foot,,,,"[98.9, 6.8]",Ground Pass,,8.21523,,,Chris Mavinga,18162.0,,,,,Recovery,2,From Throw In,Thomas Ayasse,7488.0,Right Defensive Midfield,184,Troyes,133,['53bdc51c-d977-4a39-943b-04818a454907'],15,,,,,,,,,,,,,,,,,,Troyes,133,00:40:15.474,Pass,
,,,,,,,,,,,,,,,,,,1.314692,,,,,,,,,,,,,,,,257a8c8a-af83-4370-98f5-cb2bab5bcf02,3056,,,"[98.7, 13.7]",3900564,86,,,,,1.0455527,,Right Foot,True,,,"[114.0, 40.1]",High Pass,,30.513111,Incomplete,,Chris Mavinga,18162.0,,,,,Free Kick,2,From Free Kick,Jimmy Cabot,7336.0,Center Forward,185,Troyes,133,"['37f8419b-fcce-44f5-921f-d688bd25ef33', '72f18aa5-f20e-420a-9ea2-52c294ae97c5']",18,,,,,,,,,,,,,,,,,,Troyes,133,00:41:18.459,Pass,
,,,,,,,,,,,,,,,,,,0.123918,,,,,,,,,,,,,,,,a95b4b01-1f2a-47a8-a0e3-d25847939272,3060,,,"[113.6, 71.0]",3900564,86,,,,,-1.5707964,,Right Foot,,,,"[113.6, 66.2]",Ground Pass,,4.8,Incomplete,,Yoann Court,7376.0,,,,,Recovery,2,From Free Kick,Thiago Xavier Rodrigues Corrêa,7283.0,Right Center Back,185,Troyes,133,"['2f5d4a94-0eb3-4867-8b12-417f3edcaa83', '5a0a7f20-d176-4019-8aea-2b7a16cdbd38']",24,,,,,,,,,,,,,,,,,,Troyes,133,00:41:24.192,Pass,
,,,,,,,,,,,,,,,,,,1.039446,,,,,,,,,,,,,,,,5c58750b-251f-4f55-bb83-7779f2f0e598,3063,,,"[120.0, 80.0]",3900564,86,,,,,-1.7252653,,Left Foot,,,,"[115.5, 51.1]",High Pass,True,29.248247,Incomplete,,Thomas Ayasse,7488.0,,,Inswinging,,Corner,2,From Corner,Yoann Court,7376.0,Right Midfield,186,Troyes,133,"['25c61d98-1c5f-4ba5-8e22-b8eacc4d0f8a', 'aa308fd2-ebf2-4f9a-9466-d6f645cbf6e7']",43,,,,,,,,,,,,,,,,,,Troyes,133,00:41:43.932,Pass,
,,,,,,,,,,,,,,,,,,1.601004,,,,,,,,,,,,,,,,b415ad36-5540-4bdf-a945-0fc5cb25c852,3067,,,"[120.0, 80.0]",3900564,86,,,,,-1.71806,,Left Foot,,,,"[114.2, 40.9]",High Pass,True,39.52784,Incomplete,,Chris Mavinga,18162.0,,,Inswinging,,Corner,2,From Corner,Yoann Court,7376.0,Right Midfield,187,Troyes,133,"['11cdec93-8687-45bd-bb5d-6111e26ceff9', '388e20a1-6f17-4eeb-a778-fc3fb4c34b36']",59,,,,,,,,,,,,,,,,,,Troyes,133,00:41:59.599,Pass,
,,,,,,,,,,,,,,,,,,0.93839,,,,,,,,,,,,,,,,b780fa19-b6a2-4a69-9d01-e2d980bd3fb4,3072,,,"[111.4, 20.9]",3900564,87,,,,,1.8869289,4b102860-e890-4eed-beb9-f5e489af9f22,Right Foot,True,,,"[107.9, 31.6]",High Pass,,11.257886,,,Matthieu Saunier,13730.0,True,,,,Recovery,2,From Corner,Thiago Xavier Rodrigues Corrêa,7283.0,Right Center Back,187,Troyes,133,"['25089deb-f692-481f-8dc3-064ca2e3c1fb', '4bff3de6-ec5e-49a0-9d20-1bc2ba89580f']",3,,,,,,,,,,,,,,,,,,Troyes,133,00:42:03.828,Pass,True
,,,,,,,,,,,,,,,,,,2.031014,,,,,,,,,,,,,,,,b74f38e0-81e4-4cc3-909a-ec779f5ee71c,3083,,,"[7.0, 44.1]",3900564,87,,True,,,-0.80995464,,Right Foot,,,,"[20.9, 29.5]",Ground Pass,,20.15862,,,Jérémy Toulalan,3406.0,,,,,Goal Kick,2,From Goal Kick,Paul Nardi,24021.0,Goalkeeper,188,AS Monaco,129,['c853f8e7-fb4c-474f-a13b-b34f9ee95d99'],33,,,,,,,,,,,,,,,,,,AS Monaco,129,00:42:33.402,Pass,
,,,,,,,,,,,,,,,,,,3.202777,,,,,,,,,,,,,,,,ed9d864d-7662-4faf-b4c2-1a1c3058ee03,3085,,,"[38.4, 32.3]",3900564,87,,,,,0.15331662,,Right Foot,,,,"[94.7, 41.0]",High Pass,,56.968235,Incomplete,,Wallace Fortuna dos Santos,8277.0,,,,,,2,From Goal Kick,Jérémy Toulalan,3406.0,Left Center Back,188,AS Monaco,129,"['4147f245-6b94-4f4c-a636-00185fe3ae2f', 'd34d575a-3b70-4b43-b90c-dee307907327']",41,,,,,,,,,,,,,,,,,,AS Monaco,129,00:42:41.513,Pass,
