50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.981161,,,,,,,,,,,b19861e9-1a7b-4e46-a3e0-f9a675f61262,16,,"[61.3, 18.3]",3901209,0,,,,,-0.55284125,,Right Foot,,,"[70.7, 12.5]",High Pass,,11.045361,,Incomplete,,Grégory Pujol,401506.0,,,,,,1,From Throw In,Mohamed Larbi,10616.0,Left Midfield,3,Gazélec Ajaccio,160,"['141ce7f9-fe2e-454c-889e-1f190c96b6fd', '38e9b49b-6ccd-463b-8118-b55db04de231']",19,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:19.021,Pass,
,,,,,,,,,,,,,,,,2.837071,,,,,,,,,,,4965d359-f568-4cfa-9de4-3a95fcc6d3ac,20,,"[43.2, 70.6]",3901209,0,,,,,-2.5239437,,Left Foot,,,"[10.4, 47.3]",Ground Pass,,40.233444,,,,Alexandre Letellier,3432.0,,,,,,1,Regular Play,Romain Saïss,5219.0,Center Defensive Midfield,4,Angers,145,['076f6d2f-10a6-48d3-96c9-b01306a2600a'],22,,,,,,,,,,,,,,,,Angers,145,00:00:22.431,Pass,
,,,,,,,,,,,,,,,,1.773403,,,,,,,,,,,ecbb1bf5-17f5-484f-9c5d-07933f937e97,23,,"[15.9, 45.9]",3901209,0,,,,,-0.83500284,,Other,,,"[29.3, 31.1]",Low Pass,,19.96497,,,,Romain Thomas,3549.0,,,,,,1,Regular Play,Alexandre Letellier,3432.0,Goalkeeper,4,Angers,145,['4cd77f6e-f634-450c-b9c1-a37b4b4e14a6'],26,,,,,,,,,,,,,,,,Angers,145,00:00:26.005,Pass,
,,,,,,,,,,,,,,,,1.863618,,,,,,,,,,,6f4b29c7-cb45-459b-a327-9bd358c33f9d,26,,"[28.9, 29.8]",3901209,0,,,,,-1.3111129,,Left Foot,,,"[36.1, 2.7]",Ground Pass,,28.04015,,,,Arnold Bouka Moutou,4906.0,,,,,,1,Regular Play,Romain Thomas,3549.0,Left Center Back,4,Angers,145,['d56dd726-d0f9-46ee-8a85-170dd15909d3'],28,,,,,,,,,,,,,,,,Angers,145,00:00:28.825,Pass,
,,,,,,,,,,,,,,,,1.537555,,,,,,,,,,,d4488616-9814-4600-9d40-30b2e840e2ab,29,,"[46.6, 3.9]",3901209,0,,,,,2.1652174,,Left Foot,,,"[34.5, 21.8]",Ground Pass,,21.606018,,,,Romain Thomas,3549.0,,,,,,1,Regular Play,Arnold Bouka Moutou,4906.0,Left Back,4,Angers,145,['583c4d00-ea85-43c7-a050-0fa5b522b095'],33,,,,,,,,,,,,,,,,Angers,145,00:00:33.098,Pass,
,,,,,,,,,,,,,,,,1.737953,,,,,,,,,,,bdc52e14-d4e2-4555-81fb-6e8176ded57e,32,,"[39.2, 19.6]",3901209,0,,,,,1.7155063,,Left Foot,,,"[36.3, 39.5]",Ground Pass,,20.110197,,,,Ismaël Traoré,3045.0,,,,,,1,Regular Play,Romain Thomas,3549.0,Left Center Back,4,Angers,145,['e057eddb-ccec-4b38-982a-2e0d73751584'],35,,,,,,,,,,,,,,,,Angers,145,00:00:35.288,Pass,
,,,,,,,,,,,,,,,,1.629839,,,,,,,,,,,18bb333d-63c9-4445-8367-a3a0c91590b4,35,,"[37.1, 40.7]",3901209,0,,,,,1.1876402,,Right Foot,,,"[50.2, 73.2]",Ground Pass,,35.040833,,,,Yoann Andreu,3203.0,,,,,,1,Regular Play,Ismaël Traoré,3045.0,Right Center Back,4,Angers,145,['b19c7842-732c-4d57-87d5-a7a782ada975'],39,,,,,,,,,,,,,,,,Angers,145,00:00:39.236,Pass,
,,,,,,,,,,,,,,,,1.326691,,,,,,,,,,,b25038de-71a6-4ba3-995c-907e4b2794eb,38,,"[50.2, 73.2]",3901209,0,,,,,-0.7596159,,Right Foot,,,"[68.1, 56.2]",Ground Pass,,24.686232,,Incomplete,,Billy Ketkeophomphone,4441.0,,,,,,1,Regular Play,Yoann Andreu,3203.0,Right Back,4,Angers,145,"['6525e9a5-ca82-4fff-b6e7-03cf4b05a994', '9e875621-f34b-4b08-a246-d98d56a42a98']",42,,,,,,,,,,,,,,,,Angers,145,00:00:42.003,Pass,
,,,,,,,,,,,,,,,,0.736707,,,,,,,,,,,27639fdd-3ebc-4266-8791-220f8091c3dc,42,,"[48.4, 20.7]",3901209,0,,,,,-1.2537405,,Left Foot,,,"[52.6, 7.9]",Low Pass,,13.471452,,,,Mohamed Larbi,10616.0,,,,,,1,Regular Play,Jérôme Le Moigne,401507.0,Right Defensive Midfield,5,Gazélec Ajaccio,160,['b1d95821-96fa-4f61-9382-574a708ab0e5'],45,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:45.322,Pass,
,,,,,,,,,,,,,,,,1.499209,,,,,,,,,,,fb17e398-bacd-42a2-9f57-aa33b208fe38,48,,"[120.0, 0.1]",3901209,1,,True,,,3.0172377,,Right Foot,,,"[56.0, 8.1]",Ground Pass,,64.49806,,,,Jérémie Bréchet,7603.0,,,,,Free Kick,1,From Free Kick,Pablo Jean Antoine Martínez,3207.0,Left Back,6,Gazélec Ajaccio,160,['70a710ca-8604-4897-9bfc-65a5dc2b799d'],0,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:01:00.941,Pass,
