50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1293ac65-4b46-4c93-afc6-b94d5df9ce51,1,,,3829430,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stade de Reims,156,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 401454, 'name': 'Kossi Agassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 7435, 'name': 'Anthony Weber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 95699, 'name': 'Alexi Peuget'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7817, 'name': 'Frédéric Bulot'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 401453, 'name': 'David N""Gog'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,766fd709-a4cd-41fc-9e01-0f084d177da6,2,,,3829430,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stade de Reims,156,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 7857, 'name': 'Brice Dja Djédjé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10036, 'name': 'Jacques-Alaixys Romao'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 15296, 'name': 'Romain Alessandrini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3254, 'name': 'Florian Thauvin'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4345, 'name': 'Lucas Ariel Ocampos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a6eca7f4-0715-446d-9a11-a57e4a33b13b,3,,,3829430,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stade de Reims,156,['c81966ca-f889-472f-b5ba-f266170ed31d'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c81966ca-f889-472f-b5ba-f266170ed31d,4,,,3829430,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Stade de Reims,156,['a6eca7f4-0715-446d-9a11-a57e4a33b13b'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f588d37c-4301-43ff-9397-eb91a24f946e,1764,,,3829430,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Marseille,147,['83807753-dec7-4339-a524-4f941786b38b'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,83807753-dec7-4339-a524-4f941786b38b,1765,,,3829430,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Marseille,147,['f588d37c-4301-43ff-9397-eb91a24f946e'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.337347,,,,,,,,,,,,,7bb62bd6-b220-4fae-97c4-bbb5b966d29b,5,,"[61.0, 40.1]",3829430,0,,,,-1.9974238,,Left Foot,,,,"[60.5, 39.0]",Ground Pass,,1.2083046,,,Michy Batshuayi Tunga,3457.0,,,,,Kick Off,1,From Kick Off,Florian Thauvin,3254.0,Center Attacking Midfield,2,Marseille,147,['f6770454-b83d-4123-969c-c2d81248390a'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.560,Pass,
,,,,,,,,,,,,,,,,0.799257,,,,,,,,,,,,,7975bbfa-e1b1-4edc-939c-e6bf21eac7b3,8,,"[60.1, 39.9]",3829430,0,,,,-2.9829373,,Left Foot,,,,"[57.6, 39.5]",Ground Pass,,2.531798,,,Mario Lemina,3951.0,,,,,,1,From Kick Off,Michy Batshuayi Tunga,3457.0,Center Forward,2,Marseille,147,['5a05dd23-ebad-49cf-80a4-b7f7455cdac0'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.937,Pass,
,,,,,,,,,,,,,,,,1.412735,,,,,,,,,,,,,d727543f-ca0e-4450-b34f-914ca88a5b5e,11,,"[55.3, 42.2]",3829430,0,,,,2.5506747,,Right Foot,,,,"[39.5, 52.8]",Ground Pass,,19.026299,,,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,,,,,,1,From Kick Off,Mario Lemina,3951.0,Right Defensive Midfield,2,Marseille,147,['3a6e2b23-0499-40cd-9551-ffcfaa801ac9'],2,,,,,,,,,,,,,,,,,Marseille,147,00:00:02.349,Pass,
,,,,,,,,,,,,,,,,1.316726,,,,,,,,,,,,,61615942-9be8-4bf2-a567-d7350bde4d0c,14,,"[38.4, 52.6]",3829430,0,,,,-1.6195382,,Right Foot,,,,"[37.2, 28.0]",Ground Pass,,24.629251,,,Karim Rekik,8572.0,,,,,,1,From Kick Off,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,Right Center Back,2,Marseille,147,['0f852397-1ac4-4a06-91d8-27d626c466d6'],4,,,,,,,,,,,,,,,,,Marseille,147,00:00:04.831,Pass,
