50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e609c1cf-ff61-4cf5-9a03-0e57de60a301,1,,,3901213,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 4257, 'name': 'Yoan Cardinale'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3229, 'name': 'Maxime Le Marchand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6352, 'name': 'Ricardo Domingos Barbosa Pereira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 3230, 'name': 'Alassane Pléa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f0c0a0f4-8a24-4134-bae5-32a5067ae384,2,,,3901213,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 4602, 'name': 'Yoann Gourcuff'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 5667, 'name': 'Kamil Grosicki'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 4909, 'name': 'Jeremie Boga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,052e0c2b-d371-4916-98cf-beb95f57e5f1,3,,,3901213,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['6afec5b5-fde9-4f57-a761-b7b658aeea1b'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6afec5b5-fde9-4f57-a761-b7b658aeea1b,4,,,3901213,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['052e0c2b-d371-4916-98cf-beb95f57e5f1'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a3b404b0-e9bb-4fa9-8faf-033b8e3dd2b9,1736,,,3901213,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,OGC Nice,136,['12207df4-11a5-4aa0-8450-04af45479d11'],0,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,12207df4-11a5-4aa0-8450-04af45479d11,1737,,,3901213,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,OGC Nice,136,['a3b404b0-e9bb-4fa9-8faf-033b8e3dd2b9'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.944948,,,,,,,,,,,,,,03d3e479-e60d-4e87-8829-6a44915fff7b,5,,"[60.0, 40.0]",3901213,0,,,,-0.4266275,,Right Foot,,,,"[62.2, 39.0]",,Ground Pass,,2.4166093,,,Valère Germain,3210.0,,,,,Kick Off,1,From Kick Off,Alassane Pléa,3230.0,Left Center Forward,2,OGC Nice,136,['78abeaf5-6888-4458-8863-7500e84af790'],2,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:02.342,Pass,
,,,,,,,,,,,,,,,,,,4.459648,,,,,,,,,,,,,,f2ebbce7-c182-43de-93c1-1e352c4c47a7,7,,"[63.5, 41.2]",3901213,0,,,,-0.6623555,,Right Foot,,,,"[116.2, 0.1]",,High Pass,,66.83188,Out,,,,,True,,,,1,From Kick Off,Valère Germain,3210.0,Right Center Forward,2,OGC Nice,136,,4,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:04.287,Pass,
,,,,,,,,,,,,,,,,,,1.899627,,,,,,,,,,,,,,ea67f40e-6e24-4824-8a46-b48e1ccbfdcf,8,,"[9.5, 80.0]",3901213,0,,,,-0.13390884,,,,,,"[28.8, 77.4]",,High Pass,,19.474342,Incomplete,,Ousmane Dembélé,5477.0,,,,,Throw-in,1,From Throw In,Romain Danzé,4475.0,Right Back,3,Rennes,134,"['3606698d-09e5-454a-be89-1f57aa0ec0e5', '3f56fd7c-5ab7-4375-b263-8d80d24e4c75']",21,,,,,,,,,,,,,,,,,Rennes,134,00:00:21.292,Pass,
,,,,,,,,,,,,,,,,,,1.276579,,,,,,,,,,,,,,3606698d-09e5-454a-be89-1f57aa0ec0e5,10,,"[91.3, 2.7]",3901213,0,,,,0.04164258,,Head,,,,"[98.5, 3.0]",,High Pass,,7.2062473,,,Hatem Ben Arfa,16462.0,,,,,Recovery,1,Regular Play,Ricardo Domingos Barbosa Pereira,6352.0,Left Back,4,OGC Nice,136,"['9d1aa817-827e-4655-94cf-b27971549b11', 'ea67f40e-6e24-4824-8a46-b48e1ccbfdcf']",23,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:23.191,Pass,
