50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.93054,,,,,,,,,,,,,c045b906-e7d1-4e5c-9da5-66be169b503b,3058,,"[45.2, 5.5]",3900618,64,,,,2.0312388,,Right Foot,,,"[39.0, 18.0]",,Ground Pass,,13.9531355,,,,,Rafidine Abdullah,24646.0,,,,,,2,From Throw In,Jimmy Cabot,7336.0,Left Midfield,121,Lorient,165,['c5d92c80-b1b6-4301-ac0e-e4b64377ecff'],54,,,,,,,,,,,,,,,,,Lorient,165,00:19:54.332,Pass,
,,,,,,,,,,,,,,,,,2.395739,,,,,,,,,,,,,99063437-7636-4944-8f2a-0c3daab28970,3061,,"[40.6, 21.6]",3900618,64,,,,-0.040427398,,Right Foot,,,"[85.1, 19.8]",,High Pass,,44.53639,,,Incomplete,,Abdul Majeed Waris,7615.0,,,,,,2,From Throw In,Rafidine Abdullah,24646.0,Left Defensive Midfield,121,Lorient,165,"['ba8e61e2-1eb7-4713-b171-5f8af23dbb62', 'c4db5b32-37f2-4dcb-8efe-b5f98ae24d4b']",55,,,,,,,,,,,,,,,,,Lorient,165,00:19:55.999,Pass,
,,,,,,,,,,,,,,,,,1.384681,,,,,,,,,,,,,ba8e61e2-1eb7-4713-b171-5f8af23dbb62,3063,,"[35.0, 60.3]",3900618,64,,,,0.06442684,,Head,,,"[44.3, 60.9]",,Low Pass,,9.319335,,,,,Marcos Aoás Corrêa,4372.0,,,,,Recovery,2,From Throw In,Thiago Emiliano da Silva,3295.0,Left Center Back,121,Lorient,165,"['7080eb83-e6cc-4828-af99-bb7b12ac22de', '99063437-7636-4944-8f2a-0c3daab28970']",58,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:19:58.394,Pass,
,,,,,,,,,,,,,,,,,4.568593,,,,,,,,,,,,,84c89089-39a3-46d0-8fcf-e19c855c283b,3067,,"[43.9, 60.2]",3900618,64,,,,0.09281764,,Right Foot,,,"[81.5, 63.7]",,High Pass,,37.762547,,,Incomplete,,Zlatan Ibrahimović,3672.0,,,,,,2,From Throw In,Marcos Aoás Corrêa,4372.0,Right Center Back,121,Lorient,165,"['09a8b0d5-ef40-4418-abf3-f7025ff25913', '69a46c2f-8023-4b75-a315-b5af43473bff', 'b94276b4-90ad-4cdd-9389-3544e81e604e']",59,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:19:59.852,Pass,True
,,,,,,,,,,,,,,,,,1.232412,,,,,,,,,,,,,b94276b4-90ad-4cdd-9389-3544e81e604e,3069,,"[38.6, 16.4]",3900618,65,,,,-0.69608414,,Head,,,"[45.9, 10.3]",,High Pass,,9.513149,,,Incomplete,,Raphaël Adelino José Guerreiro,5209.0,,,,,Recovery,2,From Throw In,Zargo Touré,7211.0,Left Center Back,121,Lorient,165,"['27433077-5168-411e-a5e9-a35d034c5f1d', '4832a795-d4c0-4db2-97c2-852ce80bbcaf', '84c89089-39a3-46d0-8fcf-e19c855c283b']",4,,,,,,,,,,,,,,,,,Lorient,165,00:20:04.421,Pass,
,,,,,,,,,,,,,,,,,0.825309,,,,,,,,,,,,,27433077-5168-411e-a5e9-a35d034c5f1d,3071,,"[74.2, 69.8]",3900618,65,,,,-1.6137806,,Head,,,"[73.8, 60.5]",,Low Pass,,9.3085985,,,Incomplete,,Zlatan Ibrahimović,3672.0,,,,,Recovery,2,From Throw In,Hervin Scicchitano Ongenda,34539.0,Left Center Midfield,121,Lorient,165,"['8a888884-9095-45dc-b722-75b0522afea4', 'b94276b4-90ad-4cdd-9389-3544e81e604e', 'c5dc895e-6040-477f-9201-2eaf60fde7d3']",5,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:20:05.653,Pass,
,,,,,,,,,,,,,,,,,1.012081,,,,,,,,,,,,,2485ad99-effa-40b4-8ea0-67077d80f24b,3076,,"[49.9, 18.5]",3900618,65,,,,0.026035782,,Right Foot,,,"[69.1, 19.0]",,Ground Pass,,19.206509,,,,,Abdul Majeed Waris,7615.0,,,,,,2,From Throw In,Rafidine Abdullah,24646.0,Left Defensive Midfield,121,Lorient,165,['da1f968b-f238-48c2-8dcc-a234b0d17904'],7,,,,,,,,,,,,,,,,,Lorient,165,00:20:07.614,Pass,
,,,,,,,,,,,,,,,,,1.652202,,,,,,,,,,,,,60baf003-3f73-4948-b72a-b5f93c67594c,3082,,"[66.5, 17.8]",3900618,65,True,,,2.0275948,,Right Foot,,,"[52.1, 47.1]",,Ground Pass,,32.647358,,,,,Lindsay Rose,7346.0,,,,,Free Kick,2,From Free Kick,Rafidine Abdullah,24646.0,Left Defensive Midfield,122,Lorient,165,['5c7c8a73-5f7b-4e4e-a560-492d59fae5ba'],18,,,,,,,,,,,,,,,,,Lorient,165,00:20:18.374,Pass,
,,,,,,,,,,,,,,,,,1.531723,,,,,,,,,,,,,e6a5b055-bddd-4165-ba43-6cf9f86924eb,3084,,"[61.8, 55.5]",3900618,65,,,,1.2216733,,Left Foot,,,"[70.1, 78.3]",,Ground Pass,,24.26376,,,,,Benjamin Moukandjo Bilé,33178.0,,,,,,2,From Free Kick,Lindsay Rose,7346.0,Right Center Back,122,Lorient,165,['87d729d0-c06f-4a9a-bdf2-10f275083297'],21,,,,,,,,,,,,,,,,,Lorient,165,00:20:21.535,Pass,
,,,,,,,,,,,,,,,,,1.994799,,,,,,,,,,,,,21c61f68-c726-429f-89d1-586ee2f2db4b,3087,,"[69.8, 78.3]",3900618,65,,,,-0.35281077,,Right Foot,,,"[95.6, 68.8]",,Ground Pass,,27.493454,,,,,Walid Mesloub,7766.0,,,,,,2,From Free Kick,Benjamin Moukandjo Bilé,33178.0,Right Midfield,122,Lorient,165,['547d089f-52e2-4292-9602-7bfde4acc631'],24,,,,,,,,,,,,,,,,,Lorient,165,00:20:24.278,Pass,
