50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2a98de69-5924-4223-aff9-8c2ab60c9c6c,1,,,,3829495,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4410, 'name': 'Christophe Jallet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 3103, 'name': 'Milan Biševac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 18868, 'name': 'Mathieu Valbuena'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,360986d4-66af-4aa8-b212-2abda08550a1,2,,,,3829495,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 3980, 'name': 'Johny Placide'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 7498, 'name': 'Mickaël Tacalfred'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 401455, 'name': 'Mohamed Fofana'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7817, 'name': 'Frédéric Bulot'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 401453, 'name': 'David N""Gog'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,18ac6d75-8418-450f-8c32-327b990eb3c2,3,,,,3829495,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['f1a38256-d3ce-4947-a3a2-a7178877b615'],0,,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f1a38256-d3ce-4947-a3a2-a7178877b615,4,,,,3829495,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['18ac6d75-8418-450f-8c32-327b990eb3c2'],0,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,384df54b-1dd8-4546-a388-e623c235f245,1848,,,,3829495,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Lyon,137,['16c8b979-6c89-43e6-a334-72bbb399ab00'],0,,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,16c8b979-6c89-43e6-a334-72bbb399ab00,1849,,,,3829495,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Lyon,137,['384df54b-1dd8-4546-a388-e623c235f245'],0,,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.631863,,,,,,,,,,,,d4ecf081-357b-42fc-92d0-79ee5c8b509e,5,,,"[61.0, 40.1]",3829495,0,,True,,,1.6784862,,Right Foot,,,,"[60.6, 43.8]",Ground Pass,,3.7215588,,,,Claudio Beauvue,6600.0,,,,,Kick Off,1,From Kick Off,Alexandre Lacazette,3451.0,Right Center Forward,2,Lyon,137,['972205a5-49fa-4fe5-a38c-8163319f5921'],1,,,,,,,,,,,,,,,,,,,Lyon,137,00:00:01.024,Pass,
,,,,,,,,,,,,,,,,,,,0.951656,,,,,,,,,,,,aaa30021-5442-4f76-8c43-c4f00027f7cb,7,,,"[60.6, 44.9]",3829495,0,,,,,-3.0035865,,Right Foot,,,,"[57.0, 44.4]",Ground Pass,,3.6345563,,,,Mathieu Valbuena,18868.0,,,,,,1,From Kick Off,Claudio Beauvue,6600.0,Left Center Forward,2,Lyon,137,['17b218de-b996-4855-8a46-d0416509223d'],1,,,,,,,,,,,,,,,,,,,Lyon,137,00:00:01.656,Pass,
,,,,,,,,,,,,,,,,,,,1.163279,,,,,,,,,,,,52eb9ee8-834a-4f6a-b91a-c774cd3814c0,10,,,"[56.4, 43.5]",3829495,0,,,,,2.101012,,Right Foot,,,,"[46.2, 60.9]",Ground Pass,,20.169283,,,,Sergi Darder Moll,3236.0,,,,,,1,From Kick Off,Mathieu Valbuena,18868.0,Center Attacking Midfield,2,Lyon,137,"['34772383-2291-4c66-902a-664920a65dab', 'aa9a0665-b854-4286-95c5-25f1390b561a']",2,,,,,,,,,,,,,,,,,,,Lyon,137,00:00:02.608,Pass,True
,,,,,,,,,,,,,,,,,,,1.515846,,,,,,,,,,,,6b956ebd-4701-4dd4-9ab5-0948ad8028fb,13,,,"[46.2, 60.9]",3829495,0,,,,,-1.8732773,,Right Foot,,,,"[41.8, 46.8]",Ground Pass,,14.770579,,,,Maxime Gonalons,6982.0,,,,,,1,From Kick Off,Sergi Darder Moll,3236.0,Right Center Midfield,2,Lyon,137,['4e23ba47-a26b-4045-9e93-5324251d7aec'],3,,,,,,,,,,,,,,,,,,,Lyon,137,00:00:03.899,Pass,
