50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c8e43322-e67d-4386-9d8e-f2e1ea7cd6e2,1,,,3900573,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 401482, 'name': 'Gaël Angoula'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 401484, 'name': 'Charles Diers'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,de382454-bf7f-409c-85c1-c839d8aa0a8d,2,,,3900573,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2963, 'name': 'Rémy Vercoutre'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 7444, 'name': 'Alaeddine Yahia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4386, 'name': 'Damien Da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 7237, 'name': 'Chaker Alhadhur'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 40698, 'name': 'Nicolas Seube'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 2979, 'name': 'Jonathan Delaplace'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 2959, 'name': 'Julien Féret'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2992, 'name': 'Vincent Bessat'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3038, 'name': 'Andy Delort'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Caen,140,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bb1631c1-99b0-44a9-bcbf-6807440e6e13,3,,,3900573,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['18cc850a-b085-4b04-9550-4f24a39ca09a'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,18cc850a-b085-4b04-9550-4f24a39ca09a,4,,,3900573,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['bb1631c1-99b0-44a9-bcbf-6807440e6e13'],0,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7798c85f-117f-41cf-853e-986f43e4dfd5,1790,,,3900573,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Caen,140,['dd73cd73-6d75-41b7-bb39-8815fd883710'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,dd73cd73-6d75-41b7-bb39-8815fd883710,1791,,,3900573,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Caen,140,['7798c85f-117f-41cf-853e-986f43e4dfd5'],0,,,,,,,,,,,,,,,,,Caen,140,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.596941,,,,,,,,,,,8f2f2ac5-9ea4-48eb-80cb-2efdc34e3a19,5,,"[60.0, 40.0]",3900573,0,,,,,-1.801887,,Right Foot,,,"[59.6, 38.3]",,Ground Pass,,1.7464249,,,,Charles Diers,401484.0,,,,,Kick Off,1,From Kick Off,Billy Ketkeophomphone,4441.0,Center Forward,2,Angers,145,['6aaede5c-8a8c-40cd-83b3-5858994b632c'],1,,,,,,,,,,,,,,,,,Angers,145,00:00:01.250,Pass,
,,,,,,,,,,,,,,,,,,,1.400275,,,,,,,,,,,8f5e02e4-e7eb-4e3b-a463-ede934006b76,8,,"[56.6, 37.8]",3900573,0,,,,,3.052209,,Right Foot,,,"[35.4, 39.7]",,Ground Pass,,21.284971,,,,Ismaël Traoré,3045.0,,,,,,1,From Kick Off,Charles Diers,401484.0,Left Center Midfield,2,Angers,145,['834e6648-4880-47d9-9317-f33c2206e5a1'],2,,,,,,,,,,,,,,,,,Angers,145,00:00:02.445,Pass,
,,,,,,,,,,,,,,,,,,,1.145204,,,,,,,,,,,95cae5e0-6d46-4b4d-af19-35c5c85a0f76,11,,"[33.5, 40.5]",3900573,0,,,,,-0.77344656,,Right Foot,,,"[46.2, 28.1]",,Ground Pass,,17.749647,,,,Romain Saïss,5219.0,,,,,,1,From Kick Off,Ismaël Traoré,3045.0,Right Center Back,2,Angers,145,['7f62d217-7b3a-470e-baf7-73deabcee407'],4,,,,,,,,,,,,,,,,,Angers,145,00:00:04.536,Pass,
,,,,,,,,,,,,,,,,,,,1.380489,,,,,,,,,,,f7f37491-70c1-45d1-9f8b-554f5d02cb03,17,,"[45.3, 30.7]",3900573,0,,,,,2.3999376,,Left Foot,,,"[29.8, 44.9]",,Ground Pass,,21.02118,,,,Ismaël Traoré,3045.0,,,,,,1,From Kick Off,Charles Diers,401484.0,Left Center Midfield,2,Angers,145,['1fd01304-22b0-4595-97ba-980fe2c643e4'],9,,,,,,,,,,,,,,,,,Angers,145,00:00:09.590,Pass,
