50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,94e2ab07-4cd7-4d94-a879-5fb5b6b745a3,1,,,3901208,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3363, 'name': 'Marcus Coco'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 4434, 'name': 'Thibault Giresse'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 26}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 20027, 'name': 'Mevlüt Erdinç'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 28}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e1270e1d-f146-44af-824a-9acae00d080b,2,,,3901208,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 20048, 'name': 'Gregory van der Wiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 2999, 'name': 'Presnel Kimpembe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3025, 'name': 'Christopher Nkunku'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 33}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 34539, 'name': 'Hervin Scicchitano Ongenda'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 35}, {'player': {'id': 8510, 'name': 'Jean-Kévin Augustin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 29}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7af34aa0-4614-4df1-ba9c-102d83256404,3,,,3901208,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['ff30c8f8-37fc-4673-8a18-dbdcc4980c66'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ff30c8f8-37fc-4673-8a18-dbdcc4980c66,4,,,3901208,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['7af34aa0-4614-4df1-ba9c-102d83256404'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2ce7a42d-14bd-4d53-a930-139108da3059,1967,,,3901208,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Paris Saint-Germain,131,['3c8a1cad-85d2-4f74-ac65-8ec560671f42'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3c8a1cad-85d2-4f74-ac65-8ec560671f42,1968,,,3901208,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Paris Saint-Germain,131,['2ce7a42d-14bd-4d53-a930-139108da3059'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.850873,,,,,,,,,,,,,,,c99dfe46-d43f-4063-b2d4-c2d8ec8a674b,5,,"[61.0, 40.1]",3901208,0,,,,,-1.9809237,,Right Foot,,,,"[60.0, 37.8]",,Ground Pass,,2.5079873,,,,Jimmy Briand,3213.0,,,,,Kick Off,1,From Kick Off,Mevlüt Erdinç,20027.0,Left Center Forward,2,Guingamp,142,['5c5e8275-19c6-4ae4-8568-4240eea5852e'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.470,Pass,
,,,,,,,,,,,,,,,,,,,1.035414,,,,,,,,,,,,,,,5340f5ec-48de-44bd-9f3c-a1fa31b062d6,8,,"[59.8, 38.3]",3901208,0,,,,,2.55359,,Left Foot,,,,"[49.6, 45.1]",,Ground Pass,,12.258874,,,,Younousse Sankharé,3348.0,,,,,,1,From Kick Off,Jimmy Briand,3213.0,Right Center Forward,2,Guingamp,142,['37e586f3-1e7b-495c-aa6a-a0f4810c4ca6'],1,,,,,,,,,,,,,,,,,Guingamp,142,00:00:01.517,Pass,
,,,,,,,,,,,,,,,,,,,0.852515,,,,,,,,,,,,,,,a61a98c1-4e33-41df-9dc9-e6dc45a0feb2,12,,"[52.0, 47.9]",3901208,0,,,,,2.9352686,,Left Foot,,,,"[43.4, 49.7]",,Ground Pass,,8.786353,,,,Moustapha Elhadji Diallo,3121.0,,,,,,1,From Kick Off,Younousse Sankharé,3348.0,Right Defensive Midfield,2,Guingamp,142,"['7e1200a9-b2e0-41ad-b51b-1f3a98760167', '9ed6293a-106a-4e78-a5d4-c0d113cb71ee']",3,,,,,,,,,,,,,,,,,Guingamp,142,00:00:03.958,Pass,True
,,,,,,,,,,,,,,,,,,,0.607514,,,,,,,,,,,,,,,d4fa2a7f-8e89-4c77-aea2-4c7430cf58d6,19,,"[47.0, 48.1]",3901208,0,,,,,0.722544,,Right Foot,,,,"[54.6, 54.8]",,Ground Pass,,10.131634,,,,Younousse Sankharé,3348.0,,,,,,1,From Kick Off,Moustapha Elhadji Diallo,3121.0,Left Defensive Midfield,2,Guingamp,142,['ced0821d-5417-4fc8-bbd3-dda902266e33'],6,,,,,,,,,,,,,,,,,Guingamp,142,00:00:06.563,Pass,
