50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,88d0d52a-d646-482e-946b-59305d835463,1,,,3829463,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 2994, 'name': 'Abdoulaye Diallo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3753, 'name': 'Pedro Filipe Teodósio Mendes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3250, 'name': 'Edson André Sitoe'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 7197, 'name': 'Steven Moreira'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 4900, 'name': 'Paul-Georges Ntep de Madiba'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Rennes,134,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2b87215e-0dd1-4492-8a9c-ea4ef3aba297,2,,,3829463,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,,0,,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 40523, 'name': 'Marko Baša'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 10330, 'name': 'Gadji Celi Carmen Junior Tallo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 3673, 'name': 'Yassine Benzia'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d7f23350-c4f9-4849-93e7-174576ab9753,3,,,3829463,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['8644210d-a768-4ac3-a7d8-5b1a0677ea49'],0,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8644210d-a768-4ac3-a7d8-5b1a0677ea49,4,,,3829463,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rennes,134,['d7f23350-c4f9-4849-93e7-174576ab9753'],0,,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,76a3b9f5-fbf1-4202-b98a-cde210724f95,1787,,,3829463,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Lille,143,['1e1bd361-9241-445a-88cd-1b230131e31d'],0,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1e1bd361-9241-445a-88cd-1b230131e31d,1788,,,3829463,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Lille,143,['76a3b9f5-fbf1-4202-b98a-cde210724f95'],0,,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.085883,,,,,,,,,,,,,,,0f9f1ce6-7595-428e-8102-6e8ac6f8b7ed,5,,"[61.0, 40.1]",3829463,0,,,,,-2.4227626,,Left Foot,,,,"[60.2, 39.4]",,Ground Pass,,1.0630146,,,,Paul-Georges Ntep de Madiba,4900.0,,,,,Kick Off,1,From Kick Off,Giovanni-Guy Yann Sio,3018.0,Right Center Forward,2,Rennes,134,['708c5b06-2de3-4454-a0d5-238cd959baff'],0,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:00.447,Pass,
,,,,,,,,,,,,,,,,,,1.338598,,,,,,,,,,,,,,,b134f354-71a1-437b-b224-d98461c8a1b8,8,,"[59.8, 38.7]",3829463,0,,,,,-2.6554408,,Right Foot,,,,"[35.2, 25.7]",,Ground Pass,,27.82373,,,,Sylvain Armand,40699.0,,,,,,1,From Kick Off,Paul-Georges Ntep de Madiba,4900.0,Left Center Forward,2,Rennes,134,['f8aed2c3-63fb-4f22-adbc-57159ffab8ec'],2,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:02.047,Pass,
,,,,,,,,,,,,,,,,,,2.673712,,,,,,,,,,,,,,,931c2f0f-d6bf-463d-878d-d8aa1d5c96b3,11,,"[35.2, 25.7]",3829463,0,,,,,0.8791397,,Left Foot,,,,"[72.3, 70.5]",,High Pass,,58.16743,,Incomplete,,Steven Moreira,7197.0,,True,,,,1,From Kick Off,Sylvain Armand,40699.0,Left Center Back,2,Rennes,134,"['ae7ec87b-42b0-4a87-857c-79529f6f9170', 'bb53b96c-7be0-4bd0-9677-a08d5252de78']",5,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:05.059,Pass,
,,,,,,,,,,,,,,,,,,0.989717,,,,,,,,,,,,,,,cb278113-d6f8-4c83-99df-195bbf6183ac,14,,"[70.3, 80.0]",3829463,0,,True,,,-0.1850505,,,,,,"[90.6, 76.2]",,Low Pass,,20.652603,,,,Giovanni-Guy Yann Sio,3018.0,,,,,Throw-in,1,From Throw In,Steven Moreira,7197.0,Right Wing Back,3,Rennes,134,['1130a37b-beda-48ff-b810-e7eada113703'],18,,,,,,,,,,,,,,,,,,,Rennes,134,00:00:18.712,Pass,
