50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,eb212d1f-8d21-4eae-bfc0-199505fa394d,1,,,,3901159,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3156, 'name': 'Rafael Pereira da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 4463, 'name': 'Mapou Yanga-Mbiwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 4895, 'name': 'Henri Bedimo Nsamè'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3372, 'name': 'Rachid Ghezzal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3162, 'name': 'Gnaly Maxwell Cornet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9afd7d52-81da-463c-a166-cfde95c0ee73,2,,,,3901159,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 20048, 'name': 'Gregory van der Wiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 26613, 'name': 'Maxwell Scherrer Cabelino Andrade'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 3745, 'name': 'Lucas Rodrigues Moura da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,dafb128e-525a-41b4-9d09-cde1b7bee0d9,3,,,,3901159,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['a53343cb-3725-4d80-9f9e-78ee57e5ba90'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a53343cb-3725-4d80-9f9e-78ee57e5ba90,4,,,,3901159,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['dafb128e-525a-41b4-9d09-cde1b7bee0d9'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f6eb2183-6d26-46db-ad63-90af5a97147e,1766,,,,3901159,45,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,88,Paris Saint-Germain,131,['86cf7e60-f0fd-47ef-ab52-1968f8f93bfc'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,86cf7e60-f0fd-47ef-ab52-1968f8f93bfc,1767,,,,3901159,45,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,88,Paris Saint-Germain,131,['f6eb2183-6d26-46db-ad63-90af5a97147e'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.375758,,,,,,,,,,,,,,,ddbf1e3c-cdaf-43b5-b20e-a09cb73e072a,5,,,"[61.0, 40.1]",3901159,0,,,,1.9853032,,Right Foot,,,"[59.9, 42.6]",,Ground Pass,,2.7313,,,Zlatan Ibrahimović,3672.0,,,,,Kick Off,1,From Kick Off,Edinson Roberto Cavani Gómez,4319.0,Left Wing,2,Paris Saint-Germain,131,['0302d6cc-b770-42e6-a546-cb507ec34867'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.609,Pass,
,,,,,,,,,,,,,,,,,0.89372,,,,,,,,,,,,,,,9cb6e451-18bd-4bc5-b0dd-afc3d471a09e,7,,,"[59.9, 42.6]",3901159,0,,,,-3.018327,,Right Foot,,,"[48.6, 41.2]",,Ground Pass,,11.386395,,,Thiago Motta,4325.0,,,,,,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Paris Saint-Germain,131,['5d678ca2-f741-4504-a317-0215607d8dae'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.985,Pass,
,,,,,,,,,,,,,,,,,0.72669,,,,,,,,,,,,,,,0f9ecf8c-d43f-4432-9b9e-ee1c0dac5eff,10,,,"[48.3, 42.3]",3901159,0,,,,-1.423718,,Left Foot,,,"[50.3, 28.8]",,Ground Pass,,13.647344,,,Adrien Rabiot,3026.0,,,,,,1,From Kick Off,Thiago Motta,4325.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['fd6716ef-3b5d-451a-9be8-e196cd129a85'],2,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:02.843,Pass,
,,,,,,,,,,,,,,,,,2.285012,,,,,,,,,,,,,,,defbf253-3567-4004-ad24-274a4c932078,13,,,"[46.7, 28.6]",3901159,0,,,,2.1356688,,Right Foot,,,"[26.8, 60.0]",,Ground Pass,,37.17486,,,Thiago Emiliano da Silva,3295.0,,,,,,1,From Kick Off,Adrien Rabiot,3026.0,Left Center Midfield,2,Paris Saint-Germain,131,['f0f75508-5faa-44fc-828e-4ea746deae5e'],4,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:04.194,Pass,
