50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c8fd66d9-3d0b-4980-a9eb-9300786e29d8,1,,,,3829426,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 2967, 'name': 'Mamadou Samassa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 2936, 'name': 'Christophe Kerbrat'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 29}, {'player': {'id': 40527, 'name': 'Brou Benjamin Angoua'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 30182, 'name': 'Dorian Lévêque'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 23784, 'name': 'Nill De Pauw'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 12}, {'player': {'id': 3301, 'name': 'Nicolas Benezet'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 4799, 'name': 'Sloan Privat'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,21b09799-6ede-42ef-b86c-2f4a4adda574,2,,,,3829426,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3156, 'name': 'Rafael Pereira da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 3103, 'name': 'Milan Biševac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 18868, 'name': 'Mathieu Valbuena'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 2948, 'name': 'Nabil Fekir'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6c0de9db-16e3-4827-971f-695a4fd02a1b,3,,,,3829426,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['eb2ae1e5-4dd2-4e89-805c-fd215cb82da7'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,eb2ae1e5-4dd2-4e89-805c-fd215cb82da7,4,,,,3829426,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Guingamp,142,['6c0de9db-16e3-4827-971f-695a4fd02a1b'],0,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7df8ffc5-6aaa-4ae4-965f-e221ea5a0f62,1508,,,,3829426,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Lyon,137,['8d056908-d7bf-4c58-9928-f2eaa717e1d2'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8d056908-d7bf-4c58-9928-f2eaa717e1d2,1509,,,,3829426,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,Lyon,137,['7df8ffc5-6aaa-4ae4-965f-e221ea5a0f62'],0,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.261299,,,,,,,,,,,,,,,75d525db-6628-4f90-9aea-9aef271b744f,5,,,"[61.0, 40.1]",3829426,0,,True,,,-2.5652175,,Right Foot,,,"[59.0, 38.8]",Ground Pass,,2.3853722,,,Yannis Salibur,3122.0,,,,,,Kick Off,1,From Kick Off,Sloan Privat,4799.0,Center Forward,2,Guingamp,142,['300f2b0d-1a02-4c93-bca1-3b44eb5c56aa'],0,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.231,Pass,
,,,,,,,,,,,,,,,1.355265,,,,,,,,,,,,,,,066be9b9-5170-4978-b1b4-5f35834446e1,7,,,"[58.5, 40.2]",3829426,0,,,,,2.8798792,,Right Foot,,,"[52.9, 41.7]",Ground Pass,,5.7974133,,,Younousse Sankharé,3348.0,,,,,,,1,From Kick Off,Yannis Salibur,3122.0,Center Attacking Midfield,2,Guingamp,142,['81a7d488-16fc-4ae2-9733-e349f247c277'],0,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.696,Pass,
,,,,,,,,,,,,,,,2.314054,,,,,,,,,,,,,,,4e77cb9e-8cf0-46f0-989c-cfee6dfc006a,10,,,"[53.5, 42.0]",3829426,0,,,,,0.50117266,,Left Foot,,,"[88.0, 60.9]",High Pass,,39.33777,Incomplete,,Nill De Pauw,23784.0,,,,,,,1,From Kick Off,Younousse Sankharé,3348.0,Left Defensive Midfield,2,Guingamp,142,"['9b7dc423-6f25-40d9-b872-bf45b7f4ec57', 'f05d12ec-8386-44ea-a517-a0f1ad962284']",2,,,,,,,,,,,,,,,,,,Guingamp,142,00:00:02.911,Pass,
,,,,,,,,,,,,,,,2.193391,,,,,,,,,,,,,,,9b7dc423-6f25-40d9-b872-bf45b7f4ec57,13,,,"[32.1, 19.2]",3829426,0,,,,True,-0.33109608,,,,,"[41.7, 15.9]",High Pass,,10.151355,,,Corentin Tolisso,5480.0,,,,,,Recovery,1,From Kick Off,Jérémy Morel,2983.0,Left Back,2,Guingamp,142,"['49f80df5-e225-4791-a640-b02797e0bbee', '4e77cb9e-8cf0-46f0-989c-cfee6dfc006a', 'e59480dd-3d47-4c75-a82d-f956a3bf811e']",5,,,,,,,,,,,,,,,,,,Lyon,137,00:00:05.225,Pass,True
