50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ebfd784-c52b-4037-953d-d2f5f2eea188,1,,,3900558,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24021, 'name': 'Paul Nardi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3245, 'name': 'Thomas Lemar'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 9931, 'name': 'Hélder Wander Sousa Azevedo Costa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 3553, 'name': 'Lacina Traoré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7e33f43b-1393-42ae-8b52-1dba3571a167,2,,,3900558,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4382, 'name': 'Kévin Malcuit'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 7347, 'name': 'Pierre-Yves Polomat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3414, 'name': 'Vincent Pajot'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 3200, 'name': 'Renaud Cohade'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 3179, 'name': 'Nolan Roux'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c69a747e-eb11-4a9c-b6a8-4bea9a0e1d80,3,,,3900558,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['39a24950-b6ed-4a22-aec3-c7c5015e7301'],0,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,39a24950-b6ed-4a22-aec3-c7c5015e7301,4,,,3900558,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['c69a747e-eb11-4a9c-b6a8-4bea9a0e1d80'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f02cf8df-d42a-47c0-84a0-17ded32efbd9,1672,,,3900558,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Saint-Étienne,135,['e6648f43-888f-4b04-be8c-8f19b238039a'],0,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e6648f43-888f-4b04-be8c-8f19b238039a,1673,,,3900558,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Saint-Étienne,135,['f02cf8df-d42a-47c0-84a0-17ded32efbd9'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.483773,,,,,,,,,,,,,7bd53115-e105-4de5-b42a-d3a2b08141a9,5,,"[60.0, 40.0]",3900558,0,,True,,,1.4801364,,Left Foot,,,,"[60.1, 41.1]",Ground Pass,,1.104536,,,,Thomas Lemar,3245.0,,,,,,Kick Off,1,From Kick Off,Lacina Traoré,3553.0,Center Forward,2,AS Monaco,129,['153d6cec-b2e1-4d9d-bac5-22cf61205a2c'],2,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:02.179,Pass,
,,,,,,,,,,,,,,,0.469769,,,,,,,,,,,,,3c61f874-a213-4670-8023-be1f213a8901,7,,"[59.8, 41.7]",3900558,0,,,,,-2.819842,,Right Foot,,,,"[56.2, 40.5]",Ground Pass,,3.7947333,,,,João Filipe Iria Santos Moutinho,3168.0,,,,,,,1,From Kick Off,Thomas Lemar,3245.0,Center Attacking Midfield,2,AS Monaco,129,['97bbafa0-8daf-4c35-a599-3b8471406791'],2,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:02.707,Pass,
,,,,,,,,,,,,,,,3.108377,,,,,,,,,,,,,919f9e17-b048-4ae1-8220-6d1cdf95dee5,11,,"[55.6, 40.5]",3900558,0,,,,,2.0356445,,Right Foot,,,,"[38.9, 73.8]",Ground Pass,,37.25292,,,,Fábio Henrique Tavares,3247.0,,,,,,,1,From Kick Off,João Filipe Iria Santos Moutinho,3168.0,Left Defensive Midfield,2,AS Monaco,129,"['124fa604-4813-4e8a-ad89-351594962b91', '6ba904ef-5cab-455a-8212-b8f8160d341d']",3,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:03.639,Pass,True
,,,,,,,,,,,,,,,2.002825,,,,,,,,,,,,,1ecf4f34-0db1-457d-a02c-2bb5442ffc06,14,,"[38.2, 73.0]",3900558,0,,,,,-1.7617868,,Right Foot,,,,"[28.9, 24.9]",Ground Pass,,48.990814,,,,Ricardo Alberto Silveira de Carvalho,10805.0,,,True,,,,1,From Kick Off,Fábio Henrique Tavares,3247.0,Right Back,2,AS Monaco,129,['273c3fc3-408f-41e0-90e3-8c924af6f898'],7,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:07.510,Pass,
,,,,,,,,,,,,,,,1.284595,,,,,,,,,,,,,503f69dc-9f26-48f1-b0e5-1ffd83f4c369,17,,"[30.4, 24.7]",3900558,0,,,,,-0.34097895,,Left Foot,,,,"[45.9, 19.2]",Ground Pass,,16.446884,,,,João Filipe Iria Santos Moutinho,3168.0,,,,,,,1,From Kick Off,Ricardo Alberto Silveira de Carvalho,10805.0,Left Center Back,2,AS Monaco,129,['ec7f89e0-73cf-4e74-a66c-4ae9b6425d1a'],10,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:10.659,Pass,
,,,,,,,,,,,,,,,1.091034,,,,,,,,,,,,,57f6678f-6a23-441b-bd70-51236eb65a6d,20,,"[47.3, 18.6]",3900558,0,,,,,-1.0737422,,Right Foot,,,,"[55.6, 3.3]",Ground Pass,,17.40632,,,,Elderson Uwa Echiejile,27558.0,,,,,,,1,From Kick Off,João Filipe Iria Santos Moutinho,3168.0,Left Defensive Midfield,2,AS Monaco,129,['2a8e6eb2-1fc2-47c6-a4fb-fbffbdce00a6'],13,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:13.886,Pass,
,,,,,,,,,,,,,,,1.789418,,,,,,,,,,,,,8a2304de-14c0-4d53-b578-a7fe1581b4d9,23,,"[56.2, 3.0]",3900558,0,,,,,2.7903304,,Left Foot,,,,"[40.1, 8.9]",Ground Pass,,17.14701,,,,Ricardo Alberto Silveira de Carvalho,10805.0,,,,,,,1,From Kick Off,Elderson Uwa Echiejile,27558.0,Left Back,2,AS Monaco,129,['5cd86497-ee60-489c-b843-53140f35d4eb'],15,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:15.875,Pass,
,,,,,,,,,,,,,,,0.90842,,,,,,,,,,,,,3b96ae5b-57e1-442d-88e1-d3fab6b6336e,26,,"[41.4, 11.7]",3900558,0,,,,,1.2021004,,Right Foot,,,,"[46.5, 24.9]",Ground Pass,,14.150971,,,,Jérémy Toulalan,3406.0,,,,,,,1,From Kick Off,Ricardo Alberto Silveira de Carvalho,10805.0,Left Center Back,2,AS Monaco,129,['6b937c95-f66a-4bc1-80d5-51a40799f581'],19,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:19.342,Pass,
,,,,,,,,,,,,,,,0.830105,,,,,,,,,,,,,6a0f5e3c-47f2-4096-99fe-5789f48c55cb,29,,"[45.1, 21.4]",3900558,0,,,,,-0.8336366,,Left Foot,,,,"[52.0, 13.8]",Ground Pass,,10.264989,,,,João Filipe Iria Santos Moutinho,3168.0,,,,,,,1,From Kick Off,Jérémy Toulalan,3406.0,Right Defensive Midfield,2,AS Monaco,129,['50fd3b21-e750-4bba-b2f3-f6fe53865cfb'],21,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:21.402,Pass,
,,,,,,,,,,,,,,,1.737313,,,,,,,,,,,,,0a2709fe-0c00-4c00-8f27-f3ee608b143d,32,,"[48.4, 28.6]",3900558,0,,,,,1.5956875,,Right Foot,,,,"[47.8, 52.7]",Ground Pass,,24.107468,,,,Thomas Lemar,3245.0,,,,,,,1,From Kick Off,João Filipe Iria Santos Moutinho,3168.0,Left Defensive Midfield,2,AS Monaco,129,['d3c9fd5b-9634-4d14-9ee3-3c656b83e2a9'],25,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:25.237,Pass,
,,,,,,,,,,,,,,,1.883296,,,,,,,,,,,,,c6e00c3d-8f28-49b4-8de4-929bbe7e2858,35,,"[50.4, 52.8]",3900558,0,,,,,-1.6233793,,Left Foot,,,,"[48.6, 18.6]",Ground Pass,,34.247337,,,,Ricardo Alberto Silveira de Carvalho,10805.0,,,,,,,1,From Kick Off,Thomas Lemar,3245.0,Center Attacking Midfield,2,AS Monaco,129,['13b49cfa-07b7-4fc1-b18e-c4838719c0c5'],30,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:30.234,Pass,
,,,,,,,,,,,,,,,1.181102,,,,,,,,,,,,,052d9600-3dee-4945-96d9-5221c9861831,38,,"[50.0, 11.4]",3900558,0,,,,,-0.418734,,Right Foot,,,,"[68.2, 3.3]",Ground Pass,,19.921095,,,,Elderson Uwa Echiejile,27558.0,,,,,,,1,From Kick Off,Ricardo Alberto Silveira de Carvalho,10805.0,Left Center Back,2,AS Monaco,129,['77961f5a-c5d5-402f-9b9c-dece71dfb5e2'],34,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:34.219,Pass,
,,,,,,,,,,,,,,,1.332774,,,,,,,,,,,,,af557487-6d30-4391-b1a1-ad2816d93b83,42,,"[65.6, 3.1]",3900558,0,,,,,3.0676537,,Left Foot,,,,"[46.7, 4.5]",Ground Pass,,18.95178,,,,Ricardo Alberto Silveira de Carvalho,10805.0,,,,,,,1,From Kick Off,Elderson Uwa Echiejile,27558.0,Left Back,2,AS Monaco,129,['b7b5766f-96d1-4af4-ac87-d9ae0b54d8ef'],37,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:37.558,Pass,
