50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,bbc0bff9-1ab0-4fb5-a375-64e777259dd7,1,,,3829521,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bordeaux,146,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 40533, 'name': 'Cédric Carrasso'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 2946, 'name': 'Frédéric Guilbert'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8385, 'name': 'Ludovic Lamine Sané'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4542, 'name': 'Pablo Nascimento Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4442, 'name': 'Maxime Poundjé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 3150, 'name': 'Jaroslav Plašil'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7552, 'name': 'Clément Chantôme'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5110, 'name': 'Henri Saivet'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 24}, {'player': {'id': 3184, 'name': 'Enzo Crivelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 6739, 'name': 'Diego Alejandro Rolan Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Bordeaux,146,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,5439ddaa-bb25-46ae-8eb8-5a04cf191dbf,2,,,3829521,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bordeaux,146,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7193, 'name': 'Paul Bernardoni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 3364, 'name': 'Jonathan Martins-Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 42422, 'name': 'Dušan Veškovac'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 32}, {'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 35}, {'player': {'id': 7488, 'name': 'Thomas Ayasse'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 2993, 'name': 'Stéphane Darbion'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,74f171db-f1cf-4e14-8e52-9db5dc7e421f,3,,,3829521,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bordeaux,146,['33e2ddf3-7419-4f96-a0f3-9da7bbd568cd'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,33e2ddf3-7419-4f96-a0f3-9da7bbd568cd,4,,,3829521,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bordeaux,146,['74f171db-f1cf-4e14-8e52-9db5dc7e421f'],0,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,2e28c54b-8d16-4218-9bcf-6d59de4f8bed,1937,,,3829521,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Bordeaux,146,['004cd6ab-6ea0-4a89-8471-f5326166f0b0'],0,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,004cd6ab-6ea0-4a89-8471-f5326166f0b0,1938,,,3829521,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,109,Bordeaux,146,['2e28c54b-8d16-4218-9bcf-6d59de4f8bed'],0,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.647553,,,,,,,,,,,f961f6b7-ed47-4680-b24e-9c8416f98392,5,,"[61.0, 40.1]",3829521,0,,,,,1.6352232,,Right Foot,,,"[60.8, 43.2]",Ground Pass,,3.1064448,,,,Enzo Crivelli,3184.0,,,,,Kick Off,1,From Kick Off,Diego Alejandro Rolan Silva,6739.0,Left Center Forward,2,Bordeaux,146,['88971005-9806-484c-9512-891158e7bc51'],0,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.333,Pass,
,,,,,,,,,,,,,,0.85111,,,,,,,,,,,e639fe36-1f1a-4cba-8fde-7cf7304df983,8,,"[60.6, 44.0]",3829521,0,,,,,-2.8130395,,Right Foot,,,"[51.8, 41.0]",Ground Pass,,9.297312,,,,Clément Chantôme,7552.0,,,,,,1,From Kick Off,Enzo Crivelli,3184.0,Right Center Forward,2,Bordeaux,146,['61872c02-78b8-4434-b933-62f9d0af814d'],1,,,,,,,,,,,,,,,,Bordeaux,146,00:00:01.402,Pass,
,,,,,,,,,,,,,,1.077263,,,,,,,,,,,1cb1d36f-9570-4826-9119-0fc536371329,12,,"[52.2, 41.5]",3829521,0,,,,,-1.6544715,,Right Foot,,,"[50.9, 26.0]",Ground Pass,,15.55442,,,,Jaroslav Plašil,3150.0,,,,,,1,From Kick Off,Clément Chantôme,7552.0,Left Defensive Midfield,2,Bordeaux,146,"['150e5c44-4a2d-41d7-9019-ba8e7f93b147', 'ce296545-e135-4cd4-9169-3e7597b662e1']",3,,,,,,,,,,,,,,,,Bordeaux,146,00:00:03.089,Pass,True
,,,,,,,,,,,,,,1.206784,,,,,,,,,,,b236039e-038d-44fc-b858-1219617db44d,15,,"[50.5, 19.6]",3829521,0,,,,,-0.688145,,Left Foot,,,"[64.0, 8.5]",Ground Pass,,17.477413,,,,Maxime Poundjé,4442.0,,,,,,1,From Kick Off,Jaroslav Plašil,3150.0,Right Defensive Midfield,2,Bordeaux,146,['2a095509-6882-4c86-bccb-ca760ae83509'],5,,,,,,,,,,,,,,,,Bordeaux,146,00:00:05.541,Pass,
