50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3004790d-ab3d-4359-b40a-7565725f73d2,1,,,3901183,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 31}, {'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 11}, {'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 35}, {'player': {'id': 7283, 'name': 'Thiago Xavier Rodrigues Corrêa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 15796, 'name': 'Babacar Gueye'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,73ef4a00-e807-40d6-b80f-8e100e44f2ae,2,,,3901183,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 20048, 'name': 'Gregory van der Wiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3956, 'name': 'David Luiz Moreira Marinho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 8515, 'name': 'Benjamin Stambouli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 4370, 'name': 'Javier Matías Pastore'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,827a6a60-b5b7-4785-b11e-ffdf9b4475a2,3,,,3901183,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['92d0cd9c-a4ba-4ee5-bb39-40a5a1d4ab4a'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,92d0cd9c-a4ba-4ee5-bb39-40a5a1d4ab4a,4,,,3901183,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Troyes,133,['827a6a60-b5b7-4785-b11e-ffdf9b4475a2'],0,,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ee526b76-39c6-4091-b326-a1368308a11c,2128,,,3901183,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Paris Saint-Germain,131,['be78ff70-b5d1-4536-98c9-8fdca9c65ddd'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,be78ff70-b5d1-4536-98c9-8fdca9c65ddd,2129,,,3901183,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Paris Saint-Germain,131,['ee526b76-39c6-4091-b326-a1368308a11c'],0,,,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.461934,,,,,,,,,,,,,,fc1684e8-3a87-42e2-a022-d374172df8b9,5,,"[60.0, 40.0]",3901183,0,,,,1.7894653,,Right Foot,,,"[59.6, 41.8]",,Ground Pass,,1.8439089,,,,,Zlatan Ibrahimović,3672.0,,,,,,Kick Off,1,From Kick Off,Edinson Roberto Cavani Gómez,4319.0,Left Wing,2,Paris Saint-Germain,131,['7cc89b46-a922-4164-8095-7a3b575a47e2'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.118,Pass,
,,,,,,,,,,,,,,,,0.875057,,,,,,,,,,,,,,3d42bcf5-14a7-460a-8589-8f730d5456ae,8,,"[56.5, 40.6]",3901183,0,,,,2.9043858,,Right Foot,,,"[47.4, 42.8]",,Ground Pass,,9.362158,,,,,Benjamin Stambouli,8515.0,,,,,,,1,From Kick Off,Zlatan Ibrahimović,3672.0,Center Forward,2,Paris Saint-Germain,131,['47c0c3dd-6b4a-45ce-9d46-fcd05e54fabf'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.775,Pass,
,,,,,,,,,,,,,,,,1.093724,,,,,,,,,,,,,,688cf654-fec1-454e-a97d-c5740e4acc76,11,,"[48.0, 44.0]",3901183,0,,,,1.2417467,,Right Foot,,,"[50.8, 52.2]",,Ground Pass,,8.664871,,,,,Javier Matías Pastore,4370.0,,,,,,,1,From Kick Off,Benjamin Stambouli,8515.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['97640083-3c13-4836-a0ee-12e20c890632'],2,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:02.256,Pass,
,,,,,,,,,,,,,,,,1.53308,,,,,,,,,,,,,,f19e231f-8b22-430a-82a4-ec354eaee043,14,,"[50.2, 52.2]",3901183,0,,,,-2.0449836,,Right Foot,,,"[34.7, 22.0]",,Ground Pass,,33.945396,,,,,David Luiz Moreira Marinho,3956.0,,,,,,,1,From Kick Off,Javier Matías Pastore,4370.0,Right Center Midfield,2,Paris Saint-Germain,131,['6bc9d589-924a-4eb2-9611-40968ebe3ebd'],4,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:04.485,Pass,
