50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7f120c2b-1797-4634-a1c7-1b20cb8e2999,1,,,3829425,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8ed873b2-ac7d-4c29-8fe2-93ed7a42e6fa,2,,,3829425,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3144, 'name': 'Léo Dubois'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3174, 'name': 'Lévy Koffi Djidji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 2943, 'name': 'Lucas Deaux'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 31681, 'name': 'Olivier Veigneau'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3365, 'name': 'Valentin Rongier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 31687, 'name': 'Adryan Oliveira Tavares'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6284, 'name': 'Kolbeinn Sigþórsson'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3319, 'name': 'Yacine Bammou'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,782aa374-2b68-4c3d-b1fb-5aa97d64600d,3,,,3829425,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['8ef05811-7607-4034-beb0-da8c9da3f671'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8ef05811-7607-4034-beb0-da8c9da3f671,4,,,3829425,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['782aa374-2b68-4c3d-b1fb-5aa97d64600d'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e463d6f6-e555-420f-819e-1e928ec2908a,1749,,,3829425,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Angers,145,['14e5fab8-99b6-49f3-b103-4bb79431471d'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,14e5fab8-99b6-49f3-b103-4bb79431471d,1750,,,3829425,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Angers,145,['e463d6f6-e555-420f-819e-1e928ec2908a'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.334346,,,,,,,,,,,a0dcc9c1-86ec-4e2d-a445-6e70a55937f1,5,,"[61.0, 40.1]",3829425,0,,,,,1.8766752,,Right Foot,,,,"[59.8, 43.9]",Ground Pass,,3.9849718,,,Yacine Bammou,3319.0,,,,,Kick Off,1,From Kick Off,Kolbeinn Sigþórsson,6284.0,Right Center Forward,2,Nantes,144,['8343c784-1050-407d-9b19-601046dc61f9'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.958,Pass,
,,,,,,,,,,,,,,,,3.306013,,,,,,,,,,,5bcd4ef4-535e-47e9-87a8-db8d6c7bf640,8,,"[57.1, 43.8]",3829425,0,,,,,-2.782822,,Right Foot,,,,"[24.3, 31.5]",Ground Pass,,35.030415,,,Lucas Deaux,2943.0,,,,,,1,From Kick Off,Yacine Bammou,3319.0,Left Center Forward,2,Nantes,144,['754f229a-e70f-4749-bd70-42c9f23ecf1e'],1,,,,,,,,,,,,,,,,,Nantes,144,00:00:01.690,Pass,
,,,,,,,,,,,,,,,,4.818527,,,,,,,,,,,a80c54d2-b0b0-4a17-9b0f-c9acd16a20b6,11,,"[23.4, 32.4]",3829425,0,,,,,0.51185584,,Right Foot,,,,"[94.6, 72.4]",High Pass,,81.66664,Incomplete,,Yacine Bammou,3319.0,,True,,,,1,From Kick Off,Lucas Deaux,2943.0,Left Center Back,2,Nantes,144,"['b6c595e9-cb9b-4eca-a980-7e7d217c9f5d', 'd2175970-5838-4044-a141-b27cfa0cd807']",5,,,,,,,,,,,,,,,,,Nantes,144,00:00:05.857,Pass,
,,,,,,,,,,,,,,,,1.769019,,,,,,,,,,,d88fef1d-84c2-47b6-ae04-627636581875,16,,"[10.1, 3.9]",3829425,0,,,,,-0.014759076,,Left Foot,,,,"[37.2, 3.5]",High Pass,,27.102951,Incomplete,,Gilles Sunu,3111.0,,,,,,1,Regular Play,Yoann Andreu,3203.0,Left Back,3,Angers,145,"['e167141e-f81d-4beb-ac88-e252a2972e9c', 'e1841bec-7c57-484c-8524-4a9e9bac5558']",14,,,,,,,,,,,,,,,,,Angers,145,00:00:14.638,Pass,
