50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7c44aa11-1ec0-4dd3-937a-bab00572b05d,1,,,,3829481,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 42428, 'name': 'Jonathan Ligali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 2975, 'name': 'Mathieu Deplagne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 30255, 'name': 'Mustapha Yatabaré'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 2980, 'name': 'Kévin Bérigaud'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 26}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,603172d8-c9e9-4cde-b77a-89e9a5bcf76c,2,,,,3829481,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3204, 'name': 'Almamy Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 38}, {'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 19047, 'name': 'Fábio Alexandre da Silva Coentrão'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 11603, 'name': 'Mario Pašalić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3245, 'name': 'Thomas Lemar'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 18243, 'name': 'Ivan Ricardo Neves Abreu Cavaleiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,77726a7b-7d36-400d-993b-38fe82aa0103,3,,,,3829481,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['017779b1-9e7a-4770-adca-6656b33245c1'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,017779b1-9e7a-4770-adca-6656b33245c1,4,,,,3829481,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['77726a7b-7d36-400d-993b-38fe82aa0103'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,bbd4bb45-fe06-4784-8be4-fb325f44151e,1846,,,,3829481,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,106,Montpellier,139,['36c9ffa5-a7f0-41ce-8245-a54e9f744345'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,36c9ffa5-a7f0-41ce-8245-a54e9f744345,1847,,,,3829481,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,106,Montpellier,139,['bbd4bb45-fe06-4784-8be4-fb325f44151e'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.208304,,,,,,,,,,,,,,,,56180653-935a-4abd-a678-2774f88f1d2b,5,,,"[61.0, 40.1]",3829481,0,,,,,2.6779451,,Left Foot,,,,"[59.8, 40.7]",,Ground Pass,,1.3416408,,,Guido Marcelo Carrillo,3246.0,,,,,Kick Off,1,From Kick Off,Thomas Lemar,3245.0,Center Attacking Midfield,2,AS Monaco,129,['de4b5e05-3564-4d14-822a-996c920655f5'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.642,Pass,
,,,,,,,,,,,,,,,1.957694,,,,,,,,,,,,,,,,1661e2cf-8a0e-4dcd-a134-d7210f484f89,8,,,"[57.9, 40.7]",3829481,0,,,,,2.4829893,,Left Foot,,,,"[38.0, 56.1]",,Ground Pass,,25.16287,,,Andrea Raggi,3374.0,,,,,,1,From Kick Off,Guido Marcelo Carrillo,3246.0,Center Forward,2,AS Monaco,129,['565f1338-24a3-42af-ae33-0ec610ed036b'],1,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:01.749,Pass,
,,,,,,,,,,,,,,,2.793767,,,,,,,,,,,,,,,,e7a193d8-fcc2-45eb-9bd5-a29ac13cc617,11,,,"[37.8, 56.1]",3829481,0,,,,,-1.000133,,Right Foot,,,,"[71.5, 3.6]",,High Pass,,62.385414,,,Ivan Ricardo Neves Abreu Cavaleiro,18243.0,,True,,,,1,From Kick Off,Andrea Raggi,3374.0,Right Center Back,2,AS Monaco,129,['d13b74d6-84cf-416a-b58d-8edd1f9fc348'],5,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:05.103,Pass,
,,,,,,,,,,,,,,,1.541596,,,,,,,,,,,,,,,,f8cedb98-ef97-4d4b-a833-5931be319a94,13,,,"[71.5, 3.6]",3829481,0,,,,,1.2832901,,Head,,,,"[77.0, 22.2]",,High Pass,,19.396133,Incomplete,,Guido Marcelo Carrillo,3246.0,,,,,,1,From Kick Off,Ivan Ricardo Neves Abreu Cavaleiro,18243.0,Left Wing,2,AS Monaco,129,"['16e9c4b4-2ba1-4cb9-878f-92a8d86d0eee', '689dae62-2de1-4107-a539-2bcf5af4abae']",7,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:07.937,Pass,
