50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.738428,,,,,,,,,,,,,f4d515c4-2402-4cba-bbaf-1d2d49e15cd5,18,,,"[73.5, 60.5]",3829475,0,,,,2.6176734,,Other,,,,"[69.0, 63.1]",,Low Pass,,5.1971145,,,,,Nampalys Mendy,4506.0,,,,,,Recovery,1,Regular Play,Jean Michaël Seri,3359.0,Left Center Midfield,4,OGC Nice,136,['3d57308a-6fac-42ab-beb7-c683f00904b3'],20,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:20.032,Pass,
,,,,,,,,,,,,,,,,1.883738,,,,,,,,,,,,,9788c890-89c9-46e9-b297-6b3cc93c59b6,22,,,"[68.8, 64.2]",3829475,0,,,,-2.499028,,Right Foot,,,,"[51.7, 51.4]",,Ground Pass,,21.36001,,,,,Olivier Boscagli,7323.0,,,,,,,1,Regular Play,Nampalys Mendy,4506.0,Center Defensive Midfield,4,OGC Nice,136,['68603762-0713-4736-b30f-74bdc9259de6'],20,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:20.945,Pass,
,,,,,,,,,,,,,,,,0.857063,,,,,,,,,,,,,f8b68e92-ee10-4442-a5b2-2be6f3c2826f,25,,,"[50.8, 49.2]",3829475,0,,,,0.8943401,,Left Foot,,,,"[56.5, 56.3]",,Ground Pass,,9.104943,,,,,Nampalys Mendy,4506.0,,,,,,,1,Regular Play,Olivier Boscagli,7323.0,Left Center Back,4,OGC Nice,136,['83edb3e4-1959-4069-b548-b8c7a3c8ed94'],24,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:24.209,Pass,
,,,,,,,,,,,,,,,,1.38787,,,,,,,,,,,,,59adbb74-6920-4301-b47e-014831145f74,28,,,"[56.3, 58.5]",3829475,0,,,,-2.0610225,,Right Foot,,,,"[46.0, 39.2]",,Ground Pass,,21.87647,,,,,Olivier Boscagli,7323.0,,,,,,,1,Regular Play,Nampalys Mendy,4506.0,Center Defensive Midfield,4,OGC Nice,136,['9cbd3550-d774-4395-acd6-46038fc7a862'],27,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:27.207,Pass,
,,,,,,,,,,,,,,,,1.119621,,,,,,,,,,,,,b6a9956a-19ac-4014-b8ae-dbf6d72316b9,31,,,"[51.4, 32.9]",3829475,0,,,,-1.59936,,Right Foot,,,,"[51.1, 22.4]",,Ground Pass,,10.504285,,,,,Jean Michaël Seri,3359.0,,,,,,,1,Regular Play,Olivier Boscagli,7323.0,Left Center Back,4,OGC Nice,136,['168bb450-3944-4cc9-b61d-18fe8e2808f8'],30,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:30.870,Pass,
,,,,,,,,,,,,,,,,1.020652,,,,,,,,,,,,,18f4f804-fab9-4e57-911a-0ed6e1289a68,37,,,"[53.9, 29.5]",3829475,0,True,,,2.133457,,Left Foot,,,,"[35.8, 58.2]",,Ground Pass,,33.930813,,,,,Mathieu Bodmer,4373.0,,,,,,Free Kick,1,From Free Kick,Olivier Boscagli,7323.0,Left Center Back,5,OGC Nice,136,['4f091eab-2977-42aa-a41d-6c44bcdee476'],39,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:39.434,Pass,
,,,,,,,,,,,,,,,,0.436578,,,,,,,,,,,,,dc8ea2a0-6767-49c5-a265-499cfa975c40,39,,,"[51.7, 61.9]",3829475,0,,,,-0.06241881,,Right Foot,,,,"[61.3, 61.3]",,Ground Pass,,9.6187315,,,Incomplete,,Mickaël Le Bihan,4723.0,,,,,,,1,From Free Kick,Mathieu Bodmer,4373.0,Right Center Back,5,OGC Nice,136,"['3e0b50ed-4649-4e18-ac72-61b1bb7341ad', 'e1a96332-5a4a-45f8-83da-9f85b285bf39']",42,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:42.790,Pass,
,,,,,,,,,,,,,,,,0.914434,,,,,,,,,,,,,9ccd5027-fffe-4f4f-aab1-4ca86a7d8e9a,42,,,"[57.6, 12.5]",3829475,0,,,,1.6262949,,Left Foot,,,,"[57.3, 17.9]",,Ground Pass,,5.408327,,,,,Enzo Crivelli,3184.0,,,,,,Recovery,1,Regular Play,Henri Saivet,5110.0,Left Center Midfield,6,Bordeaux,146,['cb9e9248-f24e-4c5a-bfd6-d939eff05633'],44,,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:44.420,Pass,
,,,,,,,,,,,,,,,,1.613385,,,,,,,,,,,,,c8561762-8f8b-411f-accb-00be6f1e406d,46,,,"[54.5, 23.0]",3829475,0,,,,0.93786985,,Right Foot,,,,"[72.4, 47.4]",,High Pass,,30.261692,,,,,Wahbi Khazri,3196.0,,,,,,,1,Regular Play,Enzo Crivelli,3184.0,Center Forward,6,Bordeaux,146,"['7e8b4412-aeaa-44e4-938b-cbae63f2a42a', 'a51b6b9b-e4b3-486b-a92f-c210dcb5fe44']",46,,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:46.063,Pass,True
,,,,,,,,,,,,,,,,1.070127,,,,,,,,,,,,,039d67d2-6845-43ce-b5f8-3549c603bbc5,49,,,"[72.4, 47.4]",3829475,0,,,,-1.1687989,,Right Foot,,,,"[79.5, 30.7]",,Low Pass,,18.146626,,,,,Nicolas Maurice-Belay,42430.0,,,,,,,1,Regular Play,Wahbi Khazri,3196.0,Right Midfield,6,Bordeaux,146,['33667001-a183-4106-a152-65f66b076c94'],47,,,,,,,,,,,,,,,,,,Bordeaux,146,00:00:47.717,Pass,
,,,,,,,,,,,,,,,,1.138586,,,,,,,,,,,,,9c70b8c6-3d0f-4663-afce-530bb27915f4,57,,,"[42.6, 67.6]",3829475,0,,,,-0.43900472,,Right Foot,,,,"[65.6, 56.8]",,Low Pass,,25.409447,,,,,Mickaël Le Bihan,4723.0,,,,,,,1,Regular Play,Vincent Koziello,4264.0,Right Center Midfield,6,Bordeaux,146,['967207e9-62ca-444b-a74a-746841292778'],51,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:51.952,Pass,
,,,,,,,,,,,,,,,,2.187333,,,,,,,,,,,,,916198c2-8402-469c-94e5-6c9aca161347,60,,,"[64.8, 57.4]",3829475,0,,,,2.2419403,,Right Foot,,,,"[59.4, 64.2]",,Ground Pass,,8.683317,,,Incomplete,,Hatem Ben Arfa,16462.0,,,,,,,1,Regular Play,Mickaël Le Bihan,4723.0,Left Center Forward,6,Bordeaux,146,"['3bb83757-3143-47e6-8b22-8b10d9581dee', '6404727d-7635-42ac-8e35-30a3a81c3078']",53,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:53.547,Pass,
,,,,,,,,,,,,,,,,0.217948,,,,,,,,,,,,,c58971e4-fcb9-40d7-a89d-876b722ef1fc,66,,,"[58.2, 15.7]",3829475,1,True,,,1.9714208,,Right Foot,,,,"[47.4, 41.2]",,Ground Pass,,27.69278,,,,,Clément Chantôme,7552.0,,,,,,Free Kick,1,From Free Kick,Henri Saivet,5110.0,Left Center Midfield,7,Bordeaux,146,['ec1c17c0-b993-4a77-a0c4-d1e78a6ed985'],16,,,,,,,,,,,,,,,,,,Bordeaux,146,00:01:16.685,Pass,
,,,,,,,,,,,,,,,,1.625715,,,,,,,,,,,,,70da6c6c-4936-4ae8-b473-172fbb4b4a39,68,,,"[47.4, 43.7]",3829475,1,True,,,-2.0758948,,Right Foot,,,,"[38.0, 26.7]",,Ground Pass,,19.425756,,,,,Nicolas Pallois,3256.0,,,,,,,1,From Free Kick,Clément Chantôme,7552.0,Center Defensive Midfield,7,Bordeaux,146,['b858f424-39e5-4a70-b8f8-8f4525203576'],17,,,,,,,,,,,,,,,,,,Bordeaux,146,00:01:17.733,Pass,
,,,,,,,,,,,,,,,,1.770281,,,,,,,,,,,,,f5c1d0b8-172f-44f5-b056-60f45594caf3,70,,,"[39.7, 25.0]",3829475,1,,,,1.7577755,,Left Foot,,,,"[36.9, 39.8]",,Ground Pass,,15.062536,,,,,Pablo Nascimento Castro,4542.0,,,,,,,1,From Free Kick,Nicolas Pallois,3256.0,Left Center Back,7,Bordeaux,146,['cd83924e-f0fe-49e5-84a8-e065a333500f'],20,,,,,,,,,,,,,,,,,,Bordeaux,146,00:01:20.763,Pass,
,,,,,,,,,,,,,,,,1.644839,,,,,,,,,,,,,e05f061f-3726-4cfb-a600-4a0770d5b839,73,,,"[47.7, 52.8]",3829475,1,,,,-1.6001996,,Right Foot,,,,"[47.1, 32.4]",,Ground Pass,,20.408821,,,,,Clément Chantôme,7552.0,,,,,,,1,From Free Kick,Pablo Nascimento Castro,4542.0,Right Center Back,7,Bordeaux,146,['08ec5abb-d975-4167-8249-f9200f0b58d7'],26,,,,,,,,,,,,,,,,,,Bordeaux,146,00:01:26.987,Pass,
,,,,,,,,,,,,,,,,1.105882,,,,,,,,,,,,,f0c354eb-747a-4975-87c1-e927eba6d5b5,76,,,"[48.8, 28.7]",3829475,1,,,,-0.21943057,,Right Foot,,,,"[62.7, 25.6]",,Ground Pass,,14.241488,,,,,Henri Saivet,5110.0,,,,,,,1,From Free Kick,Clément Chantôme,7552.0,Center Defensive Midfield,7,Bordeaux,146,['3d2e5183-c48e-423c-97b9-a70583e72636'],29,,,,,,,,,,,,,,,,,,Bordeaux,146,00:01:29.477,Pass,
