50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,64f683ab-f824-45ba-8401-5848c57b4fd2,1,,,3901149,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3245, 'name': 'Thomas Lemar'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 9931, 'name': 'Hélder Wander Sousa Azevedo Costa'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 18953, 'name': 'Vágner Silva de Souza'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3246, 'name': 'Guido Marcelo Carrillo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1d7d3a04-c1a3-47bb-aba0-038de06a604d,2,,,3901149,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 31}, {'player': {'id': 42422, 'name': 'Dušan Veškovac'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 2969, 'name': 'Karim Azamoum'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 15796, 'name': 'Babacar Gueye'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Troyes,133,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8bd25c62-bff8-4053-a629-c3fab4cf7480,3,,,3901149,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['417156f8-6fef-48c9-b430-1fc29b5ee78a'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,417156f8-6fef-48c9-b430-1fc29b5ee78a,4,,,3901149,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['8bd25c62-bff8-4053-a629-c3fab4cf7480'],0,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dcf6db4c-0774-456e-831b-e5c6fd3a1a9c,2140,,,3901149,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,AS Monaco,129,['1e73bc10-ab3e-4a33-8246-980e9c68b023'],0,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1e73bc10-ab3e-4a33-8246-980e9c68b023,2141,,,3901149,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,AS Monaco,129,['dcf6db4c-0774-456e-831b-e5c6fd3a1a9c'],0,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.5888,,,,,,,,,,,,86736ae0-4977-49ca-8269-526366cd6012,5,,"[60.0, 40.0]",3901149,0,,,,,-0.85843873,,Right Foot,,,,"[61.9, 37.8]",,Ground Pass,,2.9068885,,,Chaouki Ben Saada,3161.0,,,,,,Kick Off,1,From Kick Off,Babacar Gueye,15796.0,Center Forward,2,Troyes,133,['a857b5ee-6602-46a5-8b3e-e615a3d9a28a'],0,,,,,,,,,,,,,,,,,Troyes,133,00:00:00.698,Pass,
,,,,,,,,,,,,,,,,0.792892,,,,,,,,,,,,6f3e36b2-4cd3-4112-9180-3e56a1689171,8,,"[61.1, 38.2]",3901149,0,,,,,2.7120934,,Left Foot,,,,"[48.0, 44.2]",,Ground Pass,,14.408678,,,Benjamin Nivet,3002.0,,,,,,,1,From Kick Off,Chaouki Ben Saada,3161.0,Center Attacking Midfield,2,Troyes,133,['96355dd7-e582-4695-bd49-729babd191b7'],1,,,,,,,,,,,,,,,,,Troyes,133,00:00:01.353,Pass,
,,,,,,,,,,,,,,,,1.894281,,,,,,,,,,,,bfe8798f-dbfd-4565-b953-d4d38ce587b2,11,,"[48.0, 46.1]",3901149,0,,,,,1.567065,,Right Foot,,,,"[48.1, 72.9]",,Ground Pass,,26.800186,,,Lossémy Karaboué,7301.0,,,,,,,1,From Kick Off,Benjamin Nivet,3002.0,Right Defensive Midfield,2,Troyes,133,['593ff0d9-9ff4-4f25-8162-9688d49e98d5'],2,,,,,,,,,,,,,,,,,Troyes,133,00:00:02.996,Pass,
,,,,,,,,,,,,,,,,0.785133,,,,,,,,,,,,d39744a5-0fb9-4b85-a651-22bcac74d1ce,15,,"[48.6, 73.1]",3901149,0,,,,,-1.3317581,,Right Foot,,,,"[51.5, 61.2]",,Low Pass,,12.248265,,,Benjamin Nivet,3002.0,,,,,,,1,From Kick Off,Lossémy Karaboué,7301.0,Right Back,2,Troyes,133,"['84746793-500c-4ee5-9171-1e134480084b', 'dffba902-3351-4e5a-8994-ccce0fae353d']",5,,,,,,,,,,,,,,,,,Troyes,133,00:00:05.634,Pass,True
