50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2920efdb-dc49-4059-b120-0eca81f638bb,1,,,3901204,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7509, 'name': 'Geoffrey Jourdren'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 40530, 'name': 'Jamel Saihi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3546, 'name': 'Morgan Sanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3020, 'name': 'Rodrigue Casimir Ninga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 29}, {'player': {'id': 30255, 'name': 'Mustapha Yatabaré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,8f2f8834-63af-4e93-a150-67109b098daa,2,,,3901204,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4410, 'name': 'Christophe Jallet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 4463, 'name': 'Mapou Yanga-Mbiwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 4895, 'name': 'Henri Bedimo Nsamè'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3372, 'name': 'Rachid Ghezzal'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3162, 'name': 'Gnaly Maxwell Cornet'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,a3b8a2e5-c5f5-40f5-8c18-15edff1456fa,3,,,3901204,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['e8ec7ed7-8276-4f37-9966-d1936ef5678a'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,e8ec7ed7-8276-4f37-9966-d1936ef5678a,4,,,3901204,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Montpellier,139,['a3b8a2e5-c5f5-40f5-8c18-15edff1456fa'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,831a6810-b213-409e-94d2-ef72b09e892f,2187,,,3901204,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Lyon,137,['019bd9e9-3d7a-486a-bd23-1172e20020d3'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,019bd9e9-3d7a-486a-bd23-1172e20020d3,2188,,,3901204,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Lyon,137,['831a6810-b213-409e-94d2-ef72b09e892f'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.342235,,,,,,,,,,ce17eef7-aaaa-478e-8e91-fad0a40ea0ff,5,,"[61.0, 40.1]",3901204,0,,True,,,1.6991196,,Right Foot,,,,"[60.2, 46.3]",,Ground Pass,6.2514,,,,Alexandre Lacazette,3451.0,,,,,Kick Off,1,From Kick Off,Sergi Darder Moll,3236.0,Left Center Midfield,2,Lyon,137,['2b566298-2f27-4d33-b72f-a30d26178ac5'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.772,Pass,
,,,,,,,,,,,,,,,,,1.341733,,,,,,,,,,e098df79-5d2c-434f-a11f-4284c4052962,7,,"[59.7, 40.6]",3901204,0,,True,,,1.0838971,,Left Foot,,,,"[60.6, 42.3]",,Ground Pass,1.9235384,,,,Maxime Gonalons,6982.0,,,,,,1,From Kick Off,Alexandre Lacazette,3451.0,Center Forward,2,Lyon,137,['69358ade-bef1-4370-bf98-ce28ec5a68dc'],1,,,,,,,,,,,,,,,,,Lyon,137,00:00:01.953,Pass,
,,,,,,,,,,,,,,,,,1.742293,,,,,,,,,,2dfb95f5-f313-4bb8-9aac-bfe843c3a0f4,9,,"[46.3, 37.1]",3901204,0,,,,,-1.9988356,,Right Foot,,,,"[39.0, 21.1]",,Ground Pass,17.586643,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Maxime Gonalons,6982.0,Center Defensive Midfield,2,Lyon,137,['ebb1579c-187f-44b9-bb90-89c7a765f64c'],3,,,,,,,,,,,,,,,,,Lyon,137,00:00:03.367,Pass,
,,,,,,,,,,,,,,,,,1.055445,,,,,,,,,,427abbb5-bc2d-4bff-8439-767d4176d0be,13,,"[62.1, 5.3]",3901204,0,,,,,0.52807444,,Left Foot,,,,"[81.3, 16.5]",,Low Pass,22.227911,,,,Gnaly Maxwell Cornet,3162.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Lyon,137,"['2b87f99c-8f72-4bc8-bdfb-d1964c151cfd', 'cc54b0ca-0533-41bc-83c0-e3f82a55aeba']",10,,,,,,,,,,,,,,,,,Lyon,137,00:00:10.174,Pass,True
