50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d9fba12e-cb9f-4a6f-a35f-11d873d28779,1,,,,3901214,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4410, 'name': 'Christophe Jallet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 4463, 'name': 'Mapou Yanga-Mbiwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 4895, 'name': 'Henri Bedimo Nsamè'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3372, 'name': 'Rachid Ghezzal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3162, 'name': 'Gnaly Maxwell Cornet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,efa81c29-abb4-4f50-892e-52aa9a416f13,2,,,,3901214,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 4257, 'name': 'Yoan Cardinale'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3229, 'name': 'Maxime Le Marchand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6352, 'name': 'Ricardo Domingos Barbosa Pereira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 3230, 'name': 'Alassane Pléa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7bc5d3f8-29cd-4e44-819b-ce69947c2221,3,,,,3901214,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['dd72e22e-f578-4f3b-a45a-11c20bb4f064'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dd72e22e-f578-4f3b-a45a-11c20bb4f064,4,,,,3901214,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['7bc5d3f8-29cd-4e44-819b-ce69947c2221'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31a9404b-19d7-4be9-8059-f417bdd68a1e,2088,,,,3901214,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,OGC Nice,136,['2487e19f-0498-42ec-b9da-44522d54d640'],0,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2487e19f-0498-42ec-b9da-44522d54d640,2089,,,,3901214,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,OGC Nice,136,['31a9404b-19d7-4be9-8059-f417bdd68a1e'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.616709,,,,,,,,,,,,,70bdeaf9-9ac0-409c-a67d-8b6411615fd2,5,,,"[61.0, 40.1]",3901214,0,,,,,1.0014831,,Right Foot,,,,"[62.6, 42.6]",,Ground Pass,,2.9681644,,,Sergi Darder Moll,3236.0,,,,,Kick Off,1,From Kick Off,Alexandre Lacazette,3451.0,Center Forward,2,Lyon,137,['b45bc798-3803-4162-9dd5-881cdde69730'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.319,Pass,
,,,,,,,,,,,,,,,,1.804536,,,,,,,,,,,,,a91550e2-1ab7-422c-83cf-21119cbdb711,8,,,"[59.6, 41.8]",3901214,0,,,,,-2.7739224,,Right Foot,,,,"[46.1, 36.6]",,Ground Pass,,14.466859,,,Maxime Gonalons,6982.0,,,,,,1,From Kick Off,Sergi Darder Moll,3236.0,Left Center Midfield,2,Lyon,137,['8953a014-d670-4005-a697-ec076d828fbb'],1,,,,,,,,,,,,,,,,,Lyon,137,00:00:01.349,Pass,
,,,,,,,,,,,,,,,,2.002844,,,,,,,,,,,,,d365e294-8d04-4509-9945-1996acef3eb1,11,,,"[43.5, 37.6]",3901214,0,,,,,1.5019399,,Right Foot,,,,"[45.9, 72.4]",,Ground Pass,,34.88266,,,Christophe Jallet,4410.0,,,,,,1,From Kick Off,Maxime Gonalons,6982.0,Center Defensive Midfield,2,Lyon,137,['fcc3e37d-a24d-4245-b394-1f45c5296a8d'],5,,,,,,,,,,,,,,,,,Lyon,137,00:00:05.017,Pass,
,,,,,,,,,,,,,,,,1.438297,,,,,,,,,,,,,71e1aac0-0083-410e-9d67-0d7fb3477607,20,,,"[42.9, 63.1]",3901214,0,,,,,-1.7340366,,Right Foot,,,,"[38.7, 37.6]",,Ground Pass,,25.843569,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Mapou Yanga-Mbiwa,4463.0,Right Center Back,2,Lyon,137,['59130420-0143-41da-af68-fa2170b0ea55'],14,,,,,,,,,,,,,,,,,Lyon,137,00:00:14.520,Pass,
