50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f444ffd2-74dc-4f25-a96e-7ad672943e1d,1,,,3900560,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 4257, 'name': 'Yoan Cardinale'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4373, 'name': 'Mathieu Bodmer'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 3229, 'name': 'Maxime Le Marchand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 4270, 'name': 'Jérémy Pied'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 29}, {'player': {'id': 7323, 'name': 'Olivier Boscagli'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 33}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 16056, 'name': 'Niklas Hult'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 28}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d56ebcf-52b1-4d98-8c2a-2c1993350fe8,2,,,3900560,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 40645, 'name': 'Laurent Pionnier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 2975, 'name': 'Mathieu Deplagne'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3191, 'name': 'Ramy Bensebaini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 40530, 'name': 'Jamel Saihi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3546, 'name': 'Morgan Sanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 3020, 'name': 'Rodrigue Casimir Ninga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 29}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,edf18f87-3700-4714-b66d-a97ded13b139,3,,,3900560,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['75354743-d13b-4f16-85b9-aebb8041ce0f'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,75354743-d13b-4f16-85b9-aebb8041ce0f,4,,,3900560,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['edf18f87-3700-4714-b66d-a97ded13b139'],0,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f864e844-2704-489c-8e69-852be4f105ff,1955,,,3900560,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,OGC Nice,136,['33863bdb-df48-4f80-bb0d-8182df072878'],0,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33863bdb-df48-4f80-bb0d-8182df072878,1956,,,3900560,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,89,OGC Nice,136,['f864e844-2704-489c-8e69-852be4f105ff'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.443098,,,,,,,,,,,,,73896f62-6a02-4a12-a614-25a472448fcb,5,,"[60.0, 40.0]",3900560,0,,,,,-3.0309355,,Right Foot,,,,"[59.1, 39.9]",Ground Pass,,0.9055385,,,,Ryad Boudebouz,6661.0,,,,,,Kick Off,1,From Kick Off,Rodrigue Casimir Ninga,3020.0,Center Forward,2,Montpellier,139,['26a769e0-19e2-4b82-b17f-53e07cc417ba'],0,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.721,Pass,
,,,,,,,,,,,,,,,,,,0.9701,,,,,,,,,,,,,89dda869-8581-4609-a8ad-4a51f9291ad2,9,,"[61.4, 36.9]",3900560,0,,,,,3.0353277,,Left Foot,,,,"[53.9, 37.7]",Ground Pass,,7.542546,,,,Jamel Saihi,40530.0,,,,,,,1,From Kick Off,Ryad Boudebouz,6661.0,Center Attacking Midfield,2,Montpellier,139,['45d2c6a2-6677-4fda-a26a-f49f4813d9d7'],2,,,,,,,,,,,,,,,,Montpellier,139,00:00:02.763,Pass,
,,,,,,,,,,,,,,,,,,1.7311,,,,,,,,,,,,,5c258347-7aa0-46ed-a927-59059cb381f4,12,,"[51.1, 38.3]",3900560,0,,,,,1.5473107,,Right Foot,,,,"[51.8, 68.1]",Ground Pass,,29.80822,,,,Mathieu Deplagne,2975.0,,,,,,,1,From Kick Off,Jamel Saihi,40530.0,Left Defensive Midfield,2,Montpellier,139,['375b3709-3173-4c6c-80fd-6e3520fa27dd'],4,,,,,,,,,,,,,,,,Montpellier,139,00:00:04.652,Pass,
,,,,,,,,,,,,,,,,,,1.842699,,,,,,,,,,,,,f126eee9-5b34-42d6-b4a0-66330db617e2,15,,"[49.7, 66.9]",3900560,0,,,,,-2.6019816,,Right Foot,,,,"[31.5, 56.0]",Ground Pass,,21.214382,,,,Vitorino Hilton da Silva,3674.0,,,,,,,1,From Kick Off,Mathieu Deplagne,2975.0,Right Back,2,Montpellier,139,['ed9456f2-3202-4452-b120-f1f93fe1165b'],6,,,,,,,,,,,,,,,,Montpellier,139,00:00:06.423,Pass,
