50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fe3b0f95-e496-4d67-8e1b-17ece6376b6a,1,,,3901155,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 40645, 'name': 'Laurent Pionnier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3011, 'name': 'Daniel Congré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 40530, 'name': 'Jamel Saihi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 2980, 'name': 'Kévin Bérigaud'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3020, 'name': 'Rodrigue Casimir Ninga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 29}, {'player': {'id': 30255, 'name': 'Mustapha Yatabaré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ff48cd6f-ac49-4ffe-a11b-a68b51650563,2,,,3901155,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Montpellier,139,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 11332, 'name': 'Ibrahim Amadou'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 40697, 'name': 'Mounir Obbadi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 15996, 'name': 'Éderzito António Macedo Lopes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c7b0e936-8021-46cf-bebc-21abdd3dc2a2,3,,,3901155,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Montpellier,139,['3cd5f008-d9df-4ffe-b0e5-c47baa56a55c'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3cd5f008-d9df-4ffe-b0e5-c47baa56a55c,4,,,3901155,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Montpellier,139,['c7b0e936-8021-46cf-bebc-21abdd3dc2a2'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,94b0f298-f843-4f28-9145-16c59252a8c3,1847,,,3901155,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,,107,Lille,143,['e5e01a2b-2533-42da-8d22-2a47da8fc573'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e5e01a2b-2533-42da-8d22-2a47da8fc573,1848,,,3901155,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,,107,Lille,143,['94b0f298-f843-4f28-9145-16c59252a8c3'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.662123,,,,,,,,,,,,,,e4004631-2289-49a7-b0b7-22f5ec83dcff,5,,"[61.0, 40.1]",3901155,0,,,,1.259798,,Right Foot,,,,"[61.9, 42.9]",,Ground Pass,,2.9410882,,,,,Ryad Boudebouz,6661.0,,,,,Kick Off,1,From Kick Off,Mustapha Yatabaré,30255.0,,Center Forward,2,Montpellier,139,['abbe7f9b-6aff-4ea2-b676-b98d3ef0348b'],0,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.666,Pass,
,,,,,,,,,,,,,,,,2.478215,,,,,,,,,,,,,,10e995c9-11c0-4268-b30c-9db1e6b985e7,8,,"[61.9, 42.9]",3901155,0,,,,0.5414472,,Left Foot,,,,"[90.5, 60.1]",,High Pass,,33.373642,,,Incomplete,,Kévin Bérigaud,2980.0,,,,,,1,From Kick Off,Ryad Boudebouz,6661.0,,Center Attacking Midfield,2,Montpellier,139,"['8b5763ae-b9b4-4351-b501-611a06308fef', 'd97e9089-0627-40c4-8c52-001a13fa71ef']",2,,,,,,,,,,,,,,,,,Montpellier,139,00:00:02.244,Pass,
,,,,,,,,,,,,,,,,2.082446,,,,,,,,,,,,,,f6cb3871-eb81-49ab-b168-2148ae5c29f5,12,,"[18.1, 24.8]",3901155,0,,,,2.089357,,Right Foot,,,,"[7.6, 43.2]",,Ground Pass,,21.185137,,,,,Vincent Enyeama,40484.0,,,,,,1,From Kick Off,Djibril Sidibé,3446.0,,Left Back,2,Montpellier,139,['741019f7-df7a-46c7-a0cf-0cd7619a818e'],6,,,,,,,,,,,,,,,,,Lille,143,00:00:06.340,Pass,
,,,,,,,,,,,,,,,,2.741698,,,,,,,,,,,,,,c0f77094-0179-47ab-8901-726ce8aa65f8,15,,"[10.6, 44.4]",3901155,0,,,,-0.14473723,,Right Foot,,,,"[64.8, 36.5]",,High Pass,,54.772713,,,Incomplete,,Éderzito António Macedo Lopes,15996.0,,,,,,1,From Kick Off,Vincent Enyeama,40484.0,,Goalkeeper,2,Montpellier,139,"['e0477aa7-2cd7-488a-915d-565a0ec38fe2', 'f03305a1-c473-4486-abc2-bf66c0cf3a7c']",9,,,,,,,,,,,,,,,,,Lille,143,00:00:09.631,Pass,
