50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,7d48cfe9-3e81-4830-a80f-00db1ae5f49e,1,,,3829519,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 20048, 'name': 'Gregory van der Wiel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3026, 'name': 'Adrien Rabiot'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 3672, 'name': 'Zlatan Ibrahimović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2251c70c-4bbd-4a80-8e00-453fa52fdf24,2,,,3829519,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4259, 'name': 'Stéphane Ruffier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 7707, 'name': 'François Clerc'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 401468, 'name': 'Moustapha Bayal Sall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4263, 'name': 'Loïc Perrin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3047, 'name': 'Benoît Assou-Ekotto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 7200, 'name': 'Fabien Lemoine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3797, 'name': 'Ismaël Tiémoko Diomandé'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 4260, 'name': 'Romain Hamouma'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 4254, 'name': 'Valentin Eysseric'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 4431, 'name': 'Kévin Monnet-Paquet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 4601, 'name': 'Robert Berič'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Saint-Étienne,135,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,425e6966-d410-4819-95c9-9c81c5dcd766,3,,,3829519,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['ec6082a4-e840-4f6d-928a-28e1fd359e9a'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,ec6082a4-e840-4f6d-928a-28e1fd359e9a,4,,,3829519,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['425e6966-d410-4819-95c9-9c81c5dcd766'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1a52f2d2-dcbd-46c0-842b-94ccb16aaedd,2268,,,3829519,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Paris Saint-Germain,131,['e34c9387-95ff-4196-9239-e63a54a0f15d'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,e34c9387-95ff-4196-9239-e63a54a0f15d,2269,,,3829519,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Paris Saint-Germain,131,['1a52f2d2-dcbd-46c0-842b-94ccb16aaedd'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.320451,,,,,,,,,,ae164139-a668-483d-a73e-4dcdaf347ce6,5,,"[60.0, 40.0]",3829519,0,,,,,-0.90675014,,Right Foot,,,,"[61.8, 37.7]",,Ground Pass,,2.9206164,,,,Robert Berič,4601.0,,,,,Kick Off,1,From Kick Off,Valentin Eysseric,4254.0,Center Attacking Midfield,2,Saint-Étienne,135,['1ccdf0dd-0fbc-49aa-bc30-59aac9cbdd92'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.427,Pass,
,,,,,,,,,,,,,,,,,,1.139293,,,,,,,,,,7bb8cd92-5202-4e31-b5e4-2ab47a516932,8,,"[59.5, 37.5]",3829519,0,,,,,-2.914249,,Right Foot,,,,"[46.1, 34.4]",,Ground Pass,,13.753908,,,,Ismaël Tiémoko Diomandé,3797.0,,,,,,1,From Kick Off,Robert Berič,4601.0,Center Forward,2,Saint-Étienne,135,['0725827b-ef5e-452d-8721-c3a6df618be3'],0,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:00.859,Pass,
,,,,,,,,,,,,,,,,,,1.319192,,,,,,,,,,34e2eb90-eed4-439b-a3b8-60e5cb42053c,11,,"[44.9, 35.2]",3829519,0,,,,,2.8924904,,Right Foot,,,,"[33.5, 38.1]",,Ground Pass,,11.763078,,,,Moustapha Bayal Sall,401468.0,,,,,,1,From Kick Off,Ismaël Tiémoko Diomandé,3797.0,Left Defensive Midfield,2,Saint-Étienne,135,['29273702-4eb2-4008-96fc-4014dd5ddd1c'],2,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:02.931,Pass,
,,,,,,,,,,,,,,,,,,2.519107,,,,,,,,,,839ceda8-ab82-48d7-9d77-a0f6aadf8762,14,,"[33.5, 38.1]",3829519,0,,,,,-3.0569737,,Right Foot,,,,"[11.1, 36.2]",,Ground Pass,,22.480436,,,,Stéphane Ruffier,4259.0,,,,,,1,From Kick Off,Moustapha Bayal Sall,401468.0,Right Center Back,2,Saint-Étienne,135,['51b2150d-0c98-456b-abfa-e773a3684513'],7,,,,,,,,,,,,,,,,,,,Saint-Étienne,135,00:00:07.245,Pass,
