50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,5.215224,,,,,,,,,,,,,40155969-4a6a-4453-a3d1-3a6707de8a57,3088,,,"[18.1, 3.1]",3829439,88,,,,0.0,,Left Foot,,"[64.2, 3.1]",,High Pass,,46.1,,,Incomplete,,Bernardo Mota Veiga de Carvalho e Silva,3193.0,,,,,Recovery,2,From Free Kick,Adama Traoré,4464.0,Left Defensive Midfield,189,Toulouse,130,"['0be64a88-6915-4c9c-aa06-19f917796726', '92bf36ae-bfed-4c29-a287-d5b4809d6b1d', 'dce4bed4-acf5-45e3-bd5f-7258d2ac54f3']",1,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:01.151,Pass,True
,,,,,,,,,,,,,,,,1.000287,,,,,,,,,,,,,029dfc83-9ca8-4469-8ef5-8180bf642a50,3094,,,"[69.9, 77.4]",3829439,88,,,,-0.8417899,,Right Foot,,"[81.6, 64.3]",,Ground Pass,,17.564169,,,,,Wergiton do Rosário Calmon,3030.0,,,,,,2,From Free Kick,Pavle Ninkov,40641.0,Right Back,189,Toulouse,130,['c6ccc188-4734-4cc6-9346-c1341dc2a8be'],11,,,,,,,,,,,,,,,,,,Toulouse,130,00:43:11.928,Pass,
,,,,,,,,,,,,,,,,1.128847,,,,,,,,,,,,,e0b7bb05-98c5-428b-a7bc-745e6bc74577,3097,,,"[81.6, 61.7]",3829439,88,,,,1.948563,,Left Foot,,"[79.1, 68.0]",,Ground Pass,,6.7779055,,,,,Yann Bodiger,2961.0,,,,,,2,From Free Kick,Wergiton do Rosário Calmon,3030.0,Right Midfield,189,Toulouse,130,['9da2328b-93e6-44fa-8ca7-9c4e4ec66c3e'],13,,,,,,,,,,,,,,,,,,Toulouse,130,00:43:13.586,Pass,
,,,,,,,,,,,,,,,,1.983074,,,,,,,,,,,,,9086007a-ced6-4e45-9236-84f595ce3fab,3100,,,"[94.0, 47.6]",3829439,88,,,,-1.1887164,,Left Foot,,"[102.8, 25.7]",,Ground Pass,,23.601906,,,Incomplete,,Adrien Regattin,16418.0,,,,,,2,From Free Kick,Yann Bodiger,2961.0,Right Defensive Midfield,189,Toulouse,130,"['07ea6659-ae51-4578-84c0-f76068daefd3', '252740e8-d53b-4769-b4c6-5874eaf38b97']",17,,,,,,,,,,,,,,,,,,Toulouse,130,00:43:17.729,Pass,
,,,,,,,,,,True,,,,,,1.953495,,,,,,,,,,,,,07ea6659-ae51-4578-84c0-f76068daefd3,3102,,,"[17.3, 54.4]",3829439,88,,,,-0.27620196,,Right Foot,,"[61.4, 41.9]",,High Pass,,45.837322,,,,,Lacina Traoré,3553.0,,,,,Interception,2,Regular Play,Almamy Touré,3204.0,Right Back,190,AS Monaco,129,"['9086007a-ced6-4e45-9236-84f595ce3fab', 'ca618c1f-ec0c-48b7-9836-b706dd3d69a3']",19,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:19.712,Pass,
,,,,,,,,,,,,,,,,1.224761,,,,,,,,,,,,,781025e5-5237-481a-97c7-dd50c2a84134,3104,,,"[61.4, 41.9]",3829439,88,,,,-2.097601,,Other,,"[55.7, 32.1]",,Low Pass,,11.337108,,,,,Guido Marcelo Carrillo,3246.0,,,,,,2,Regular Play,Lacina Traoré,3553.0,Center Forward,190,AS Monaco,129,['6e142a78-4e3f-411d-964a-37e766c1f9cb'],21,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:21.665,Pass,
,,,,,,,,,,,,,,,,1.107508,,,,,,,,,,,,,71daa41c-b2dd-4063-95a5-4d73ce44aa9c,3110,,,"[73.6, 80.0]",3829439,88,,,,-0.54616654,,,,"[88.9, 70.7]",,Low Pass,,17.904749,,,,,Thomas Lemar,3245.0,,,,,Throw-in,2,From Throw In,Almamy Touré,3204.0,Right Back,191,AS Monaco,129,['56ea27cf-823b-4fdf-98a9-b4d822cf9db2'],32,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:32.032,Pass,
,,,,,,,,,,,,,,,,1.554899,,,,,,,,,,,,,60d1c22d-63f7-46db-be39-a7de008d451f,3113,,,"[82.0, 69.7]",3829439,88,,,,-2.3086114,,Left Foot,,"[74.0, 60.9]",,Ground Pass,,11.892855,,,,,Tiemoué Bakayoko,3955.0,,,,,,2,From Throw In,Thomas Lemar,3245.0,Center Attacking Midfield,191,AS Monaco,129,['57453f6a-6daa-4f57-b7a3-ec6c968f16de'],35,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:35.164,Pass,
,,,,,,,,,,,,,,,,1.130079,,,,,,,,,,,,,1075478f-2db2-4a33-80cd-0fd4d1c08a28,3116,,,"[74.8, 56.6]",3829439,88,,,,-1.7152379,,Left Foot,,"[74.0, 51.1]",,Ground Pass,,5.557877,,,,,Adama Traoré,4464.0,,,,,,2,From Throw In,Tiemoué Bakayoko,3955.0,Right Defensive Midfield,191,AS Monaco,129,['3cdf8f37-4d31-4ca8-97e6-b4d215f68376'],37,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:37.115,Pass,
,,,,,,,,,,,,,,,,1.851131,,,,,,,,,,,,,0d0040d3-9727-470f-815b-e91bb067f2ac,3119,,,"[73.8, 48.6]",3829439,88,,,,-1.8862839,,Left Foot,,"[69.1, 34.2]",,Ground Pass,,15.147607,,,,,Tiemoué Bakayoko,3955.0,,,,,,2,From Throw In,Adama Traoré,4464.0,Left Defensive Midfield,191,AS Monaco,129,['b3597abb-0b04-4455-9ba2-71c0bb81a72f'],39,,,,,,,,,,,,,,,,,,AS Monaco,129,00:43:39.223,Pass,
