50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,28e13fca-beee-4594-a521-ab87bf18c295,1,,,3829514,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 7207, 'name': 'Férébory Doré'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,32be4aa5-91d5-437b-85d1-d314ef9f1076,2,,,3829514,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3322, 'name': 'Jonas Lössl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20199, 'name': 'Lars Christian Jacobsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40527, 'name': 'Brou Benjamin Angoua'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3124, 'name': 'Jérémy Sorbon'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 30182, 'name': 'Dorian Lévêque'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 401512, 'name': 'Lionel Mathis'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3121, 'name': 'Moustapha Elhadji Diallo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3122, 'name': 'Yannis Salibur'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 3301, 'name': 'Nicolas Benezet'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 3213, 'name': 'Jimmy Briand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 3348, 'name': 'Younousse Sankharé'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 13}]}",Guingamp,142,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,589ab0db-9bb8-49be-b205-59a2236aa9e7,3,,,3829514,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['09838183-d88c-412e-948c-08edbe63427c'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09838183-d88c-412e-948c-08edbe63427c,4,,,3829514,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['589ab0db-9bb8-49be-b205-59a2236aa9e7'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,22747dce-5db0-49dc-94c0-db49c8778085,1578,,,3829514,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Guingamp,142,['3814ec29-6a74-49fb-a1ac-14c19e40d6a6'],0,,,,,,,,,,,,,,,,,Guingamp,142,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3814ec29-6a74-49fb-a1ac-14c19e40d6a6,1579,,,3829514,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Guingamp,142,['22747dce-5db0-49dc-94c0-db49c8778085'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.562618,,,,,,,,,,,,,7f279c71-931e-4399-a618-c4537f363c28,5,,"[61.0, 40.1]",3829514,0,,,,,1.4337301,,Left Foot,,,"[61.4, 43.0]",Ground Pass,,2.9274561,,,,Jimmy Briand,3213.0,,,,,Kick Off,1,From Kick Off,Younousse Sankharé,3348.0,Left Center Forward,2,Guingamp,142,['e3c3305d-4ebe-4c4b-a258-78089ead7b47'],1,,,,,,,,,,,,,,,,,Guingamp,142,00:00:01.326,Pass,
,,,,,,,,,,,,,,,1.306985,,,,,,,,,,,,,e0d86cbb-33e0-445b-9b9e-6786c9f87ca2,7,,"[62.6, 42.7]",3829514,0,,,,,-3.100799,,Right Foot,,,"[52.8, 42.3]",Ground Pass,,9.80816,,,,Lionel Mathis,401512.0,,,,,,1,From Kick Off,Jimmy Briand,3213.0,Right Center Forward,2,Guingamp,142,['5e494405-6def-40c0-a33e-702114d86331'],1,,,,,,,,,,,,,,,,,Guingamp,142,00:00:01.889,Pass,
,,,,,,,,,,,,,,,1.471074,,,,,,,,,,,,,4fca58f3-32a5-4720-b527-2205e731a534,10,,"[53.8, 44.7]",3829514,0,,,,,2.367822,,Left Foot,,,"[36.4, 61.7]",Ground Pass,,24.326118,,,,Brou Benjamin Angoua,40527.0,,,,,,1,From Kick Off,Lionel Mathis,401512.0,Right Defensive Midfield,2,Guingamp,142,['6af00447-72bf-41ff-88bb-54d4f4f6cad6'],4,,,,,,,,,,,,,,,,,Guingamp,142,00:00:04.171,Pass,
,,,,,,,,,,,,,,,1.995877,,,,,,,,,,,,,2cbf9e9d-0489-47f4-a1f0-628bc2613bc5,14,,"[38.1, 63.1]",3829514,0,,,,,0.005882285,,Right Foot,,,"[72.1, 63.3]",High Pass,,34.000587,,Incomplete,,Jimmy Briand,3213.0,,,,,,1,From Kick Off,Brou Benjamin Angoua,40527.0,Right Center Back,2,Guingamp,142,"['34e16862-4e2e-4667-aa0a-69054eb8ead6', '4e2d3c77-2224-45b2-8df0-e07d105cde4b', 'a56d8c85-f0c6-41b1-8daf-3f4c54f7409a']",7,,,,,,,,,,,,,,,,,Guingamp,142,00:00:07.616,Pass,True
