50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,91fc5537-5ae4-4865-be01-97108c3f6b11,1,,,3900499,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25377, 'name': 'Rémy Riou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3004, 'name': 'Oswaldo Augusto Vizcarrondo Araújo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10936, 'name': 'Lorik Agim Cana'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4249, 'name': 'Wilfried Moimbé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7350, 'name': 'Birama Touré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 2943, 'name': 'Lucas Deaux'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3375, 'name': 'Adrien Thomasson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 3319, 'name': 'Yacine Bammou'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 401477, 'name': 'Johan Audel'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 3114, 'name': 'Emiliano Sala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3e945e77-8d66-4968-a30e-c805a35234d0,2,,,3900499,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25199, 'name': 'Lucas Silva Borges'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15296, 'name': 'Romain Alessandrini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,475cf701-267e-4a17-af0d-15c3a8af73f6,3,,,3900499,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['84f8316f-8385-42ef-a91f-22ec3d045ec1'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,84f8316f-8385-42ef-a91f-22ec3d045ec1,4,,,3900499,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['475cf701-267e-4a17-af0d-15c3a8af73f6'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,939b0a04-6938-41f5-b49c-f93d0619a2c0,1970,,,3900499,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,107,Nantes,144,['41ed64e7-d284-4ddf-ad45-49bf268b0218'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,41ed64e7-d284-4ddf-ad45-49bf268b0218,1971,,,3900499,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,107,Nantes,144,['939b0a04-6938-41f5-b49c-f93d0619a2c0'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.39411,,,,,,,,,,,,f6be3e8b-84c3-44ef-b262-534a6a40bb7d,5,,"[61.0, 40.1]",3900499,0,,,,,1.7126933,,Right Foot,,,,"[60.8, 41.5]",Ground Pass,,1.4142135,,,,,Yacine Bammou,3319.0,,,,,Kick Off,1,From Kick Off,Emiliano Sala,3114.0,Center Forward,2,Nantes,144,['8ce162af-02de-446b-bf56-4f160841fc26'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.356,Pass,
,,,,,,,,,,,,,,,,,1.406075,,,,,,,,,,,,63d7ac71-9866-440b-8b16-156b79bc4fbe,9,,"[62.3, 38.7]",3900499,0,,,,,-1.735945,,Right Foot,,,,"[58.1, 13.5]",Ground Pass,,25.547602,,,,,Wilfried Moimbé,4249.0,,,,,,1,From Kick Off,Yacine Bammou,3319.0,Center Attacking Midfield,2,Nantes,144,['2849ddd7-a73f-4185-831c-da4c7cd302bc'],2,,,,,,,,,,,,,,,,,Nantes,144,00:00:02.956,Pass,
,,,,,,,,,,,,,,,,,1.497789,,,,,,,,,,,,f42d5f23-6f87-46b8-ba19-5ab8b3c66bc8,12,,"[59.2, 7.7]",3900499,0,,,,,0.13565202,,Left Foot,,,,"[95.1, 12.6]",High Pass,,36.232857,,,,,Johan Audel,401477.0,,,,,,1,From Kick Off,Wilfried Moimbé,4249.0,Left Back,2,Nantes,144,['fe48ecac-1fc3-4686-8a01-92a9e6d73a14'],5,,,,,,,,,,,,,,,,,Nantes,144,00:00:05.536,Pass,
,,,,,,,,,,,,,,,,,3.628938,,,,,,,,,,,,674ad771-ab47-4d4f-a875-3d7ee3320c95,16,,"[6.0, 36.0]",3900499,0,,,,,0.40345412,,Right Foot,,,,"[64.8, 61.1]",High Pass,,63.933167,,,Incomplete,,Rémy Cabella,3420.0,,,,,Goal Kick,1,From Goal Kick,Steve Mandanda,3543.0,Goalkeeper,3,Marseille,147,"['acae908b-06b7-421d-b1ed-720c02104100', 'be3c2b63-acd9-449e-9986-4dc9f9d8b780']",28,,,,,,,,,,,,,,,,,Marseille,147,00:00:28.954,Pass,
,,,,,,,,,,,,,,,,,2.16926,,,,,,,,,,,,acae908b-06b7-421d-b1ed-720c02104100,18,,"[55.3, 19.0]",3900499,0,,,,,1.4767351,,Head,,,,"[57.3, 40.2]",High Pass,,21.29413,,,,,Yacine Bammou,3319.0,,,,,Recovery,1,From Goal Kick,Johan Audel,401477.0,Left Wing,3,Marseille,147,"['2673c279-3faa-494c-9727-b02438c49e89', '674ad771-ab47-4d4f-a875-3d7ee3320c95']",32,,,,,,,,,,,,,,,,,Nantes,144,00:00:32.583,Pass,
