50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ff7e31c-e5a4-47a3-9195-0dee8506a06a,1,,,3900602,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 6335, 'name': 'Lamine Gassama'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 45688, 'name': 'Hamadou Karamoko'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 7211, 'name': 'Zargo Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 24646, 'name': 'Rafidine Abdullah'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3102, 'name': 'Yann Jouffre'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 7567, 'name': 'Maxime Barthelmé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 7615, 'name': 'Abdul Majeed Waris'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 33178, 'name': 'Benjamin Moukandjo Bilé'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2daebb96-b752-4eb4-99a9-e8dc4d738f64,2,,,3900602,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3980, 'name': 'Johny Placide'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 7498, 'name': 'Mickaël Tacalfred'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 401455, 'name': 'Mohamed Fofana'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 40521, 'name': 'Franck Signorino'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 4545, 'name': 'Prince Oniangué'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7815, 'name': 'Antoine Devaux'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 6}, {'player': {'id': 7363, 'name': 'Diego Rigonato Rodrigues'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,df0ee5ec-034b-42a3-a496-71cf02234873,3,,,3900602,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['3fa0c3a9-d9a9-4bb1-a3ae-9c79d767fa99'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3fa0c3a9-d9a9-4bb1-a3ae-9c79d767fa99,4,,,3900602,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['df0ee5ec-034b-42a3-a496-71cf02234873'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe0533eb-64a3-47da-8119-e62131421055,1693,,,3900602,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Stade de Reims,156,['90921044-e2ef-42d0-ac10-322a3557dc54'],0,,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,90921044-e2ef-42d0-ac10-322a3557dc54,1694,,,3900602,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Stade de Reims,156,['fe0533eb-64a3-47da-8119-e62131421055'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.575968,,,,,,,,,,,,,1baea066-71a8-411e-82dd-61d0231e20da,5,,"[61.0, 40.1]",3900602,0,,,,,2.488746,,Right Foot,,,"[57.6, 42.7]",,Ground Pass,,4.280187,,,,Antoine Devaux,7815.0,,,,,,Kick Off,1,From Kick Off,Nicolas de Roussel de Préville,4383.0,Center Forward,2,Stade de Reims,156,['d6a010d8-fd66-4bb6-9056-c08d6e520f2b'],0,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.610,Pass,
,,,,,,,,,,,,,,,,1.525678,,,,,,,,,,,,,2ef6c7ea-e8b8-45cf-82fa-dcd1bf30f732,8,,"[56.9, 43.2]",3900602,0,,,,,3.103696,,Right Foot,,,"[35.8, 44.0]",,Ground Pass,,21.11516,,,,Aïssa Mandi,6648.0,,,,,,,1,From Kick Off,Antoine Devaux,7815.0,Right Wing,2,Stade de Reims,156,['f14d2a14-5b56-4ec9-b63c-166c4283e222'],1,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:01.822,Pass,
,,,,,,,,,,,,,,,,2.223759,,,,,,,,,,,,,b0c266fa-31f5-477c-b408-0a1e239cf325,11,,"[37.5, 43.2]",3900602,0,,,,,0.3775302,,Right Foot,,,"[83.9, 61.6]",,High Pass,,49.915127,,Incomplete,,Prince Oniangué,4545.0,,,,,,,1,From Kick Off,Aïssa Mandi,6648.0,Center Back,2,Stade de Reims,156,"['7c3cc568-9869-42cb-aba0-2cd53983ff7d', '982e4eed-2761-42a1-9d1d-8ee562d505ef']",4,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:04.888,Pass,
,,,,,,,,,,,,,,,,1.500821,,,,,,,,,,,,,f43f2d06-60bb-4e95-b44f-e5ce5f7ed75a,14,,"[59.9, 68.2]",3900602,0,,,,,-0.10994446,,Head,,,"[75.3, 66.5]",,High Pass,,15.493547,,Incomplete,,Prince Oniangué,4545.0,,,,,,Recovery,1,From Kick Off,Mickaël Tacalfred,7498.0,Right Center Back,2,Stade de Reims,156,"['27df3e37-dada-4a9f-b9e3-e3313b686c43', '7eddadd6-f40f-4408-9f62-ffdbce1f2dad']",10,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:10.643,Pass,
