50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,c63b2aad-783e-43ee-926a-5328edd729cd,1,,,3901202,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3008, 'name': 'Benjamin Lecomte'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 40}, {'player': {'id': 6335, 'name': 'Lamine Gassama'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 7211, 'name': 'Zargo Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31039, 'name': 'Yroundu Musavu-King'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 3140, 'name': 'François Bellugou'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7766, 'name': 'Walid Mesloub'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 3102, 'name': 'Yann Jouffre'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 7567, 'name': 'Maxime Barthelmé'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 3552, 'name': 'Benjamin Jeannot'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 7615, 'name': 'Abdul Majeed Waris'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Lorient,165,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,5b060a10-2784-4c83-b3a5-32a89e2f231c,2,,,3901202,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4410, 'name': 'Christophe Jallet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 4463, 'name': 'Mapou Yanga-Mbiwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3372, 'name': 'Rachid Ghezzal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3162, 'name': 'Gnaly Maxwell Cornet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,ded1dde9-e617-4f6b-83a3-8150485fe70e,3,,,3901202,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['675fddfe-4548-4eae-b7af-adeedb4d55d7'],0,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,675fddfe-4548-4eae-b7af-adeedb4d55d7,4,,,3901202,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lorient,165,['ded1dde9-e617-4f6b-83a3-8150485fe70e'],0,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,19cc64bf-ec08-465c-85b8-6df91258087f,1975,,,3901202,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Lyon,137,['36e4fa8c-5753-4c8a-9baa-72f3e73b6947'],0,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,36e4fa8c-5753-4c8a-9baa-72f3e73b6947,1976,,,3901202,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Lyon,137,['19cc64bf-ec08-465c-85b8-6df91258087f'],0,,,,,,,,,,,,,,,,Lorient,165,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.706036,,,,,,,,,1e1e6ae7-41ec-4afc-b603-7268e8be4e81,5,,"[61.0, 40.1]",3901202,0,,True,,,-2.8023,,Right Foot,,,"[59.3, 39.5]",,Ground Pass,,1.8027756,,,,Sergi Darder Moll,3236.0,,,,,Kick Off,1,From Kick Off,Alexandre Lacazette,3451.0,Center Forward,2,Lyon,137,['4d8b038a-a7cf-437a-a981-47ea642c31dc'],0,,,,,,,,,,,,,,,,Lyon,137,00:00:00.891,Pass,
,,,,,,,,,,,,,,,,1.012851,,,,,,,,,54c11ea8-1360-442c-be94-7b6bc090c4c5,7,,"[53.9, 41.9]",3901202,0,,,,,3.1145723,,Right Foot,,,"[46.5, 42.1]",,Ground Pass,,7.4027023,,,,Corentin Tolisso,5480.0,,,,,,1,From Kick Off,Sergi Darder Moll,3236.0,Left Center Midfield,2,Lyon,137,['3cef718e-a0e7-4c5b-a184-6aa7441fa8f0'],2,,,,,,,,,,,,,,,,Lyon,137,00:00:02.107,Pass,
,,,,,,,,,,,,,,,,1.107005,,,,,,,,,7ce59dd9-6348-4948-9139-30e61ef2b58b,10,,"[44.3, 43.6]",3901202,0,,,,,1.7963976,,Right Foot,,,"[41.5, 55.8]",,Ground Pass,,12.517188,,,,Jordan Ferri,3118.0,,,,,,1,From Kick Off,Corentin Tolisso,5480.0,Center Defensive Midfield,2,Lyon,137,['96c8947d-3b24-442c-9716-eb5ea83efcef'],4,,,,,,,,,,,,,,,,Lyon,137,00:00:04.045,Pass,
,,,,,,,,,,,,,,,,1.134503,,,,,,,,,462b4232-01ec-410f-8c78-871993dc125b,13,,"[41.5, 55.8]",3901202,0,,,,,0.5868815,,Right Foot,,,"[62.1, 69.5]",,Ground Pass,,24.739645,,,,Rachid Ghezzal,3372.0,,,,,,1,From Kick Off,Jordan Ferri,3118.0,Right Center Midfield,2,Lyon,137,['a34a8d41-35fb-4600-89b1-3b40247c87af'],6,,,,,,,,,,,,,,,,Lyon,137,00:00:06.421,Pass,
