50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f8f3415c-0d71-4871-b00e-957316a377cd,1,,,,3829486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 23850, 'name': 'Mathieu Peybernes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 40528, 'name': 'Florian Marange'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 10522, 'name': 'Mehdi Mostefa Sbaa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 7349, 'name': 'Gaël Danic'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 31711, 'name': 'Abdoulaye Sadio Diallo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 2}, {'player': {'id': 4508, 'name': 'Julian Palmieri'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 401541, 'name': 'Evaeverson Lemos da Silva Brandão'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ce5bebab-4d44-4b09-a388-6ac7cd619f1a,2,,,,3829486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,,0,,,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 22130, 'name': 'Mauro Daniel Goicoechea Furia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8677, 'name': 'Marcel Tisserand'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 30447, 'name': 'Jean-Armel Kana-Biyik'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 16430, 'name': 'Uroš Spajić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3036, 'name': 'Alexis Blin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 2961, 'name': 'Yann Bodiger'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 31174, 'name': 'Jean-Daniel Akpa Akpro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 16522, 'name': 'Tongo Hamed Doumbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6723, 'name': 'Wissam Ben Yedder'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 16418, 'name': 'Adrien Regattin'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3a698c45-76e1-44b4-b5b0-0015f15d6840,3,,,,3829486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['aaf5b527-89f9-4a96-b694-c0489092c4d1'],0,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,aaf5b527-89f9-4a96-b694-c0489092c4d1,4,,,,3829486,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bastia,2736,['3a698c45-76e1-44b4-b5b0-0015f15d6840'],0,,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0fe87a41-0b4e-4397-b20e-fd6e9e82f06d,1719,,,,3829486,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,103,Toulouse,130,['5072c86a-e693-44e4-9905-14cd6f791901'],0,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5072c86a-e693-44e4-9905-14cd6f791901,1720,,,,3829486,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,103,Toulouse,130,['0fe87a41-0b4e-4397-b20e-fd6e9e82f06d'],0,,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.582047,,,,,,,,,,,,,,,54a8069c-2e0f-4b6d-9d5f-8fc8e7f4c598,5,,,"[60.0, 40.0]",3829486,0,,,,,1.6902252,,Right Foot,,,,"[59.7, 42.5]",,Ground Pass,,2.5179358,,,,,Adrien Regattin,16418.0,,,,,,Kick Off,1,From Kick Off,Martin Braithwaite Christensen,4447.0,Center Forward,2,Toulouse,130,['db4ffb34-5a6e-4386-a8d9-69b683be05e7'],0,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.520,Pass,
,,,,,,,,,,,,,,,,2.280211,,,,,,,,,,,,,,,dc512209-aa0f-4fc5-ae69-53df83d3e124,8,,,"[59.9, 43.3]",3829486,0,,,,,3.1170075,,Right Foot,,,,"[47.7, 43.6]",,Ground Pass,,12.203688,,,,,Jean-Armel Kana-Biyik,30447.0,,,,,,,1,From Kick Off,Adrien Regattin,16418.0,Left Attacking Midfield,2,Toulouse,130,['eba8901f-2231-46a0-9bcd-0839e1243194'],1,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:01.191,Pass,
,,,,,,,,,,,,,,,,3.447398,,,,,,,,,,,,,,,aff249b8-506d-4e29-9c43-86bc74cab606,12,,,"[41.0, 47.4]",3829486,0,,,,,-0.998071,,Right Foot,,,,"[71.5, 0.1]",,High Pass,,56.280903,,,Out,,,,,,True,,,,1,From Kick Off,Jean-Armel Kana-Biyik,30447.0,Right Center Back,2,Toulouse,130,['84b240c7-32b5-4f53-a2c7-82c5c345601d'],3,,,,,,,,,,,,,,,,,,Toulouse,130,00:00:03.539,Pass,True
,,,,,,,,,,,,,,,,1.731039,,,,,,,,,,,,,,,8fc956b9-6dd4-4a4f-ae20-535fe2bbc154,13,,,"[51.9, 80.0]",3829486,0,,,,,-0.19888587,,,,,,"[77.7, 74.8]",,High Pass,,26.318815,,,,,Evaeverson Lemos da Silva Brandão,401541.0,,,,,,Throw-in,1,From Throw In,Yannick Cahuzac,4350.0,Right Back,3,Bastia,2736,['c6e14ffe-c81d-423c-935a-38915ec7d2f7'],18,,,,,,,,,,,,,,,,,,Bastia,2736,00:00:18.538,Pass,
