50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,831b357f-c4ca-45c0-b68d-22868a2b1d06,17,,,"[31.4, 21.4]",3829473,0,,,,,1.5083776,,Right Foot,,,,"[33.2, 50.2]",,Ground Pass,,28.856195,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,David Luiz Moreira Marinho,3956.0,Left Center Back,2,Paris Saint-Germain,131,['9201dcbc-92de-4767-9db0-459ad399ef67'],9,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:09.890,Pass,
,,,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,,,694bde3b-efdd-4307-90d4-a03a8516c8fe,20,,,"[41.0, 63.6]",3829473,0,,,,,0.6267429,,Right Foot,,,,"[55.5, 74.1]",,Ground Pass,,17.902514,,,,Gregory van der Wiel,20048.0,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['961bfd37-db7f-4123-832b-6b50a016a83b'],13,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:13.748,Pass,
,,,,,,,,,,,,,,,,,,,0.799999,,,,,,,,,,,,,,17901864-a64c-4d40-9e40-d5a6a5653d47,23,,,"[55.5, 74.1]",3829473,0,,,,,-2.2061675,,Right Foot,,,,"[48.2, 64.2]",,Ground Pass,,12.300406,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Gregory van der Wiel,20048.0,Right Back,2,Paris Saint-Germain,131,['d3cbf29c-8345-470a-806f-156c421368d6'],15,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:15.129,Pass,
,,,,,,,,,,,,,,,,,,,0.799999,,,,,,,,,,,,,,a06cca49-ca4c-45f8-b4a3-a75764b6ae42,26,,,"[52.9, 58.1]",3829473,0,,,,,-1.4813802,,Right Foot,,,,"[55.5, 29.1]",,Ground Pass,,29.116318,,,,Blaise Matuidi,4375.0,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['a6590890-6b9b-4587-aca3-ae0ae35bc33c'],17,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:17.896,Pass,
,,,,,,,,,,,,,,,,,,,0.799999,,,,,,,,,,,,,,2c83bee1-06a8-4781-ac8e-951be2022091,29,,,"[58.1, 20.1]",3829473,0,,,,,-1.3765553,,Left Foot,,,,"[61.7, 1.8]",,Ground Pass,,18.650738,,,,Maxwell Scherrer Cabelino Andrade,26613.0,,,,,,1,From Kick Off,Blaise Matuidi,4375.0,Left Center Midfield,2,Paris Saint-Germain,131,['7e4436b0-14fc-49c5-9309-e50568b7ac7c'],20,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:20.998,Pass,
,,,,,,,,,,,,,,,,,,,1.599998,,,,,,,,,,,,,,834578ec-9bd8-41aa-9967-9efefa7147c9,33,,,"[58.7, 5.3]",3829473,0,,,,,1.8078964,,Left Foot,,,,"[49.3, 44.2]",,Ground Pass,,40.01962,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,2,Paris Saint-Germain,131,['531e9c60-b922-4eb3-bf59-3f642b1b6a85'],23,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:23.358,Pass,
,,,,,,,,,,,,,,,,,,,1.040588,,,,,,,,,,,,,,d94e123a-3973-4d2b-b936-ae266fbb9235,36,,,"[63.0, 52.1]",3829473,0,,,,,0.34555557,,Right Foot,,,,"[75.5, 56.6]",,Ground Pass,,13.28533,,,,Javier Matías Pastore,4370.0,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,['9b35f15a-706e-4d7f-88e6-81a4efa69a2d'],30,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:30.003,Pass,
,,,,,,,,,,,,,,,,,,,0.568237,,,,,,,,,,,,,,d8e1cc24-0caf-4e83-af8a-ad14de1b8393,39,,,"[75.5, 56.6]",3829473,0,,,,,2.6828954,,Left Foot,,,,"[67.4, 60.6]",,Ground Pass,,9.033825,,,,Ángel Fabián Di María Hernández,2995.0,,,,,,1,From Kick Off,Javier Matías Pastore,4370.0,Right Center Midfield,2,Paris Saint-Germain,131,['e387090d-09ae-43ec-bdad-fb5ae37f2855'],31,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:31.159,Pass,
,,,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,,,c66e9e35-e1a5-494f-97aa-e973fefb489a,42,,,"[65.1, 56.6]",3829473,0,,,,,-2.046921,,Left Foot,,,,"[53.6, 34.3]",,Ground Pass,,25.090635,,,,David Luiz Moreira Marinho,3956.0,,,,,,1,From Kick Off,Ángel Fabián Di María Hernández,2995.0,Right Wing,2,Paris Saint-Germain,131,['b8728555-8624-4aac-a3a9-60edf30424b6'],33,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:33.442,Pass,
,,,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,,,52596873-c794-4b51-8ecb-1bf7bf2da4af,45,,,"[64.5, 32.7]",3829473,0,,,,,1.6653007,,Right Foot,,,,"[62.5, 53.8]",,Ground Pass,,21.194574,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,David Luiz Moreira Marinho,3956.0,Left Center Back,2,Paris Saint-Germain,131,['036d72bc-a744-404d-8575-49ecf9e9ae66'],39,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:39.838,Pass,
