bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,977b3f20-d72f-4c5f-a596-13dc97e953d8,1,,,3901256,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3245, 'name': 'Thomas Lemar'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 18243, 'name': 'Ivan Ricardo Neves Abreu Cavaleiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 18953, 'name': 'Vágner Silva de Souza'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b16d90e9-f926-4120-a210-dc8ed217f064,2,,,3901256,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 40645, 'name': 'Laurent Pionnier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4669, 'name': 'William Jean Rémy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 3674, 'name': 'Vitorino Hilton da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 2975, 'name': 'Mathieu Deplagne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3421, 'name': 'Bryan Dabo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 3546, 'name': 'Morgan Sanson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6661, 'name': 'Ryad Boudebouz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3679, 'name': 'Souleymane Camara'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 3020, 'name': 'Rodrigue Casimir Ninga'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 29}]}",Montpellier,139,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,44d6f4b6-7dd8-46c2-a70e-2d2297a8cf8c,3,,,3901256,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['7f3f018f-2b09-4134-b02a-82a9de34464d'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7f3f018f-2b09-4134-b02a-82a9de34464d,4,,,3901256,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['44d6f4b6-7dd8-46c2-a70e-2d2297a8cf8c'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,dd6e0121-b725-49a3-9d6a-fa46adb4b9d4,1825,,,3901256,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,117,Montpellier,139,['37948cc5-62a4-4068-b039-acd7b6d1442a'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,37948cc5-62a4-4068-b039-acd7b6d1442a,1826,,,3901256,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,117,Montpellier,139,['dd6e0121-b725-49a3-9d6a-fa46adb4b9d4'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.733263,,,,,,,,,,,,,,,,0d01a1ea-38d4-4451-b6d1-1549eef3c7d4,5,,"[60.0, 40.0]",3901256,0,,,,,0.124354996,,Right Foot,,,"[62.4, 40.3]",,Ground Pass,,2.4186773,,,,Ryad Boudebouz,6661.0,,,,,Kick Off,1,From Kick Off,Souleymane Camara,3679.0,Right Center Forward,2,Montpellier,139,['0a556485-4d35-4d80-8ad4-2cf39cb033a8'],0,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:00.363,Pass,
,,,,,,,,,,,,,,,,,,1.656514,,,,,,,,,,,,,,,,6173e5eb-1888-4b9b-abe7-9a8e4084a6e7,8,,"[62.0, 40.6]",3901256,0,,,,,2.026314,,Left Foot,,,"[49.9, 65.3]",,Ground Pass,,27.504545,,,,William Jean Rémy,4669.0,,,,,,1,From Kick Off,Ryad Boudebouz,6661.0,Center Attacking Midfield,2,Montpellier,139,['4293f6a1-2272-4f3c-8f94-4b5275b00b0c'],1,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:01.316,Pass,
,,,,,,,,,,,,,,,,,,1.941338,,,,,,,,,,,,,,,,1c50e3bf-4f34-44e4-b886-099bd3c1d0b6,10,,"[49.7, 65.1]",3901256,0,,,,,-1.8889712,,Right Foot,,,"[41.4, 39.9]",,Ground Pass,,26.53168,,,,Vitorino Hilton da Silva,3674.0,,,,,,1,From Kick Off,William Jean Rémy,4669.0,Right Back,2,Montpellier,139,['d5bb473a-7ea9-4ae3-b30a-c67224f766a7'],2,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:02.973,Pass,
,,,,,,,,,,,,,,,,,,1.736097,,,,,,,,,,,,,,,,b140bf16-86ce-49be-ba2b-9f734fd0e74e,12,,"[41.4, 39.7]",3901256,0,,,,,-1.563852,,Right Foot,,,"[41.6, 10.9]",,Ground Pass,,28.800694,,,,Mathieu Deplagne,2975.0,,,,,,1,From Kick Off,Vitorino Hilton da Silva,3674.0,Right Center Back,2,Montpellier,139,['602c4e9e-0487-4316-93ad-1e5f34a487aa'],4,,,,,,,,,,,,,,,,,,Montpellier,139,00:00:04.914,Pass,
