50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e6e51a24-bcf8-4efc-b479-8da9fe303a0c,1,,,3900568,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7428, 'name': 'Alexandre Coeff'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7603, 'name': 'Jérémie Bréchet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 401507, 'name': 'Jérôme Le Moigne'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7389, 'name': 'Amos Youga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10616, 'name': 'Mohamed Larbi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7721, 'name': 'John Tshibumbu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8abda648-2654-4a44-b2a0-623e73617bb5,2,,,3900568,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4450, 'name': 'Bakary Koné'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 4463, 'name': 'Mapou Yanga-Mbiwa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 3156, 'name': 'Rafael Pereira da Silva'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 20}, {'player': {'id': 4895, 'name': 'Henri Bedimo Nsamè'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 40407, 'name': 'Steed Malbranque'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3361, 'name': 'Clément Grenier'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 3162, 'name': 'Gnaly Maxwell Cornet'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 6600, 'name': 'Claudio Beauvue'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,016c02c4-99a6-4ab7-872a-40deeb3d6144,3,,,3900568,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['9a646319-85ad-4854-a21b-5b938890f959'],0,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9a646319-85ad-4854-a21b-5b938890f959,4,,,3900568,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Gazélec Ajaccio,160,['016c02c4-99a6-4ab7-872a-40deeb3d6144'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8d7449c2-7407-4d8a-940f-a4bd0717490c,1859,,,3900568,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Lyon,137,['87a2c607-4834-468f-9b8b-e8aab840d867'],0,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,87a2c607-4834-468f-9b8b-e8aab840d867,1860,,,3900568,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,108,Lyon,137,['8d7449c2-7407-4d8a-940f-a4bd0717490c'],0,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.583345,,,,,,,,,,,4bf48772-b3fa-4efc-85a3-49dfb57a4694,5,,"[60.0, 40.0]",3900568,0,,,,,0.0,,Right Foot,,,"[60.5, 40.0]",,Ground Pass,,0.5,,,,,Mohamed Larbi,10616.0,,,,,Kick Off,1,From Kick Off,Jacques Zoua Daogari,401505.0,Left Center Forward,2,Gazélec Ajaccio,160,['71893359-b0ea-471c-b8ed-ae27f6b16d9a'],1,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:01.432,Pass,
,,,,,,,,,,,,,,,,,,2.030372,,,,,,,,,,,ac4c6f0a-705e-4b09-a253-6c7b1ab44742,8,,"[58.2, 38.4]",3900568,0,,,,,-2.7610862,,Right Foot,,,"[32.2, 28.0]",,Ground Pass,,28.002857,,,,,Jérémie Bréchet,7603.0,,,,,,1,From Kick Off,Mohamed Larbi,10616.0,Center Attacking Midfield,2,Gazélec Ajaccio,160,['cc176411-b176-4e46-b2d5-20ee43f21c66'],2,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:02.553,Pass,
,,,,,,,,,,,,,,,,,,2.532497,,,,,,,,,,,33fbb19a-1a56-4e1d-9649-fc885676984d,11,,"[46.1, 23.5]",3900568,0,,,,,-0.0468042,,Left Foot,,,"[88.8, 21.5]",,High Pass,,42.74681,,,Incomplete,,,,,,,,,1,From Kick Off,Jérémie Bréchet,7603.0,Left Center Back,2,Gazélec Ajaccio,160,['b2b5dcc3-ed96-4c17-bbac-2f44fe7c4c80'],10,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:10.358,Pass,
,,,,,,,,,,,,,,,,,,1.548381,,,,,,,,,,,b2b5dcc3-ed96-4c17-bbac-2f44fe7c4c80,13,,"[31.3, 58.6]",3900568,0,,,,True,0.20838413,,,,,"[54.0, 63.4]",,Low Pass,,23.201939,,,,,Gnaly Maxwell Cornet,3162.0,,,,,Recovery,1,Regular Play,Bakary Koné,4450.0,Right Center Back,3,Lyon,137,"['33fbb19a-1a56-4e1d-9649-fc885676984d', '8f378607-1e82-4b78-81bd-51375cafdcce', 'b82b7d33-f40a-4c38-b25c-51ad975919d1']",12,,,,,,,,,,,,,,,,,,Lyon,137,00:00:12.890,Pass,True
