50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7dffdff7-938d-4e47-9838-3e27c393e71d,1,,,3829518,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3357, 'name': 'Baptiste Guillaume'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 7441, 'name': 'Marvin Martin'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 3673, 'name': 'Yassine Benzia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,602c519a-38b9-43d1-b672-958752203ace,2,,,3829518,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 19813, 'name': 'Rolando Jorge Pires da Fonseca'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3181, 'name': 'Lassana Diarra'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25199, 'name': 'Lucas Silva Borges'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15296, 'name': 'Romain Alessandrini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3457, 'name': 'Michy Batshuayi Tunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4e5f57d2-2514-4889-89fc-4f05054ebf84,3,,,3829518,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['27dfa144-6dc6-4612-a0bd-f1225a7a0a85'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,27dfa144-6dc6-4612-a0bd-f1225a7a0a85,4,,,3829518,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['4e5f57d2-2514-4889-89fc-4f05054ebf84'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1863b91f-9fe3-45b1-a54a-2a8afcbde604,1517,,,3829518,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Lille,143,['d49d38f9-6c0d-4667-9ae1-6611d2748bb7'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d49d38f9-6c0d-4667-9ae1-6611d2748bb7,1518,,,3829518,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Lille,143,['1863b91f-9fe3-45b1-a54a-2a8afcbde604'],0,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.355993,,,,,,,,,,,,,d49c6393-dc01-43ef-888a-1974077f4c68,5,,"[60.0, 40.0]",3829518,0,,,,,-1.5063695,,Right Foot,,,"[60.2, 36.9]",,Ground Pass,,3.1064448,,,,Baptiste Guillaume,3357.0,,,,,,Kick Off,1,From Kick Off,Yassine Benzia,3673.0,Center Forward,2,Lille,143,['83e6da38-5223-4b1e-b1df-3566bfd43e64'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.164,Pass,
,,,,,,,,,,,,,,,,1.341711,,,,,,,,,,,,,0ef99a85-feaf-449f-92ac-c9eb4ea8653b,7,,"[60.6, 36.7]",3829518,0,,,,,-2.9487083,,Right Foot,,,"[47.8, 34.2]",,Ground Pass,,13.041856,,,,Rio Antonio Zoba Mavuba,40522.0,,,,,,,1,From Kick Off,Baptiste Guillaume,3357.0,Right Wing,2,Lille,143,['6db3dcc4-feac-417a-bb30-45e97dce6e76'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.520,Pass,
,,,,,,,,,,,,,,,,1.759305,,,,,,,,,,,,,bf09e544-09a9-4542-bf97-63ecb5345b49,10,,"[47.8, 34.2]",3829518,0,,,,,-1.6307244,,Right Foot,,,"[46.0, 4.2]",,Ground Pass,,30.053951,,,,Djibril Sidibé,3446.0,,,,,,,1,From Kick Off,Rio Antonio Zoba Mavuba,40522.0,Left Defensive Midfield,2,Lille,143,['a69f4386-c274-47b5-a9c2-fc75a570451f'],2,,,,,,,,,,,,,,,,,Lille,143,00:00:02.385,Pass,
,,,,,,,,,,,,,,,,0.8586,,,,,,,,,,,,,da31f133-acb3-4e1d-b5c0-aeb3fcd38641,13,,"[50.3, 9.3]",3829518,0,,,,,0.118840344,,Right Foot,,,"[70.4, 11.7]",,Ground Pass,,20.242777,,,,Yassine Benzia,3673.0,,,,,,,1,From Kick Off,Djibril Sidibé,3446.0,Left Back,2,Lille,143,['0e2f6f2d-115f-4531-a042-0ecb8f7754bc'],5,,,,,,,,,,,,,,,,,Lille,143,00:00:05.981,Pass,
