50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,"[86.4, 51.0]",,,,,,,,,,,,0.327836,,,,,,,,,,,,60bb87a4-cfeb-4563-be9f-186592dd8347,3825,,"[86.6, 50.0]",3901232,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Éderzito António Macedo Lopes,15996.0,Center Forward,184,Lille,143,"['3df01a3e-aee2-4a40-aff7-6b2e7137c077', '87c4a61e-7c7a-4e93-b29c-91811f769d67']",25,,,,,,,,,,,,,,,,,,Lille,143,00:44:25.868,Carry,
,,,,,,,"[52.7, 8.5]",,,,,,,,,,,,0.853374,,,,,,,,,,,,b07f8ad2-327b-412d-8335-1708f5c1e853,3830,,"[50.8, 10.4]",3901232,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Romain Thomas,3549.0,Left Center Back,185,Angers,145,"['726d6615-9a39-4f59-b6a5-4216e18a715b', 'd732b734-664c-4e88-875f-ae56c7510662']",29,,,,,,,,,,,,,,,,,,Angers,145,00:44:29.573,Carry,
,,,,,,,"[78.0, 20.5]",,,,,,,,,,,,3.613992,,,,,,,,,,,,80770ad1-6a15-48d7-92e1-e6f45abd2260,3833,,"[52.8, 15.8]",3901232,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Pierrick Capelle,3071.0,Center Forward,185,Angers,145,"['6d7b0773-8f9f-4d1f-87ad-2401159adb11', '6ddd268c-8ea5-4fb9-a92a-e3618ad37b34']",31,,,,,,,,,,,,,,,,,,Angers,145,00:44:31.489,Carry,
,,,,,,,"[108.7, 74.3]",,,,,,,,,,,,2.783907,,,,,,,,,,,,803259da-89d9-440f-b7fa-a8ceb625710a,3836,,"[111.3, 74.7]",3901232,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mohamed Saïd Benrahma,7212.0,Right Wing,185,Angers,145,"['419ffcdc-c76d-436e-b93c-679a85a3a309', '6f5d2aef-babd-4d96-b56b-55f773192c14']",40,,,,,,,,,,,,,,,,,,Angers,145,00:44:40.232,Carry,
,,,,,,,"[83.6, 62.9]",,,,,,,,,,,,0.764151,,,,,,,,,,,,add5cf72-8eb8-4b8b-86db-f7a4a39d345c,3839,,"[91.1, 65.7]",3901232,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Cheikh N''Doye,5676.0,Right Center Midfield,185,Angers,145,"['23bb44f2-a936-49a1-a3f3-4621192d40bb', 'e2fad74b-f08b-455e-98c4-202ffc6697c9']",44,,,,,,,,,,,,,,,,,,Angers,145,00:44:44.844,Carry,
,,,,,,,"[69.7, 48.5]",,,,,,,,,,,,0.829923,,,,,,,,,,,,27e726ba-ffab-4883-9e5f-7974d152e7fb,3842,,"[69.3, 49.6]",3901232,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Thomas Mangani,3185.0,Left Center Midfield,185,Angers,145,"['5908e46d-fd78-455a-aa0c-f6b2e45fc6a6', 'f6ea757f-1472-492f-b9f5-dd0e06427800']",46,,,,,,,,,,,,,,,,,,Angers,145,00:44:46.768,Carry,
,,,,,,,"[76.3, 34.2]",,,,,,,,,,,,0.960265,,,,,,,,,,,,45d148c8-950b-430c-bcfb-357ce9277d71,3845,,"[75.9, 34.2]",3901232,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Billy Ketkeophomphone,4441.0,Left Wing,185,Angers,145,"['41bf6ab5-43dd-4e76-81a3-ca15c82cddce', 'de996eb3-9b6b-4dc6-aca4-efe926def697']",48,,,,,,,,,,,,,,,,,,Angers,145,00:44:48.711,Carry,
,,,,,,,"[89.4, 43.0]",,,,,,,,,,,,0.103243,,,,,,,,,,,,e6928c16-d86b-40e0-8b16-e3e81045493f,3849,,"[90.0, 42.8]",3901232,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Pierrick Capelle,3071.0,Center Forward,185,Angers,145,"['175e2eca-7ab7-4e89-8358-9ea258c8784a', '4741d311-0cc5-4440-b35a-8dab482377e5', 'f85ed9df-5c2b-4340-810a-5cc23fa09438']",50,,,,,,,,,,,,,,,,,,Angers,145,00:44:50.235,Carry,True
,,,,,,,"[23.8, 34.1]",,,,,,,,,,,,0.116819,,,,,,,,,,,,a707cb9e-e1c5-4b75-8496-2d5f6326cad6,3854,,"[24.3, 34.5]",3901232,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marko Baša,40523.0,Left Center Back,186,Lille,143,"['43a83a78-de38-48f1-be91-9a754e5332b7', 'c715ad54-998f-4740-bafa-bb588e9c2a6d']",52,,,,,,,,,,,,,,,,,,Lille,143,00:44:52.321,Carry,
,,,,,,,"[22.8, 47.0]",,,,,,,,,,,,0.724921,,,,,,,,,,,,c5503186-c6f8-4c26-9ec4-244ab7871773,3857,,"[24.2, 44.4]",3901232,89,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Stopilla Sunzu,23203.0,Right Center Back,186,Lille,143,"['9ac1fbad-414d-46f3-8fdd-80f54467de4d', 'f4b2af53-ef21-4fce-858e-b56cedbfc7f7']",53,,,,,,,,,,,,,,,,,,Lille,143,00:44:53.805,Carry,
