50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b9d25414-f46a-4070-9a5e-f087180c6e93,1,,,,3829496,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 4547, 'name': 'Ludovic Butelle'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3431, 'name': 'Vincent Manceau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3203, 'name': 'Yoann Andreu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 7207, 'name': 'Férébory Doré'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 5676, 'name': ""Cheikh N''Doye""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 3078, 'name': 'Abdoul Razzagui Camara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Angers,145,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,011d5cb0-940e-481a-b7a6-5c5f6cadb961,2,,,,3829496,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7282, 'name': 'Jean-Louis Leca'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 40517, 'name': 'Gilles Cioni'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 29}, {'player': {'id': 26481, 'name': 'Sébastien Squillaci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 23850, 'name': 'Mathieu Peybernes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 40528, 'name': 'Florian Marange'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 10522, 'name': 'Mehdi Mostefa Sbaa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 4350, 'name': 'Yannick Cahuzac'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7791, 'name': 'Seko Fofana'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7349, 'name': 'Gaël Danic'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 15689, 'name': 'Floyd Ayité'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 401541, 'name': 'Evaeverson Lemos da Silva Brandão'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Bastia,2736,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0cdb2236-5ac8-41be-ba45-2802423300f9,3,,,,3829496,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['081a22c5-02f4-4477-b583-7944f90e30dc'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,081a22c5-02f4-4477-b583-7944f90e30dc,4,,,,3829496,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Angers,145,['0cdb2236-5ac8-41be-ba45-2802423300f9'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ccf5a7e1-04af-4441-bcc5-f10ee3d8b5d8,1759,,,,3829496,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Bastia,2736,['ec0fc63d-46bd-4393-bf1f-064add9ad247'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ec0fc63d-46bd-4393-bf1f-064add9ad247,1760,,,,3829496,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Bastia,2736,['ccf5a7e1-04af-4441-bcc5-f10ee3d8b5d8'],0,,,,,,,,,,,,,,,,,Bastia,2736,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.489044,,,,,,,,,,,,,,,23e706bf-f6b7-4591-a227-95f144412688,5,,,"[60.0, 40.0]",3829496,0,,,,,-1.4601392,,Right Foot,,,"[60.2, 38.2]",Ground Pass,,1.811077,,,,Abdoul Razzagui Camara,3078.0,,,,,,Kick Off,1,From Kick Off,Billy Ketkeophomphone,4441.0,Center Forward,2,Angers,145,['a450b1da-c153-498f-a1ef-5bc9a5d7b46f'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.200,Pass,
,,,,,,,,,,,,,,,1.336666,,,,,,,,,,,,,,,29804c82-1a4b-4159-8dd4-5c2d2b5d0ea8,8,,,"[60.2, 37.1]",3829496,0,,,,,2.4668517,,Left Foot,,,"[49.7, 45.5]",Ground Pass,,13.446561,,,,Romain Saïss,5219.0,,,,,,,1,From Kick Off,Abdoul Razzagui Camara,3078.0,Left Midfield,2,Angers,145,['3b573417-1396-437d-aee2-0a2acb467477'],0,,,,,,,,,,,,,,,,,Angers,145,00:00:00.769,Pass,
,,,,,,,,,,,,,,,1.383385,,,,,,,,,,,,,,,f6382ef8-839a-48f0-9f49-3423b54c8dbb,10,,,"[49.7, 45.5]",3829496,0,,,,,-0.9225362,,Right Foot,,,"[70.0, 18.7]",High Pass,,33.62038,,Incomplete,,,,,,,,,,1,From Kick Off,Romain Saïss,5219.0,Center Defensive Midfield,2,Angers,145,['9d678a8d-34b9-4798-9854-5fd24bbd3113'],2,,,,,,,,,,,,,,,,,Angers,145,00:00:02.105,Pass,
,,,,,,,,,,,,,,,1.242934,,,,,,,,,,,,,,,9d678a8d-34b9-4798-9854-5fd24bbd3113,11,,,"[50.1, 61.4]",3829496,0,,,,,-1.948563,,Left Foot,,,"[47.6, 55.1]",Low Pass,,6.7779055,,,,Yannick Cahuzac,4350.0,,,,,,Recovery,1,Regular Play,Gaël Danic,7349.0,Right Wing,3,Bastia,2736,"['97683dab-60fd-406f-b294-88471ef13b79', 'f6382ef8-839a-48f0-9f49-3423b54c8dbb']",3,,,,,,,,,,,,,,,,,Bastia,2736,00:00:03.489,Pass,
