50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,29a438ee-407c-4fa9-be82-dabfa0e1065e,1,,,,3901151,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3677, 'name': 'Bakary Adama Soumaoro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 11332, 'name': 'Ibrahim Amadou'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3425, 'name': 'Morgan Amalfitano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 31}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3673, 'name': 'Yassine Benzia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aac0e84b-4238-4d8b-85a0-e0e32986bba9,2,,,,3901151,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4410, 'name': 'Christophe Jallet'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 4463, 'name': 'Mapou Yanga-Mbiwa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 2983, 'name': 'Jérémy Morel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 3118, 'name': 'Jordan Ferri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 3361, 'name': 'Clément Grenier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 3372, 'name': 'Rachid Ghezzal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 18868, 'name': 'Mathieu Valbuena'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 3162, 'name': 'Gnaly Maxwell Cornet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b87883c8-aa8f-4f82-9975-d25a62fb26aa,3,,,,3901151,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Lille,143,['cce2bd8d-fd03-4042-ab77-012a235d8449'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cce2bd8d-fd03-4042-ab77-012a235d8449,4,,,,3901151,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,Lille,143,['b87883c8-aa8f-4f82-9975-d25a62fb26aa'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d544d068-4be4-4b40-9b82-4338dd2dea8e,1578,,,,3901151,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,,101,Lyon,137,['f01ceea8-e8e9-4845-8454-5ae3cd783e51'],0,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f01ceea8-e8e9-4845-8454-5ae3cd783e51,1579,,,,3901151,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,,101,Lyon,137,['d544d068-4be4-4b40-9b82-4338dd2dea8e'],0,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.458891,,,,,,,,,,,,,3674547e-d8f6-43ae-b1fb-1028b939ad1d,5,,,"[60.0, 40.0]",3901151,0,,True,,,-2.2917676,,Right Foot,,,"[57.1, 36.7]",Ground Pass,,4.3931766,,,,Sofiane Boufal,3625.0,,,,,Kick Off,1,From Kick Off,Yassine Benzia,3673.0,,Center Forward,2,Lille,143,['c7284a4c-dba2-4a70-930c-e724b4e75594'],1,,,,,,,,,,,,,,,,,Lille,143,00:00:01.007,Pass,
,,,,,,,,,,,,,,,,,,1.37159,,,,,,,,,,,,,39faba52-9289-4d6f-97c8-929dc5706456,7,,,"[56.5, 35.7]",3901151,0,,True,,,-2.468305,,Right Foot,,,"[48.1, 29.0]",Ground Pass,,10.744766,,,,Ibrahim Amadou,11332.0,,,,,,1,From Kick Off,Sofiane Boufal,3625.0,,Center Attacking Midfield,2,Lille,143,['1eda5a62-e9c6-4435-88c6-4a74406288c4'],1,,,,,,,,,,,,,,,,,Lille,143,00:00:01.515,Pass,
,,,,,,,,,,,,,,,,,,0.996771,,,,,,,,,,,,,30d02cb9-9078-4640-83f7-0b90a5bdc471,9,,,"[42.0, 25.3]",3901151,0,,,,,-2.7866063,,Left Foot,,,"[30.4, 21.0]",Ground Pass,,12.371338,,,,Bakary Adama Soumaoro,3677.0,,,,,,1,From Kick Off,Ibrahim Amadou,11332.0,,Left Defensive Midfield,2,Lille,143,['6e1d774f-3976-47f9-8164-13e32901429f'],3,,,,,,,,,,,,,,,,,Lille,143,00:00:03.653,Pass,
,,,,,,,,,,,,,,,,,,0.904515,,,,,,,,,,,,,0ce943c1-49dc-4592-8dc7-952896e23273,12,,,"[30.4, 21.0]",3901151,0,,,,,-0.18079957,,Right Foot,,,"[39.7, 19.3]",Ground Pass,,9.4541,,,,Ibrahim Amadou,11332.0,,,,,,1,From Kick Off,Bakary Adama Soumaoro,3677.0,,Left Center Back,2,Lille,143,['6aa36a48-38ff-4d46-b721-49ef332692c0'],5,,,,,,,,,,,,,,,,,Lille,143,00:00:05.909,Pass,
