50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,335be508-5510-4e65-bfe5-e8762d9b41c2,1,,,,3901211,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3543, 'name': 'Steve Mandanda'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 3075, 'name': 'Javier Manquillo Gaitán'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8572, 'name': 'Karim Rekik'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3261, 'name': 'Benjamin Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 18874, 'name': 'Mauricio Aníbal Isla Isla'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 25199, 'name': 'Lucas Silva Borges'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 4351, 'name': 'Bouna Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3420, 'name': 'Rémy Cabella'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 3254, 'name': 'Florian Thauvin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dc9d0c75-7aad-4f8d-ac72-98aef7e32a7b,2,,,,3901211,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 4509, 'name': 'Jérôme Prior'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 4428, 'name': 'Mathieu Debuchy'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 2946, 'name': 'Frédéric Guilbert'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4542, 'name': 'Pablo Nascimento Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4628, 'name': 'Diego Armando Valentin Contento'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3779, 'name': 'Cédric Yambéré'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3150, 'name': 'Jaroslav Plašil'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 30338, 'name': 'André Biyogo Poko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 3408, 'name': 'Thomas Touré'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 10448, 'name': 'Adam Ounas'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 3184, 'name': 'Enzo Crivelli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Bordeaux,146,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,854e7e6f-1318-46f0-ae0a-a4a0cda09b2f,3,,,,3901211,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['09c4d009-df84-49ea-aa3a-b2cd04326e2b'],0,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,09c4d009-df84-49ea-aa3a-b2cd04326e2b,4,,,,3901211,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['854e7e6f-1318-46f0-ae0a-a4a0cda09b2f'],0,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d17952d9-5a75-4791-980d-c53486e6be50,1893,,,,3901211,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Marseille,147,['cd03f111-425b-4fc1-8027-1779efd754cc'],0,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cd03f111-425b-4fc1-8027-1779efd754cc,1894,,,,3901211,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Marseille,147,['d17952d9-5a75-4791-980d-c53486e6be50'],0,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.857282,,,,,,,,,,,,,,6ee29de7-7e33-444a-8ed6-619c25bd1085,5,,,"[61.0, 40.1]",3901211,0,,,,,2.2584677,,Left Foot,,,"[58.7, 42.9]",Ground Pass,,3.6235342,,,,Enzo Crivelli,3184.0,,,,,Kick Off,1,From Kick Off,Adam Ounas,10448.0,Center Attacking Midfield,2,Bordeaux,146,['54c2e869-6ae4-46cb-9347-a35423b641c1'],0,,,,,,,,,,,,,,,,Bordeaux,146,00:00:00.093,Pass,
,,,,,,,,,,,,,,,,,,0.445244,,,,,,,,,,,,,,51cf35f2-0e48-4bbb-b19f-31c58ef90770,8,,,"[58.7, 43.2]",3901211,0,,,,,-2.7367008,,Right Foot,,,"[53.1, 40.8]",Ground Pass,,6.0926185,,,,Jaroslav Plašil,3150.0,,,,,,1,From Kick Off,Enzo Crivelli,3184.0,Center Forward,2,Bordeaux,146,['9e1ab33b-4f90-4abc-afff-5125d316801d'],1,,,,,,,,,,,,,,,,Bordeaux,146,00:00:01.291,Pass,
,,,,,,,,,,,,,,,,,,2.083563,,,,,,,,,,,,,,4439a93d-c60d-45f7-b323-6e505b86af97,11,,,"[53.1, 40.8]",3901211,0,,,,,1.9766055,,Right Foot,,,"[41.8, 67.1]",Ground Pass,,28.624815,,,,Mathieu Debuchy,4428.0,,,,,,1,From Kick Off,Jaroslav Plašil,3150.0,Left Defensive Midfield,2,Bordeaux,146,['d2e00bc8-fc7a-4cfc-bb18-dea04ffab061'],2,,,,,,,,,,,,,,,,Bordeaux,146,00:00:02.449,Pass,
,,,,,,,,,,,,,,,,,,2.001283,,,,,,,,,,,,,,aa46e912-9e39-41e5-b034-145f3ddcefc9,14,,,"[40.9, 69.9]",3901211,0,,,,,-0.61839676,,Right Foot,,,"[81.8, 40.8]",High Pass,,50.195816,,Incomplete,,,,,,,,,1,From Kick Off,Mathieu Debuchy,4428.0,Right Back,2,Bordeaux,146,['93ef8456-d176-42aa-881e-a93b4ed7af5f'],5,,,,,,,,,,,,,,,,Bordeaux,146,00:00:05.111,Pass,
