50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,efcb8bde-1f61-44a1-a389-1eb239da7bef,1,,,3901174,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 27558, 'name': 'Elderson Uwa Echiejile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 3245, 'name': 'Thomas Lemar'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 9931, 'name': 'Hélder Wander Sousa Azevedo Costa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 18953, 'name': 'Vágner Silva de Souza'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ba775844-21d7-44e3-8e47-1b348ec70f71,2,,,3901174,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,,0,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 7641, 'name': 'Johann Carrasso'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 131849, 'name': 'Antoine Conte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 23329, 'name': 'Abdelhamid El Kaoutari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 7363, 'name': 'Diego Rigonato Rodrigues'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 7369, 'name': 'Aly Ndom'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 46801, 'name': 'Jaba Kankava'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 7635, 'name': 'Gaëtan Charbonnier'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 4383, 'name': 'Nicolas de Roussel de Préville'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 26775, 'name': 'Thievy Guivane Bifouma Koulossa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Stade de Reims,156,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,20407a2b-38eb-4a1d-85fc-a89e814c8aee,3,,,3901174,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['e0c80e51-244f-451a-a3da-7a1b9ea878b4'],0,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e0c80e51-244f-451a-a3da-7a1b9ea878b4,4,,,3901174,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AS Monaco,129,['20407a2b-38eb-4a1d-85fc-a89e814c8aee'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7036e14d-1092-4409-b991-1b117f3daed5,1843,,,3901174,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Stade de Reims,156,['c4709f37-40ec-4dd2-952c-976c501b686a'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c4709f37-40ec-4dd2-952c-976c501b686a,1844,,,3901174,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,112,Stade de Reims,156,['7036e14d-1092-4409-b991-1b117f3daed5'],0,,,,,,,,,,,,,,,,,,Stade de Reims,156,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,fc834739-404a-4635-8fdd-a9ea5ffd1938,5,,"[61.0, 40.1]",3901174,0,,,,,2.0576956,,Right Foot,,,"[60.1, 41.8]",,Ground Pass,,1.9235384,,,Vágner Silva de Souza,18953.0,,,,,,Kick Off,1,From Kick Off,Thomas Lemar,3245.0,Center Attacking Midfield,2,AS Monaco,129,['226c4a7f-a8f2-462e-88cf-e5dcaf8560a8'],0,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.151,Pass,
,,,,,,,,,,,,,,,,,,,2.279993,,,,,,,,,,,,,0097c0c2-7380-4911-ad7e-3d6ddfdd86f0,7,,"[59.5, 42.5]",3901174,0,,,,,2.7298818,,Left Foot,,,"[29.5, 55.6]",,Ground Pass,,32.735455,,,Wallace Fortuna dos Santos,8277.0,,,,,,,1,From Kick Off,Vágner Silva de Souza,18953.0,Center Forward,2,AS Monaco,129,['46a767b6-186a-42a9-81ff-f6102b1d2892'],1,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:01.191,Pass,
,,,,,,,,,,,,,,,,,,,2.199995,,,,,,,,,,,,,cd220cc2-4f02-496b-9b50-d63a6d8af644,10,,"[31.1, 48.9]",3901174,0,,,,,-1.4625944,,Left Foot,,,"[34.5, 17.6]",,Ground Pass,,31.484123,,,Elderson Uwa Echiejile,27558.0,,,,,,,1,From Kick Off,Wallace Fortuna dos Santos,8277.0,Right Center Back,2,AS Monaco,129,['6207c082-98f0-4268-9dc9-7833c969de4e'],4,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:04.991,Pass,
,,,,,,,,,,,,,,,,,,,2.079992,,,,,,,,,,,,,f0af26e0-e434-4953-863c-816e95867df8,13,,"[38.9, 17.3]",3901174,0,,,,,1.8486629,,Left Foot,,,"[30.2, 47.8]",,Ground Pass,,31.716557,,,Wallace Fortuna dos Santos,8277.0,,,,,,,1,From Kick Off,Elderson Uwa Echiejile,27558.0,Left Back,2,AS Monaco,129,['27ca8a17-8df5-4bed-8ea9-009e602c438e'],9,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:09.391,Pass,
