50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b9012cb4-505e-4755-b4e9-2b4c13595b8a,1,,,3829447,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 40484, 'name': 'Vincent Enyeama'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6716, 'name': 'Sébastien Corchia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29057, 'name': 'Renato Civelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40523, 'name': 'Marko Baša'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 3446, 'name': 'Djibril Sidibé'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 40522, 'name': 'Rio Antonio Zoba Mavuba'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 3211, 'name': 'Florent Balmont'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 2955, 'name': 'Ronny Rodelin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3625, 'name': 'Sofiane Boufal'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40486, 'name': 'Éric Bauthéac'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 3357, 'name': 'Baptiste Guillaume'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Lille,143,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,10a3b8fc-7eff-44cd-88c0-3eedcff7e6a7,2,,,3829447,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 401508, 'name': 'Clément Maury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4352, 'name': 'Issiaga Sylla'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 7808, 'name': 'Roderic Filippi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 2953, 'name': 'Abdou Kader Mangane'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 3207, 'name': 'Pablo Jean Antoine Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 401507, 'name': 'Jérôme Le Moigne'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 31911, 'name': 'Damjan Đoković'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 401509, 'name': 'David Ducourtioux'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 6}, {'player': {'id': 7430, 'name': 'Kévin Mayi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 401506, 'name': 'Grégory Pujol'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 401505, 'name': 'Jacques Zoua Daogari'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Gazélec Ajaccio,160,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,274703b2-4887-4b83-99a9-4d27570cc0ba,3,,,3829447,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['fa1035e1-2bf7-4c00-8bcd-85eb99f8af49'],0,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fa1035e1-2bf7-4c00-8bcd-85eb99f8af49,4,,,3829447,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lille,143,['274703b2-4887-4b83-99a9-4d27570cc0ba'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,162b6934-4efc-4422-ae8f-c94a12b76a9b,1568,,,3829447,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Gazélec Ajaccio,160,['f2598f0d-1d71-42fd-90eb-6e5435c3abed'],0,,,,,,,,,,,,,,,,,,Gazélec Ajaccio,160,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f2598f0d-1d71-42fd-90eb-6e5435c3abed,1569,,,3829447,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Gazélec Ajaccio,160,['162b6934-4efc-4422-ae8f-c94a12b76a9b'],0,,,,,,,,,,,,,,,,,,Lille,143,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.32854,,,,,,,,,,,,,,9717b823-991e-45eb-ade0-df5dd719a24c,5,,"[61.0, 40.1]",3829447,0,,,,,1.9264323,,Right Foot,,,"[59.7, 43.6]",,Ground Pass,,3.733631,,,Ronny Rodelin,2955.0,,,,,Kick Off,1,From Kick Off,Baptiste Guillaume,3357.0,Center Forward,2,Lille,143,['f5326c21-94df-4fdf-9b9a-e87d2012aab9'],1,,,,,,,,,,,,,,,,,,Lille,143,00:00:01.168,Pass,
,,,,,,,,,,,,,,,1.177297,,,,,,,,,,,,,,36e0ff50-5419-4e15-8f02-d9dc935876f1,8,,"[62.0, 42.5]",3829447,0,,,,,-2.9311624,,Right Foot,,,"[51.7, 40.3]",,Ground Pass,,10.532331,,,Rio Antonio Zoba Mavuba,40522.0,,,,,,1,From Kick Off,Ronny Rodelin,2955.0,Left Center Midfield,2,Lille,143,['8ca2d1dc-12c7-4c71-943b-97c9b5c2de4e'],1,,,,,,,,,,,,,,,,,,Lille,143,00:00:01.596,Pass,
,,,,,,,,,,,,,,,2.242049,,,,,,,,,,,,,,e476afee-fc73-4d64-9eff-e47e71df76f1,11,,"[51.4, 39.8]",3829447,0,,,,,-1.9655875,,Right Foot,,,"[43.9, 21.8]",,Ground Pass,,19.5,,,Djibril Sidibé,3446.0,,,,,,1,From Kick Off,Rio Antonio Zoba Mavuba,40522.0,Center Defensive Midfield,2,Lille,143,['56490f22-206b-405b-9686-b1cdc3773281'],3,,,,,,,,,,,,,,,,,,Lille,143,00:00:03.537,Pass,
,,,,,,,,,,,,,,,0.769222,,,,,,,,,,,,,,5aa04229-c810-4708-9fb1-0afc500434d8,14,,"[41.9, 17.7]",3829447,0,,,,,0.8473876,,Right Foot,,,"[48.7, 25.4]",,Ground Pass,,10.272779,,,Ronny Rodelin,2955.0,,,,,,1,From Kick Off,Djibril Sidibé,3446.0,Left Back,2,Lille,143,['260043e1-d644-45f1-9410-bf6698e1e862'],6,,,,,,,,,,,,,,,,,,Lille,143,00:00:06.897,Pass,
