50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,56298561-14a1-46f8-a507-df3844958b86,1,,,,3829416,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 42427, 'name': 'Simon Pouplin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 4443, 'name': 'Paul Baysse'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 4373, 'name': 'Mathieu Bodmer'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 3229, 'name': 'Maxime Le Marchand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7323, 'name': 'Olivier Boscagli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 4506, 'name': 'Nampalys Mendy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 4264, 'name': 'Vincent Koziello'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 3359, 'name': 'Jean Michaël Seri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16462, 'name': 'Hatem Ben Arfa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 3210, 'name': 'Valère Germain'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 28}, {'player': {'id': 3230, 'name': 'Alassane Pléa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,45253553-21f1-4e09-a2da-0d16ce1af9aa,2,,,,3829416,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 4326, 'name': 'Layvin Kurzawa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 11603, 'name': 'Mario Pašalić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3168, 'name': 'João Filipe Iria Santos Moutinho'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 18243, 'name': 'Ivan Ricardo Neves Abreu Cavaleiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 20039, 'name': 'Anthony Martial'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",AS Monaco,129,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,22ded35a-7318-4ce5-8f1f-4b00f2ec6e0b,3,,,,3829416,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['907f0ca8-93f4-472e-9ccd-505e3e5e18e0'],0,,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,907f0ca8-93f4-472e-9ccd-505e3e5e18e0,4,,,,3829416,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,OGC Nice,136,['22ded35a-7318-4ce5-8f1f-4b00f2ec6e0b'],0,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ed8f905f-8385-4b7b-b9ce-b88e19b70be6,1560,,,,3829416,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,OGC Nice,136,['1fb5bcf3-cdae-4515-b238-93ca0ea2cd71'],0,,,,,,,,,,,,,,,,,,,AS Monaco,129,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1fb5bcf3-cdae-4515-b238-93ca0ea2cd71,1561,,,,3829416,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,98,OGC Nice,136,['ed8f905f-8385-4b7b-b9ce-b88e19b70be6'],0,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.249141,,,,,,,,,,,,,9b3f9e50-6710-47e3-88b6-39ec4d809f59,5,,,"[61.0, 40.1]",3829416,0,,,,,-2.1730838,,Right Foot,,,"[59.9, 38.5]",,Ground Pass,,1.9416488,,,,Hatem Ben Arfa,16462.0,,,,,,Kick Off,1,From Kick Off,Alassane Pléa,3230.0,Left Center Forward,2,OGC Nice,136,['b0054dc8-3178-4116-aaf6-3e432a235da8'],0,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.852,Pass,
,,,,,,,,,,,,,,,,1.801872,,,,,,,,,,,,,eb9a4ca3-620c-4730-a054-c5bdc7985d01,8,,,"[57.0, 40.3]",3829416,0,,,,,2.7296917,,Left Foot,,,"[36.4, 49.3]",,Ground Pass,,22.480213,,,,Mathieu Bodmer,4373.0,,,,,,,1,From Kick Off,Hatem Ben Arfa,16462.0,Center Attacking Midfield,2,OGC Nice,136,['0dc2c7ad-2e89-429a-a8b2-56d228b79c1e'],1,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:01.660,Pass,
,,,,,,,,,,,,,,,,1.027922,,,,,,,,,,,,,408b6e3c-e017-4760-ba14-26bb786b94b2,11,,,"[41.0, 48.4]",3829416,0,,,,,-0.33188534,,Right Foot,,,"[58.7, 42.3]",,Ground Pass,,18.721645,,,,Hatem Ben Arfa,16462.0,,,,,,,1,From Kick Off,Mathieu Bodmer,4373.0,Right Center Back,2,OGC Nice,136,['432f9047-ff09-4e24-b566-22d799aec971'],4,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:04.860,Pass,
,,,,,,,,,,,,,,,,1.383217,,,,,,,,,,,,,d1f4314a-2bc3-4b95-bf51-f9df3db5e737,14,,,"[58.7, 42.3]",3829416,0,,,,,-2.170583,,Left Foot,,,"[49.4, 28.7]",,Ground Pass,,16.47574,,,,Jean Michaël Seri,3359.0,,,,,,,1,From Kick Off,Hatem Ben Arfa,16462.0,Center Attacking Midfield,2,OGC Nice,136,['49661174-2723-4808-afe2-c550a7a00d2d'],5,,,,,,,,,,,,,,,,,,,OGC Nice,136,00:00:05.928,Pass,
